stage,analysis,pair,mae_reduction_mean,q05,q95
stage2b,add_one_vs_count,PB,0.0035466455644394,0.0028267796986535,0.0043321912973337
stage2b,add_one_vs_count,PE,0.0597727595889404,0.056692250543868,0.0629446219579399
stage2b,add_one_vs_count,BE,-0.0019328628396193,-0.0025782937201504,-0.0012813989393574
stage2b,leave_one_out,PB,0.0086528455805933,0.0058878663753258,0.0113603527097453
stage2b,leave_one_out,PE,0.0734915017848547,0.0701291660344524,0.0768087183199516
stage2b,leave_one_out,BE,-0.0061566446199735,-0.0067691222351018,-0.0055285644766684
stage2c,add_one_vs_count,PB,0.0001881919953857,-0.0010558825906456,0.0014141226778053
stage2c,add_one_vs_count,PE,0.1231590696142023,0.1168215556686451,0.1296990099775229
stage2c,add_one_vs_count,BE,-0.0003805082440699,-0.0013288853288125,0.0005763715223287
stage2c,leave_one_out,PB,0.0096413904559045,0.008110589885892,0.0110334316510107
stage2c,leave_one_out,PE,0.1329401707400224,0.1257137237050375,0.1405332144336528
stage2c,leave_one_out,BE,0.0021608940568463,0.0010195517425881,0.0035721240531861
