measurement_id,mask_bits,observed_effect
mask_7203f93a2635abea,0000000000000,0.0
mask_43440c852c00c38d,1000000000000,0.5586530764897665
mask_d0559a77969bb1b2,0100000000000,-0.35333046813805896
mask_e5b44e1a9f4c5959,0010000000000,0.38284675776958466
mask_f41294293eb60554,0001000000000,-0.0012158751487731934
mask_3d2e4f0482247a70,0000100000000,0.2781998962163925
mask_a2c30b150c143c57,0000010000000,0.09423511723677318
mask_d344390bbdcb620e,0000001000000,-0.030014216899871826
mask_8eea5afd64420ec9,0000000100000,0.30459481477737427
mask_58c81e57e5c8e5f7,0000000010000,0.15794824560483298
mask_fc3210c6f024ef9c,0000000001000,-0.46943343182404834
mask_296633b495edaa34,0000000000100,0.004789804418881734
mask_ac28e661f7c25453,0000000000010,-1.6072851618131
mask_e7e0f4361a310949,0000000000001,-1.1689575960238774
mask_d8711151bd101bd8,1111111101111,1.8248918652534485
mask_8a44a493fb6528d1,0100001110011,-2.029736116528511
mask_015dad00d7386e9b,1110100011001,0.18438640236854553
mask_2510e485bb2b95de,1001111111101,1.3025403519471486
mask_6d23fa13bafc5c47,0110000010011,-2.096623013416926
mask_8f2f94aca0ccd73d,0010111100111,-1.9581280152002971
mask_7a9091199da4d37b,1010011011101,1.3457750131686528
mask_5a68ba0a7a68f0d3,1000010000010,0.3976893176635106
mask_42c0d9b9c69ba571,0001110111111,-2.3717134594917297
mask_1faf4198f695d1a1,1101111111100,0.8086407060424486
mask_06e8e2fa98f55c2c,1100000000011,-1.185751035809517
mask_c83b43a3152002bc,0011100001000,0.2901112685600917
mask_c59163d05ead6201,0000000011101,-1.1871331632137299
mask_67af076f768ae22d,1111100011100,0.70374263326327
mask_434d5cf6131274bb,1010010100000,1.3010910054047902
mask_cb5aef142727a337,0001101111101,-0.4698415795962016
mask_c117853aec3fbd39,1100000000010,0.2881429394086202
mask_7e52cbbae77abec3,0001011011000,-0.3648650695880254
mask_0312f7819fb17e8e,1000011111100,1.0087037831544876
mask_ffb0a0176bfe7b87,0010000000001,-0.6066234856843948
mask_2dc6fc957d0275c6,0000101000011,-3.0777637710173926
mask_a042d53a1d380374,1101100110011,0.7299110690752665
mask_0d7b838fa1861f00,0111110011110,-0.4005531271298726
mask_ed0049b586f36229,1001111011011,-0.10155293842156728
mask_80ccb57b38712af8,1101001000110,0.6723269919554392
mask_0a4b744a4ebdf041,0100001111010,-1.1167711069186528
mask_e1ad212588f12f9e,1100100001111,-1.4525474061568577
mask_675a97eb1bf1232b,1101010101001,-1.099280556042989
mask_c045fcb6e343a349,0100001000101,-1.5871677696704865
mask_99b2ed72f7579527,0100010010100,-0.06174039840698242
mask_4d0d315afec82d23,1111010000111,-0.07475642363230388
mask_29a54e482c76feae,0000110100010,-0.8353991309801737
mask_18e01ea97469667f,0011100100100,0.9929942637681961
mask_39515525b8f2cb41,0000111000101,-0.6121068000793457
mask_d723379aab9aceeb,1000000100111,-0.6172609130541483
mask_fb97c260527cf582,1110111110110,1.699821228782336
mask_fa53ddd220d994d3,1110001000000,0.2976190249125163
mask_6c4f9b11c70fab77,1010001111111,0.8918362955252329
mask_14349cd05dc745c1,0000111101100,0.10119497776031494
mask_aac1a641407e579a,0101010001111,-3.3908195793628693
mask_c3d1c64416c1f46b,0110100000001,-0.7680920908848444
mask_b93a49d420a1adec,0001001101111,-3.2561134099960327
mask_e4b576a69437483d,0110000000010,-0.9216189980506897
mask_eed66c50aa6fddf3,0111011101100,0.5532014816999435
mask_e395ffa1a166d31d,0010000001011,-3.1157934168974557
mask_f5ba1d5734b4ad11,0011000010001,-0.14730646212895712
mask_dca54ad7b73748c8,0001011000011,-3.0961107860008874
mask_b1ac826da52ee688,0100000000010,-1.5651684353748958
mask_3ec86a7e27236c7b,0011100010110,-0.5562443435192108
mask_71ab5e06006df633,1111000101010,1.4574683556954067
mask_0a6b922b267188c3,0100110101001,-1.1094769736131032
mask_cb283522702ec5ab,1010101001000,1.1084559659163158
mask_3544619ebdeb7d4a,0001011001010,-1.8463563323020935
mask_beb6050bf0cbcc08,0000110010111,-2.3839724510908127
mask_eec92cb140847a6e,0101111010000,0.23257169127464294
mask_2666ee9c2c7a77ee,1110111001011,0.7739789585272471
mask_bf505143d0bef8b7,0110010110000,0.5488516340653101
mask_4be08aaaaf192de6,1111001110001,0.7961774468421936
mask_62cf7f86323effba,0001110110000,0.8229443033536276
mask_9899c78f1abc5e0b,1100100011100,-0.24803415685892105
mask_bfb2c89a939ce8d5,0100101001000,-0.5912596633036932
mask_c0bdddd8059874b4,1011101100110,1.4930447340011597
mask_a67dbd270e3ee0a5,0111111110011,-0.9653126945098242
mask_44e67a0d8755dfaa,1010000000010,0.6767203311125437
mask_fe420d1b024121ed,1000000100010,0.6935620258251826
mask_5b120006d99e6542,0000010101011,-3.087930753827095
mask_24ef98bb57ce61e3,1001001111100,0.8728522260983785
mask_062463d8bb348353,0000001011010,-1.7460071394840877
mask_ecea8b97df3f9443,1000000000001,-0.5935346931219101
mask_25e3dbe66456425f,1001100010011,-0.22890562315781912
mask_ad8bb820d41ef34a,0101111111111,-1.9282870590686798
mask_2857372149b5e2f5,0001100111110,-1.0070249090592067
mask_53563708a238f52a,0001000000001,-1.1809697796901066
mask_55cf1d64dd8722f9,1111000000100,0.16940045356750488
mask_4b5191839c389d9f,1010010010010,0.7292603999376297
mask_5686e4f58572d57d,1110110110100,0.8192084829012553
mask_b81f21523ca823af,0011010011110,-1.0011687278747559
mask_698c44cf9fb74373,1110000010011,0.22988281647364298
mask_493dc023e137b563,0000001111011,-2.975956449906031
mask_e271c0e5b7ad5dba,1000010000000,0.656109685699145
mask_5f28f7710d194185,1001111011001,0.5759875327348709
mask_6154675eaa897d52,0010101000110,-0.8947446097930273
mask_421a3153a506d13a,0010101101000,0.4755816211303075
mask_a598c6a2e6cf46f0,1100000000101,-1.7163839439551036
mask_28a680e7a681579b,1011011000011,-0.03391076624393463
mask_d1097cf14abec536,1001001010111,-0.1657600998878479
mask_79b35ccf95cd0c50,1101111000000,0.4583695928255717
mask_536ee13077645711,0001011100101,-0.41065971553325653
mask_a4c3fadde0ef6bdd,0011000101001,-0.4945637434720993
mask_3e48965a45f779d9,0001011011100,-0.3652276297410329
mask_bcb7772444c48db0,1010010011111,0.26641503473122913
mask_ab57b2b3cdd33c04,0111111111110,0.03188318510850271
mask_621ee863f0319aee,0010010000011,-2.6048811823129654
mask_1aef01556b331e17,0001000000111,-3.257866710424423
mask_5176ff845b46c29d,1100100101011,-0.6805725991725922
mask_8edbe5b080edcccb,1001000110000,1.086591179172198
mask_22b564049955e657,1110010101101,0.4087657357255618
mask_63fad82facb04007,0000010110001,0.002434884508450826
mask_db216e1ef88599a0,0010111110101,0.7970114598671595
mask_1fc725bdf9474596,0111001111100,0.52972744901975
mask_d599ed802cc1fcf1,0001110111011,-2.426280905803045
mask_2dc7da9860b4128f,0101010101110,-1.173739954829216
mask_49a1989af3b19a0f,0000101110100,0.6756224284569422
mask_0a6a05f29569ae3d,1110011010010,0.8770732233921686
mask_7f9ac1f405b6479b,1001100101011,-0.7929046054681143
mask_1019c3f7eec5d612,0000101011010,-1.5128751943508785
mask_897f23c50092cc57,1111101110111,1.7583438108364742
mask_786fce034f804312,0111100000001,-0.7831199417511622
mask_9a7d4d3e2c7378d3,0100010000100,-0.19749792416890463
mask_e35af55c5d063328,0110001110000,0.48666291932264966
mask_a21222b1ca7a2eac,0011111111100,0.6999220798412958
mask_0718f0cf08e8279f,0100001000010,-1.4586145331462224
mask_e9d1bc8423b1b1ab,1111111001000,0.9124631285667419
mask_f7afe52928346f2f,0000100010111,-2.5924826016028724
mask_7cbbf28d3c6f4210,1101101110001,0.7520300000905991
mask_c97894777afcc99f,0100000011011,-3.1646782755851746
mask_6e233139c0727875,0111001011111,-2.0725974490245185
mask_ee6496a2b75b5752,0101010110000,0.3364921708901723
mask_bebfb5cf89f39364,1011111101010,1.4520186334848404
mask_d484d5586d46cab0,0000000100110,-1.2008816798528035
mask_e50eb6ec6c736e51,1010000100011,-0.0659141093492508
mask_a8c021b8ce23ea18,0100111100111,-2.0045150915781655
mask_98c8a6663651403f,1000110001001,-0.49097784360249835
mask_5e539fd4fb4f30e0,1101100000100,0.037371888756752014
mask_542e3942e8083d7b,0000100101100,0.10856874783833821
mask_f0d425194ba71d2a,1110000001010,0.7976024448871613
mask_798fd7b7b8823049,0001110110010,-0.5449977815151215
mask_1d0cf62f9f8f8c9e,1111001100011,0.757029707233111
mask_5f82203e5411cea2,0001011100111,-2.6387985746065774
mask_75e2a232004a3ec9,1000101010110,0.922512412071228
mask_79e5fe2e8a8945fa,1010010111000,1.5198584695657094
mask_a9eee521016fc345,1110000111000,1.0166769574085872
mask_de8cae8cd26a8257,0011110110111,-1.4967868278423946
mask_e43b131d21adc393,0010001001111,-3.1239453504482904
mask_232bccc803d574c3,1110111110101,1.4685255984465282
mask_bb311756d276f058,0000001000011,-3.327769552667936
mask_8eb247c7f2a1e88a,0001111001101,-1.1548022131125133
mask_53dd381a5d9860fa,1010011000101,0.6207747062047323
mask_09bb221bb3e0c69a,0110111001011,-2.2081876347462335
mask_2994bb881ee1574a,0011100001100,0.28423652549584705
mask_c72024320345a4b0,0001001000000,-0.02675602336724599
mask_86100bcd048a4056,0011100100001,0.1368563969930013
mask_039ff17d895de859,0101011101101,-1.196161096294721
mask_75509ff459ef67a5,1000000101100,0.5592519467075666
mask_764addf2adf64fbd,0111000111101,0.03819170594215393
mask_360e3e2aba762bce,1101111111111,1.2918683290481567
