query_id,mask_bits,n_heads,pool_id,h0,h1,h2,h3,h4,h5,h6,h7
qmask_03e03e6bad3167c1,00110101,4,qpool_59fb93108c625f9c,0,0,1,1,0,1,0,1
qmask_04e99e00df510b89,10100010,3,qpool_04a0d16a2ce1d6ae,1,0,1,0,0,0,1,0
qmask_05031e6a7405856b,00111110,5,qpool_ff721276bd560c43,0,0,1,1,1,1,1,0
qmask_06e53efa12c0c89c,01010011,4,qpool_4da0243bdf72a6cd,0,1,0,1,0,0,1,1
qmask_07e4d5ad11974b66,01010100,3,qpool_c519138426e50658,0,1,0,1,0,1,0,0
qmask_0cd7ddfc8c2186ca,00110100,3,qpool_bace2709926cfaee,0,0,1,1,0,1,0,0
qmask_14432725d56e8049,10011100,4,qpool_70bc91001fd21361,1,0,0,1,1,1,0,0
qmask_168ecc77c6d9bec7,00100011,3,qpool_094d56ddcd5f1fe4,0,0,1,0,0,0,1,1
qmask_17b31d3e8666d651,01011101,5,qpool_bace2709926cfaee,0,1,0,1,1,1,0,1
qmask_1d6d1ddc1980f1fe,10111000,4,qpool_bace2709926cfaee,1,0,1,1,1,0,0,0
qmask_22c3d94ed895c2d5,10010110,4,qpool_59fb93108c625f9c,1,0,0,1,0,1,1,0
qmask_239a2dd293cc8eaf,11000001,3,qpool_ff721276bd560c43,1,1,0,0,0,0,0,1
qmask_2678a15f3a1887ca,10110001,4,qpool_ff721276bd560c43,1,0,1,1,0,0,0,1
qmask_282cb65c9e54d1f9,01101110,5,qpool_0b1792f4952557ee,0,1,1,0,1,1,1,0
qmask_2def687a70c0189d,11100100,4,qpool_094d56ddcd5f1fe4,1,1,1,0,0,1,0,0
qmask_30f1d2fade2e7178,01001010,3,qpool_e3bc02cdca185ab2,0,1,0,0,1,0,1,0
qmask_31a763e8bc0202e0,00101110,4,qpool_0ffd30d33ad8dd0f,0,0,1,0,1,1,1,0
qmask_323b67f1b27b5893,11111100,6,qpool_70bc91001fd21361,1,1,1,1,1,1,0,0
qmask_330533bb35dfe50c,10001011,4,qpool_3bc403a0734a65bf,1,0,0,0,1,0,1,1
qmask_3745eec79815ddf1,10011011,5,qpool_a6ffe2b653ce5a24,1,0,0,1,1,0,1,1
qmask_39ecce4dbde1e7f4,11001001,4,qpool_70bc91001fd21361,1,1,0,0,1,0,0,1
qmask_3b86e07f9bac3525,10001010,3,qpool_6c9ad557921d1966,1,0,0,0,1,0,1,0
qmask_424f9867dfadb061,10110000,3,qpool_bace2709926cfaee,1,0,1,1,0,0,0,0
qmask_427363983d4a675f,11011110,6,qpool_169a31b6710ef111,1,1,0,1,1,1,1,0
qmask_47a8b0e6e63f5071,10111110,6,qpool_c519138426e50658,1,0,1,1,1,1,1,0
qmask_494f47beb25cae41,11111001,6,qpool_6c9ad557921d1966,1,1,1,1,1,0,0,1
qmask_4cc030241e0f1e44,01100010,3,qpool_7d29cbb2adc90870,0,1,1,0,0,0,1,0
qmask_4dc7fd92c7b096a2,11101001,5,qpool_04a0d16a2ce1d6ae,1,1,1,0,1,0,0,1
qmask_4f926e356a625a67,01111100,5,qpool_0ffd30d33ad8dd0f,0,1,1,1,1,1,0,0
qmask_5106913f39c2ea0e,01100101,4,qpool_4da0243bdf72a6cd,0,1,1,0,0,1,0,1
qmask_514b410bbe7f097e,11010111,6,qpool_094d56ddcd5f1fe4,1,1,0,1,0,1,1,1
qmask_527883050feb9009,11001011,5,qpool_70bc91001fd21361,1,1,0,0,1,0,1,1
qmask_55cbf5fefb67a9c9,10010100,3,qpool_169a31b6710ef111,1,0,0,1,0,1,0,0
qmask_56332775d253c008,10100101,4,qpool_04a0d16a2ce1d6ae,1,0,1,0,0,1,0,1
qmask_581f449a19375ab8,00011100,3,qpool_59fb93108c625f9c,0,0,0,1,1,1,0,0
qmask_58970516f324daa1,11011000,4,qpool_a6ffe2b653ce5a24,1,1,0,1,1,0,0,0
qmask_58d4e1dd95e5c5b0,00111111,6,qpool_4da0243bdf72a6cd,0,0,1,1,1,1,1,1
qmask_5a3f155888c60ff4,10001001,3,qpool_a6ffe2b653ce5a24,1,0,0,0,1,0,0,1
qmask_5febbac13cd7abee,00010110,3,qpool_6c9ad557921d1966,0,0,0,1,0,1,1,0
qmask_6227c96ae46c75f8,01111001,5,qpool_e3bc02cdca185ab2,0,1,1,1,1,0,0,1
qmask_649dfffca1027d37,11101111,7,qpool_59fb93108c625f9c,1,1,1,0,1,1,1,1
qmask_68ff8f889255b0e9,00001111,4,qpool_169a31b6710ef111,0,0,0,0,1,1,1,1
qmask_693dc55993aa4fa9,11001111,6,qpool_0b1792f4952557ee,1,1,0,0,1,1,1,1
qmask_6d08de407943319e,11101101,6,qpool_7d29cbb2adc90870,1,1,1,0,1,1,0,1
qmask_6d873abcf3a8f6b9,01001001,3,qpool_04a0d16a2ce1d6ae,0,1,0,0,1,0,0,1
qmask_7496171506cc1757,10011111,6,qpool_3bc403a0734a65bf,1,0,0,1,1,1,1,1
qmask_75e6dad44fc41222,01100100,3,qpool_c519138426e50658,0,1,1,0,0,1,0,0
qmask_7c330068eacbeec8,01111110,6,qpool_04a0d16a2ce1d6ae,0,1,1,1,1,1,1,0
qmask_7c7f09c2f082e17d,01111000,4,qpool_ff721276bd560c43,0,1,1,1,1,0,0,0
qmask_7c849c67ebb1b4f9,10111111,7,qpool_0ffd30d33ad8dd0f,1,0,1,1,1,1,1,1
qmask_7f50455f5507bafe,10010011,4,qpool_70bc91001fd21361,1,0,0,1,0,0,1,1
qmask_81b5d6cd2a60bf37,11110101,6,qpool_3bc403a0734a65bf,1,1,1,1,0,1,0,1
qmask_83013e5a4235b8ec,00010111,4,qpool_70bc91001fd21361,0,0,0,1,0,1,1,1
qmask_849e90ce5ffd4bc1,00111010,4,qpool_0b1792f4952557ee,0,0,1,1,1,0,1,0
qmask_84e1013c62ab0342,10110111,6,qpool_0b1792f4952557ee,1,0,1,1,0,1,1,1
qmask_85812c22f52f55f2,10101111,6,qpool_3bc403a0734a65bf,1,0,1,0,1,1,1,1
qmask_8630d2328962fa10,00111000,3,qpool_094d56ddcd5f1fe4,0,0,1,1,1,0,0,0
qmask_87bb9cc60085dcff,11011101,6,qpool_04a0d16a2ce1d6ae,1,1,0,1,1,1,0,1
qmask_87c7efb1f0502cb1,01001101,4,qpool_7d29cbb2adc90870,0,1,0,0,1,1,0,1
qmask_884363745844cf9e,10110011,5,qpool_bace2709926cfaee,1,0,1,1,0,0,1,1
qmask_88b9054a02247dd1,11000010,3,qpool_59fb93108c625f9c,1,1,0,0,0,0,1,0
qmask_8a4fe6aab0927861,11110001,5,qpool_ff721276bd560c43,1,1,1,1,0,0,0,1
qmask_8a58e1cfc4f87182,11010001,4,qpool_a6ffe2b653ce5a24,1,1,0,1,0,0,0,1
qmask_8a9d405ad1968a90,11001000,3,qpool_169a31b6710ef111,1,1,0,0,1,0,0,0
qmask_8ec53a11acfe0f00,11110110,6,qpool_3bc403a0734a65bf,1,1,1,1,0,1,1,0
qmask_8fc54aeb91caafc9,00111101,5,qpool_0ffd30d33ad8dd0f,0,0,1,1,1,1,0,1
qmask_90dd78ad11f097b3,11110100,5,qpool_e3bc02cdca185ab2,1,1,1,1,0,1,0,0
qmask_92fdf63f6fed474e,00011001,3,qpool_0b1792f4952557ee,0,0,0,1,1,0,0,1
qmask_95b0a9234a9eee46,10101110,5,qpool_0b1792f4952557ee,1,0,1,0,1,1,1,0
qmask_95e119f889d86d43,00111011,5,qpool_7d29cbb2adc90870,0,0,1,1,1,0,1,1
qmask_96b494b452b77f8e,01110100,4,qpool_169a31b6710ef111,0,1,1,1,0,1,0,0
qmask_9a6bcdbfd54eac0e,10101001,4,qpool_7d29cbb2adc90870,1,0,1,0,1,0,0,1
qmask_9a86a5949df1b42b,01001100,3,qpool_0b1792f4952557ee,0,1,0,0,1,1,0,0
qmask_9cf9f1f53520f88b,01111010,5,qpool_59fb93108c625f9c,0,1,1,1,1,0,1,0
qmask_9df5cd7b1d191d30,00001110,3,qpool_a6ffe2b653ce5a24,0,0,0,0,1,1,1,0
qmask_9ef84ec72720c5bb,00100111,4,qpool_ff721276bd560c43,0,0,1,0,0,1,1,1
qmask_9f2a7299208a9ed1,01100111,5,qpool_e3bc02cdca185ab2,0,1,1,0,0,1,1,1
qmask_a3ac1f42a70defe3,10110101,5,qpool_04a0d16a2ce1d6ae,1,0,1,1,0,1,0,1
qmask_a4b7b621b0c57baf,10111100,5,qpool_094d56ddcd5f1fe4,1,0,1,1,1,1,0,0
