model,slice,value,n,mae,rmse
additive_head,P_B,0,60,0.2995626931181535,0.34434003731372487
additive_head,P_B,1,99,0.3401767290610955,0.4442757391097203
additive_head,P_E,0,89,0.29926525787037017,0.3612140105864456
additive_head,P_E,1,70,0.35738071162392443,0.46356677763848947
additive_head,B_E,0,68,0.3011753047736693,0.36597316407188074
additive_head,B_E,1,91,0.34254216526954007,0.43912054613948104
group_interaction,P_B,0,60,0.2704453979302175,0.32789279682687317
group_interaction,P_B,1,99,0.33018636575461646,0.4312684472737007
group_interaction,P_E,0,89,0.2692403613388179,0.3216047285626606
group_interaction,P_E,1,70,0.3564683132337898,0.4729669504131217
group_interaction,B_E,0,68,0.27736989222830316,0.3409475665941145
group_interaction,B_E,1,91,0.3302639715823677,0.4317024759582435
pb_group_interaction,P_B,0,60,0.3043138097812601,0.36084279754094406
pb_group_interaction,P_B,1,99,0.3357648454448903,0.4333427102691519
pb_group_interaction,P_E,0,89,0.3044239219578117,0.3712454434738297
pb_group_interaction,P_E,1,70,0.3486545604524929,0.44939631037205785
pb_group_interaction,B_E,0,68,0.30243805260921286,0.37092286405088737
pb_group_interaction,B_E,1,91,0.33993143635706896,0.432823081244545
