model,n_P,n,mae,rmse,has_B
additive_head,0,42,0.5072747198532448,0.5733372010872964,
additive_head,1,43,0.3389559647378382,0.43170949176741175,
additive_head,2,87,0.30583161776266704,0.34847663467276285,
additive_head,3,67,0.4204769560810355,0.5050240644072063,
additive_head,0,3,0.4100843108807994,0.48458515306513267,0.0
additive_head,0,39,0.5147509051588175,0.5796016453988331,1.0
additive_head,1,8,0.2749880032513022,0.34550229928116216,0.0
additive_head,1,35,0.3535772130776178,0.44909648841267163,1.0
additive_head,2,8,0.3077823762529415,0.354895319084428,0.0
additive_head,2,79,0.305634072599095,0.34782003653413607,1.0
additive_head,3,4,0.3671413216771476,0.42005697085147564,0.0
additive_head,3,63,0.4238633455669966,0.5099410492258666,1.0
group_count_interaction,0,42,0.17119308350754464,0.23614587200252402,
group_count_interaction,1,43,0.2873230634637511,0.32684269196073146,
group_count_interaction,2,87,0.27157439236609116,0.31692236473591157,
group_count_interaction,3,67,0.17360804348874745,0.21109162325082834,
group_count_interaction,0,3,0.19365715834494912,0.29441248075912496,0.0
group_count_interaction,0,39,0.16946507775082123,0.23105602238866266,1.0
group_count_interaction,1,8,0.22856336516686215,0.24927745968980156,0.0
group_count_interaction,1,35,0.3007538516458972,0.3421115203353062,1.0
group_count_interaction,2,8,0.2750949617434912,0.3226810523884174,0.0
group_count_interaction,2,79,0.27121787901141786,0.316333360973307,1.0
group_count_interaction,3,4,0.24886263298679517,0.30237174068083617,0.0
group_count_interaction,3,63,0.16882997431426822,0.20392122039391428,1.0
pb_count_interaction,0,42,0.4868154643136942,0.5443055638391331,
pb_count_interaction,1,43,0.3341242592915318,0.40618904708674636,
pb_count_interaction,2,87,0.30541946199759523,0.34655106678915465,
pb_count_interaction,3,67,0.4018574200846939,0.4715530295237411,
pb_count_interaction,0,3,0.4948320607116479,0.5960608832390119,0.0
pb_count_interaction,0,39,0.48619880305231317,0.5401190096094665,1.0
pb_count_interaction,1,8,0.2632116087294156,0.3080462367221038,0.0
pb_count_interaction,1,35,0.3503328651343011,0.4254547292747935,1.0
pb_count_interaction,2,8,0.2854434009028677,0.3387438817122977,0.0
pb_count_interaction,2,79,0.3074423542603524,0.34733188275522536,1.0
pb_count_interaction,3,4,0.35991390550560254,0.3814170578822543,0.0
pb_count_interaction,3,63,0.40452050037542997,0.4767008896901671,1.0
pb_occupancy_interaction,0,42,0.5095419723245934,0.5783099613241067,
pb_occupancy_interaction,1,43,0.34089909284903774,0.4260013463230059,
pb_occupancy_interaction,2,87,0.3080639867421854,0.34941783226571954,
pb_occupancy_interaction,3,67,0.4168134000073258,0.501685621078535,
pb_occupancy_interaction,0,3,0.4056651522470654,0.48587223320485357,0.0
pb_occupancy_interaction,0,39,0.5175324969459415,0.5848156798470245,1.0
pb_occupancy_interaction,1,8,0.2801738615410822,0.3345406737216549,0.0
pb_occupancy_interaction,1,35,0.35477914571942754,0.4442707548001548,1.0
pb_occupancy_interaction,2,8,0.3516136920943828,0.3995352162849429,0.0
pb_occupancy_interaction,2,79,0.3036538899976591,0.34393567912325573,1.0
pb_occupancy_interaction,3,4,0.3752192665574571,0.47169649991312296,0.0
pb_occupancy_interaction,3,63,0.41945429736922224,0.5035293946192542,1.0
