variant,seed,concealment,measurement_fraction,observer,total_loss,measurements_used,protocol_loss_mean,protocol_loss_cvar,risk_auroc,unsafe_allowed_rate,severity_weighted_miss_rate,false_block_rate,clean_utility_retained,escalation_rate,mean_risk_score,worst_family_protocol_loss
pending-operation,9100,0.0,0.0,random,0.0015,0,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29072247442822663,0.002552552552552553
pending-operation,9100,0.0,0.0,periodic,0.0015,0,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29072247442822663,0.002552552552552553
pending-operation,9100,0.0,0.0,missing-first,0.0015,0,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29072247442822663,0.002552552552552553
pending-operation,9100,0.0,0.0,uncertainty-severity,0.0015,0,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29072247442822663,0.002552552552552553
pending-operation,9100,0.0,0.02,random,0.0017000000000000001,20,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.2905843581197563,0.002552552552552553
pending-operation,9100,0.0,0.02,periodic,0.0017000000000000001,20,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.2906630121353572,0.002552552552552553
pending-operation,9100,0.0,0.02,missing-first,0.0017000000000000001,20,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29091072865187906,0.002552552552552553
pending-operation,9100,0.0,0.02,uncertainty-severity,0.0017000000000000001,20,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.2986878423935946,0.002552552552552553
pending-operation,9100,0.0,0.05,random,0.002,50,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.29041561351627715,0.002552552552552553
pending-operation,9100,0.0,0.05,periodic,0.002,50,0.0015,0.015000000000000005,1.0,0.0,0.0,0.0,1.0,0.03,0.2907140971123272,0.002552552552552553
