variant,concealment,measurement_fraction,observer,total_loss,loss_min,loss_max,missed_severity,clean_utility
cross-agent-origin,0.0,0.0,missing-first,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
cross-agent-origin,0.0,0.0,periodic,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
cross-agent-origin,0.0,0.0,random,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
cross-agent-origin,0.0,0.0,uncertainty-severity,0.00415,0.0015,0.009500000000000001,0.00922920713368373,1.0
cross-agent-origin,0.0,0.02,missing-first,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.02,periodic,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.02,random,0.004350000000000001,0.0017000000000000001,0.009700000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.02,uncertainty-severity,0.004350000000000001,0.0017000000000000001,0.0097,0.00922920713368373,1.0
cross-agent-origin,0.0,0.05,missing-first,0.0046500000000000005,0.002,0.010000000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.05,periodic,0.0046500000000000005,0.002,0.010000000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.05,random,0.00465,0.002,0.01,0.00922920713368373,1.0
cross-agent-origin,0.0,0.05,uncertainty-severity,0.00465,0.002,0.01,0.00922920713368373,1.0
cross-agent-origin,0.0,0.1,missing-first,0.00515,0.0025,0.010500000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.1,periodic,0.00515,0.0025,0.010499999999999999,0.00922920713368373,1.0
cross-agent-origin,0.0,0.1,random,0.00515,0.0025,0.010500000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.1,uncertainty-severity,0.00515,0.0025,0.010499999999999999,0.00922920713368373,1.0
cross-agent-origin,0.0,0.25,missing-first,0.0066500000000000005,0.004,0.012000000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.25,periodic,0.0066500000000000005,0.004,0.012,0.00922920713368373,1.0
cross-agent-origin,0.0,0.25,random,0.0066500000000000005,0.004,0.012000000000000002,0.00922920713368373,1.0
cross-agent-origin,0.0,0.25,uncertainty-severity,0.0066500000000000005,0.004,0.012,0.00922920713368373,1.0
cross-agent-origin,0.0,1.0,missing-first,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
cross-agent-origin,0.0,1.0,periodic,0.014150000000000001,0.0115,0.0195,0.00922920713368373,1.0
