stage,seconds,gpu_peak_allocated_bytes,gpu_incremental_peak_bytes,process_lifetime_peak_rss_bytes,n_rows,repeat
dataset_download_and_split,24.58235418000004,0,0,3034910720,,
model_download_and_load,65.73350571599985,18484297728,18484297728,21456891904,,
render_all_prompt_views,0.18517657099982898,18483413504,0,21456891904,1464.0,
transformer_warmup,1.3283349729999827,18882356736,398943232,21456891904,2.0,
construction_basic_measurement,186.067129389,19679796224,1187863040,21456891904,1464.0,
construction_detailed_measurement,174.6936711909998,19503592448,1011659264,21456891904,1464.0,
construction_neutral_measurement,136.6887538560004,19679794176,1187860992,21456891904,1464.0,
construction_dense_layer_ridge_selection_and_refit,0.3295983470002284,18491933184,0,21456891904,,
sae_download_layer_9,5.64153253800032,18491933184,0,21456891904,,
sae_download_layer_20,5.118066810000073,18491933184,0,21456891904,,
sae_download_layer_31,4.625365641999906,18491933184,0,21456891904,,
construction_sae_all_layers_encode_select_refit,11.702178835999803,18741494272,249561088,21456891904,,
selected_sae_weight_load,0.8658129129998997,18491933184,0,21456891904,,
export_dense_frozen_readout,0.09638969700017697,18491933184,0,21456891904,,
export_selected_sae_features,0.18216231399992466,18741494272,249561088,21456891904,,
export_sae_frozen_readout,0.16547056700028406,18491933184,0,21456891904,,
warm_basic_output_measurement,8.180548478999754,18904035840,412102656,21456891904,64.0,0.0
warm_detailed_output_measurement,7.597301289999905,18887684096,395750912,21456891904,64.0,0.0
warm_dense_neutral_measurement,5.962781439999617,18849298432,357365248,21456891904,64.0,0.0
warm_dense_projection_and_readout,0.0019073410003329627,18491933184,0,21456891904,64.0,0.0
warm_sae_neutral_measurement,5.976030090000222,18849298432,357365248,21456891904,64.0,0.0
warm_sae_encoding_with_weight_transfer,0.06088721500009342,18741494272,249561088,21456891904,64.0,0.0
warm_sae_readout,0.0009528360001240799,18491933184,0,21456891904,64.0,0.0
cached_dense_audit_choice,6.151600018711179e-05,18491933184,0,21456891904,64.0,0.0
cached_sae_audit_choice,5.533700004889397e-05,18491933184,0,21456891904,64.0,0.0
cached_detailed_audit_choice,5.272900034469785e-05,18491933184,0,21456891904,64.0,0.0
warm_sae_neutral_measurement,5.9645855379999375,18849298432,357365248,21456891904,64.0,1.0
warm_sae_encoding_with_weight_transfer,0.0544835549999334,18741494272,249561088,21456891904,64.0,1.0
warm_sae_readout,0.000992808999853878,18491933184,0,21456891904,64.0,1.0
warm_basic_output_measurement,8.20665688500003,18904035840,412102656,21456891904,64.0,1.0
warm_detailed_output_measurement,7.639562654000201,18887684096,395750912,21456891904,64.0,1.0
warm_dense_neutral_measurement,5.980741435000255,18849298432,357365248,21456891904,64.0,1.0
warm_dense_projection_and_readout,0.0020692110001618857,18491933184,0,21456891904,64.0,1.0
cached_dense_audit_choice,8.33690000945353e-05,18491933184,0,21456891904,64.0,1.0
cached_sae_audit_choice,6.10249999226653e-05,18491933184,0,21456891904,64.0,1.0
cached_detailed_audit_choice,5.8289000207878416e-05,18491933184,0,21456891904,64.0,1.0
warm_dense_neutral_measurement,5.990440039000077,18849298432,357365248,21456891904,64.0,2.0
warm_dense_projection_and_readout,0.005784680000033404,18491933184,0,21456891904,64.0,2.0
warm_sae_neutral_measurement,5.986611554999854,18849298432,357365248,21456891904,64.0,2.0
warm_sae_encoding_with_weight_transfer,0.05583619600020029,18741494272,249561088,21456891904,64.0,2.0
warm_sae_readout,0.0009586649998709618,18491933184,0,21456891904,64.0,2.0
warm_basic_output_measurement,8.206588487000317,18904035840,412102656,21456891904,64.0,2.0
warm_detailed_output_measurement,7.630877491000319,18887684096,395750912,21456891904,64.0,2.0
cached_dense_audit_choice,6.693500017718179e-05,18491933184,0,21456891904,64.0,2.0
cached_sae_audit_choice,5.0797999847418396e-05,18491933184,0,21456891904,64.0,2.0
cached_detailed_audit_choice,5.091299999548937e-05,18491933184,0,21456891904,64.0,2.0
