fit_id,n_prompts,n_name_pairs,scalar_gain,four_method_fit_seconds,fit_and_selection_seconds
full,192,96,0.8475022010178648,0.007137875072658062,0.035338124725967646
90400-0,93,48,0.8432164331132883,0.006496208254247904,0.032220750115811825
90400-1,99,48,0.8497159201065811,0.00635804096236825,0.03039700025692582
90401-0,94,48,0.8389868389539364,0.0068047079257667065,0.031198041047900915
90401-1,98,48,0.856312696171842,0.0062975408509373665,0.03127370774745941
90402-0,89,48,0.8474801600299733,0.006223374977707863,0.03336162492632866
90402-1,103,48,0.8493107595245126,0.00672345794737339,0.03333570808172226
90403-0,103,48,0.8588457243414144,0.007635333109647036,0.03431666595861316
90403-1,89,48,0.835446078556251,0.0067144171334803104,0.033095917198807
90404-0,99,48,0.8441666331716129,0.0068385000340640545,0.03353683417662978
90404-1,93,48,0.8511686777298954,0.007240666076540947,0.034571750089526176
90405-0,97,48,0.8411250983220965,0.006855416111648083,0.03346141567453742
90405-1,95,48,0.8557412146573725,0.0070786247961223125,0.03246974991634488
90406-0,94,48,0.8582296682790245,0.006459500174969435,0.030858749989420176
90406-1,98,48,0.8376680569941142,0.006238415837287903,0.030888250097632408
90407-0,101,48,0.8402946109859584,0.006462249904870987,0.03221687488257885
90407-1,91,48,0.8560996721593336,0.006488958839327097,0.03147374978289008
90408-0,90,48,0.8430333709431709,0.0068152910098433495,0.0320758749730885
90408-1,102,48,0.8531333290811599,0.00655183382332325,0.03169454215094447
90409-0,91,48,0.8363177030058888,0.006470624823123217,0.031937041785568
90409-1,101,48,0.8569765946949655,0.006482207681983709,0.03399570798501372
90410-0,98,48,0.8659477035724179,0.007540457881987095,0.03486791579052806
90410-1,94,48,0.8305322173482679,0.007566916290670633,0.03429000033065677
90411-0,97,48,0.8264677515219783,0.006310374941676855,0.033946209121495485
90411-1,95,48,0.8712548650757933,0.007755792234092951,0.036237750202417374
90412-0,93,48,0.8640194894522226,0.007321666926145554,0.032898041885346174
90412-1,99,48,0.8323347551283328,0.007684791926294565,0.03668466676026583
90413-0,96,48,0.8661008671964997,0.007623749785125256,0.034583708737045527
90413-1,96,48,0.8310244069110982,0.007203834131360054,0.03354487521573901
90414-0,97,48,0.8266897986030959,0.006600749678909779,0.031292791943997145
90414-1,95,48,0.8690259620264629,0.006698125042021275,0.032337709330022335
90415-0,99,48,0.8360852014387676,0.006402208004146814,0.03249145811423659
90415-1,93,48,0.862248433492245,0.006732916925102472,0.033573334105312824
90416-0,101,48,0.8512334799868857,0.006606583949178457,0.032737667206674814
90416-1,91,48,0.8437876970925813,0.006713582668453455,0.033672790974378586
90417-0,98,48,0.8576686782851588,0.006465625017881393,0.03324916586279869
90417-1,94,48,0.840057128604227,0.006292833015322685,0.035848208237439394
90418-0,102,48,0.8297954342133179,0.00650237500667572,0.03318962501361966
90418-1,90,48,0.8671735429008258,0.0077355001121759415,0.03633891697973013
90419-0,92,48,0.8639424998443578,0.007775874808430672,0.03385879099369049
90419-1,100,48,0.8307643316224325,0.006544083822518587,0.03435416705906391
