observer,estimator,direction_provider,support_mode,estimator_calibration,controller_mode,step,target_mse,target_mae,observer_error_mae,collateral_abs_delta,collateral_rms_delta,mean_observer_estimate,mean_true_target,mean_target_ref,mean_residual_off_support_l2,mean_residual_off_support_normalized,mean_nearest_clean_residual_l2,mean_residual_delta_from_initial_l2,mean_abs_residual_norm_z,mean_convex_hull_extrapolation_mass,fraction_outside_clean_convex_hull,next_clip_fraction
first_order,first_order,first_order,unprojected,none,base,0,9.99998883344233e-05,0.009999994188547134,0.0025220133429816713,0.0,0.0,0.2111999999850872,0.21065592765808105,0.2206558883190155,2.8394993714309434e-15,4.980176360474424e-16,4.100600288795277e-05,0.0,0.8645108938217163,3.332671952478531e-06,0.0,0.0
first_order,first_order,first_order,unprojected,none,base,1,5.276192190206469e-05,0.007186870124854921,0.0040181764077195726,9.022171525642957e-05,9.634594403909889e-05,0.21126710827945083,0.21346903520507782,0.2206558883190155,0.004958979126889858,0.0008697515790389952,0.005046926938746104,0.005042229682109501,0.8648166475125724,0.0001294381944504148,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,2,2.3716438200054335e-05,0.004393703002336526,0.006477844327630964,0.0001798031295364121,0.0001920081236222939,0.211333740308136,0.21626220232759624,0.2206558883190155,0.00988276451834628,0.0017333305555760903,0.010053279663262053,0.010048674801935923,0.8651324046418852,0.0002577487882119969,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,3,1.2481908272440047e-05,0.002861733362441076,0.00900417864534792,0.0002687487870379957,0.0002869913914067295,0.21139989945118715,0.21903554642158068,0.2206558883190155,0.014771605943320209,0.002590780736397706,0.015024163358471834,0.015019589321511666,0.8654570126366713,0.00038514876529737894,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,4,1.8682933175178828e-05,0.0034070385113087907,0.011512583639444214,0.00035706319970911293,0.00038130056561023334,0.2114655890646603,0.22178920817050748,0.2206558883190155,0.01962575139815918,0.0034421456173946985,0.01995978402078519,0.019955225400507683,0.8657902493024607,0.0005116445883273791,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,5,4.195029984137456e-05,0.005487685900947601,0.014003186553825575,0.00044475084747666284,0.00047494043025616493,0.21153081248079356,0.2245233272594261,0.2206558883190155,0.024445447119187766,0.004287468385768836,0.024860382778049497,0.024855833409024874,0.8661318962960626,0.0006372426740580183,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,6,8.192088737110418e-05,0.008021047345178814,0.016476113729351084,0.0005318161784734554,0.0005679157354154876,0.21159557300817633,0.22723804238204498,0.2206558883190155,0.02923093759519813,0.005126791922223506,0.029726205141431733,0.029721661940294596,0.8664817390666045,0.0007619493937056288,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,7,0.00013823757469079323,0.010536429594470084,0.018931490610242477,0.0006182636092641748,0.0006602311974482804,0.2116598739319172,0.22993349124776757,0.2206558883190155,0.03398246557985246,0.005960158803138967,0.03455749661869972,0.03455295782328891,0.8668395667974055,0.0008857710732702799,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,8,0.00021054914956243753,0.01303396024666234,0.021369441750447214,0.0007040975250691633,0.0007518914992426082,0.2117237185138102,0.2326098105886772,0.2206558883190155,0.03870027210399695,0.006787611302732092,0.03935450162638085,0.03934996613524171,0.8672051723486492,0.0010087139938564451,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,9,0.0002985102189232857,0.015513765994038366,0.02379009081995713,0.0007893222799870322,0.0008429012904522693,0.21178710999250056,0.23526713616647363,0.2206558883190155,0.04338459648788882,0.00760919139520085,0.044117463135302425,0.04411293021408065,0.867578352200883,0.0011307843919920637,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,10,0.00040178112053683917,0.017975972629749155,0.026193560611081315,0.0008739421972155599,0.0009332651877326896,0.21185005158364906,0.23790560277935974,0.2206558883190155,0.048035676353335895,0.008424940756853471,0.04884662253615095,0.048842091670770894,0.8679589063992997,0.0012519884599442254,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,11,0.0005200278359363294,0.02042070505419545,0.028612797788784207,0.0009579615692707103,0.001022987774974791,0.21191254648009492,0.24052534426887912,0.2206558883190155,0.05265374763575098,0.009234900768222637,0.05354221958499892,0.05353769040157143,0.8683466384988106,0.0013723323460340662,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,12,0.0006529219046420845,0.0228480872813633,0.031151895674688082,0.0010413846582047102,0.0011120736035379374,0.2119745978520178,0.24312649352670587,0.2206558883190155,0.05723904459611959,0.010039112516164498,0.05820449238210572,0.058199964600204206,0.8687413555098944,0.001491822154947941,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,13,0.0008001403396344542,0.025258242445114917,0.03367297365428678,0.0011242156958221584,0.0012005271924805836,0.2120362088470988,0.24570918250138557,0.2206558883190155,0.06179179983288397,0.010837616795943016,0.06283367736603161,0.0628291507699371,0.8691428678452124,0.0016104639480476392,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,14,0.0009613655440642586,0.027651292805435025,0.03617615961434865,0.0012064588838945323,0.0012883530287894935,0.21209738259068006,0.24827354220502873,0.2206558883190155,0.06631224429374145,0.011630454113299236,0.06743000931536597,0.06742548373558084,0.869550989266987,0.0017282637436774628,1.0,0.0
first_order,first_order,first_order,unprojected,none,base,15,0.001136285229182928,0.030163797390023624,0.03866158053403327,0.0012881183943736624,0.001375555567607602,0.21215812218592311,0.2508197027199564,0.2206558883190155,0.07080060728736032,0.012417664686506173,0.07199372135447774,0.07198919665540114,0.8699655368351117,0.0018452275174698609,1.0,
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,0,9.99998883344233e-05,0.009999994188547134,0.002522027017613859,0.0,0.0,0.21120000032549016,0.21065592765808105,0.2206558883190155,2.8394993714309434e-15,4.980176360474424e-16,4.100600288795277e-05,0.0,0.8645108938217163,3.332671952478531e-06,0.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,1,5.2761934931030094e-05,0.007186870226124867,0.0040181767258910634,9.022170771625964e-05,9.634599819167623e-05,0.21126710859353004,0.2134690351038079,0.2206558883190155,0.004958978957583938,0.0008697515493445582,0.005046926754424004,0.005042229497390755,0.864816650930153,0.00012943811431288848,1.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,2,2.3716485887322233e-05,0.00439370319704502,0.006477865374718131,0.00017980311473771745,0.00019200823178673333,0.2113337405962481,0.21626220213288774,0.2206558883190155,0.009882764193474051,0.0017333304985969967,0.010053279308065684,0.010048674446557892,0.8651324114496782,0.00025774862883242507,1.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,3,1.2482011920589275e-05,0.002861745473936277,0.009004203534818074,0.0002687487652587682,0.00028699155344155864,0.2113998997136848,0.219035546141159,0.2206558883190155,0.014771605476434796,0.002590780654511028,0.015024162846413693,0.01501958880934359,0.8654570228076209,0.00038514852756249817,1.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,4,1.8683113763216604e-05,0.0034070388133156265,0.011512612350415594,0.000357063171223796,0.0003813007813733286,0.21146558930189255,0.22178920781199274,0.2206558883190155,0.019625750802629155,0.00344214551294514,0.019959783365582063,0.019955224745230506,0.8657902628098236,0.0005116442731154751,1.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,5,4.195057802790564e-05,0.005487705470229715,0.014003219065519124,0.00044475081255613793,0.0004749406996046444,0.21153081269310586,0.2245233268303347,0.2206558883190155,0.02444544640819906,0.004287468261069068,0.02486038199321041,0.024855832624133257,0.8661319131134002,0.0006372422822387189,1.0,0.0
lifted_interaction,lifted_interaction,lifted_interaction,unprojected,none,base,6,8.19212834974897e-05,0.008021070764828253,0.016476150021090236,0.0005318161373850828,0.0005679160582058092,0.21159557319591052,0.22723804188979063,0.2206558883190155,0.029230936781755985,0.005126791779554507,0.02972620424027411,0.02972166103909881,0.8664817591677796,0.0007619489261401157,1.0,0.0
