observer,arm_id,estimator_name,direction_name,direction_support_mode,estimator_calibration,controller_mode,loop_steps,model_test_mse,model_test_r2,observer_initial_r2_vs_plant_target,observer_initial_mae_vs_plant_target,observer_initial_r2_vs_synthetic_clean_target,observer_initial_mae_vs_synthetic_clean_target,observer_initial_r2_vs_true_target,observer_initial_mae_vs_true_target,initial_target_mse,final_target_mse,final_over_initial_target_mse,target_improvement_mse,target_improvement_fraction,integrated_squared_error,integrated_absolute_error,final_target_mae,cumulative_collateral_abs,final_collateral_abs,max_collateral_abs,actuation_energy_l1,mean_abs_strength,mean_strength,max_abs_strength,overshoot_mean,undershoot_mean,settled_fraction,settling_step_mean,large_error_trajectory_rate,final_mse_growth_flag_rate,divergence_rate,divergence_rate_mse_growth,divergence_rate_old_abs_threshold,target_error_worsened_rate,mean_observer_bias_initial,mean_observer_bias_final,observer_bias_mae_path,effective_target_gain,observer_self_gain,observer_to_target_gain_ratio,mismatch_projection,observer_error_pole_unsaturated,observer_direction_sign_compatible,locally_convergent_unsaturated,target_gain_on_support_component,target_gain_off_support_component,observer_gain_on_support_component,observer_gain_off_support_component,effective_collateral_gain,raw_target_gain,direction_norm,raw_direction_norm,normalization_mode,orientation_sign,raw_parallel_norm,raw_orthogonal_norm,fixed_parallel_norm,target_head_norm,post_normalization_target_gain_error,projected_direction_scale,projected_target_gain_before_rescale,direction_norm_ratio_vs_unprojected,residual_support_rank,residual_support_n_centroids,residual_support_absolute_tolerance,residual_support_clean_rms_radius,mean_residual_off_support_l2_path,final_residual_off_support_l2,max_residual_off_support_l2,mean_residual_off_support_normalized_path,mean_residual_delta_from_initial_l2_path,final_residual_delta_from_initial_l2,max_residual_delta_from_initial_l2,mean_residual_delta_from_initial_normalized_path,mean_nearest_clean_residual_l2_path,final_nearest_clean_residual_l2,max_nearest_clean_residual_l2,mean_nearest_clean_residual_normalized_path,mean_abs_residual_norm_z_path,max_abs_residual_norm_z,mean_convex_hull_extrapolation_mass_path,final_convex_hull_extrapolation_mass,max_convex_hull_extrapolation_mass,outside_clean_convex_hull_step_fraction,convex_hull_extrapolation_tolerance,clean_residual_norm_mean,clean_residual_norm_std,clean_residual_norm_min,clean_residual_norm_max,clean_centroid_pairwise_rms,control_clip_fraction,examples_ever_clipped_fraction,clipped_command_mass_fraction,gamma,nuisance_interaction_weight,controller_gain,max_strength,target_ref_mean,divergence_abs_error_threshold,divergence_initial_error_multiplier,divergence_final_mse_multiplier,direction_on_support_norm,direction_off_support_norm,direction_off_support_fraction,affine_calibration_offset,affine_calibration_scale,calibration_raw_mae,calibration_affine_mae,response_calibration_scale,response_calibration_raw_mae,response_calibration_corrected_mae,response_calibration_raw_gain,response_calibration_target_gain,calibration_n_states,gain_match_eligible,base_controller_gain,effective_controller_gain,controller_gain_ratio_vs_base,ise_ratio_vs_lifted_diagonal_same_condition,collateral_ratio_vs_lifted_diagonal_same_condition,final_mse_ratio_vs_lifted_diagonal_same_condition,energy_ratio_vs_lifted_diagonal_same_condition
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,7.499394345708878,11.229416634579115,-6.831559622877797,-10.229416634579115,34.39503854139569,18.668161141087502,2.654187654822391,0.4692598598721932,0.058104528398541085,0.058104528398541085,30.3605931498476,0.2701877400208341,0.2701877400208341,0.34999998860934245,2.654187654822391,0.7907060229480266,0.0,,0.8866666666666667,1.0,0.8866666666666667,1.0,0.0,1.0,-0.0034939757298169337,-3.401253796662296,1.7185413420668338,0.8499999999999998,0.01162990268280446,0.013682238450358193,-0.8383700973171953,0.9959295340610185,True,True,0.011770002157829581,0.8382299978421703,0.0116299265862435,-2.3903439041496333e-08,0.014336828259752696,0.0031332414721742135,1.5252880297487468,0.055649735388883036,parallel_orthogonal,1.0,0.005618760337040229,0.055365355423112786,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21748888419424,0.011770002157829581,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,3.090837146470676,6.123400703440841,6.123400703440841,0.517823875437448,3.120270197392397,6.181711884579673,6.181711884579673,0.522754946138354,3.1202779168847434,6.1817174535640795,6.1817174535640795,0.5227562394246883,6.392843263393836,16.683175064429516,0.00958722836027782,0.018993949607485704,0.018996299894171,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.20900747439835227,1.5109002115760113,0.9905671467341775,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,0.999999990168734,1.000000023464808,0.999999987715169,0.9999999960084831
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,7.499394369429559,11.229416670097905,-6.831559646598477,-10.229416670097905,34.39503863354784,18.66816116333428,2.6541876590184015,0.46925984780808344,0.058104526928364486,0.058104526928364486,30.360593157070635,0.27018774034993304,0.27018774034993304,0.34999998860934245,2.6541876590184015,0.7907060229480266,0.0,,0.8866666666666667,1.0,0.8866666666666667,1.0,0.0,1.0,-0.0034939757298169337,-3.4012538028296513,1.7185413444826372,0.8499999999999998,0.01162990218222545,0.01368223786144171,-0.8383700978177743,0.9959295342362211,True,True,0.011770001665994912,0.8382299983340049,0.011629926085664506,-2.390343905450676e-08,0.014336827879535543,0.0031332409752683294,1.5252880294205604,0.0556497263037436,parallel_orthogonal,1.0,0.005618759445951846,0.05536534638174044,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21749190195632,0.011770001665994912,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,3.0908371507924723,6.123400714492304,6.123400714492304,0.5178238761615008,3.120270199253149,6.181711890779152,6.181711890779152,0.5227549464500953,3.120277918745374,6.181717459763432,6.181717459763432,0.5227562397364094,6.39284319848146,16.68317496208455,0.009587235483212529,0.018993963726783688,0.018996314013468983,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.2090074655946869,1.510900212462538,0.9905671475285306,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,0.9999999928479619,0.9999999977560033,0.9999999908781818,0.9999999962463914
est-lifted_interaction__dir-first_order__support-unprojected__cal-none__controller-base,est-lifted_interaction__dir-first_order__support-unprojected__cal-none__controller-base,lifted_interaction,first_order,unprojected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987759747696,0.0034939751187184937,0.9999999999999545,4.049694031564114e-08,0.9999999999999545,4.049694031564114e-08,0.6678347228310814,7.499394414117009,11.22941673701184,-6.8315596912859275,-10.22941673701184,34.3950387873904,18.66816120446715,2.654187667753177,0.4692598609252113,0.05810452861664288,0.05810452861664288,30.360593263809413,0.27018774103501353,0.27018774103501353,0.3499999827586281,2.654187667753177,0.7907060229480266,0.0,,0.8866666666666667,1.0,0.8866666666666667,1.0,0.0,1.0,-0.0034939751187184937,-3.4012538163386385,1.7185413491069323,0.8499999999999998,0.011629900823954695,0.013682236263476115,-0.8383700991760451,0.9959295347116158,True,True,0.011770002157829581,0.8382299978421703,0.011629924727403354,-2.3903448655333837e-08,0.014336828259752696,0.0031332414721742135,1.5252880297487468,0.055649735388883036,parallel_orthogonal,1.0,0.005618760337040229,0.055365355423112786,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21748888419424,0.011770002157829581,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,3.090837153406507,6.123400726425697,6.123400726425697,0.5178238765994435,3.120270204394276,6.181711907783404,6.181711907783404,0.5227549473114148,3.1202779238866216,6.1817174767678145,6.1817174767678145,0.5227562405977491,6.3928432932907695,16.68317518513027,0.009587228283212495,0.01899394948348252,0.01899629977016782,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.20900747439835227,1.5109002115760113,0.9905671467341775,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,0.9999999973207744,1.000000025708806,0.9999999968369896,0.9999999997620926
est-lifted_interaction__dir-lifted_interaction__support-unprojected__cal-none__controller-base,est-lifted_interaction__dir-lifted_interaction__support-unprojected__cal-none__controller-base,lifted_interaction,lifted_interaction,unprojected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987759747696,0.0034939751187184937,0.9999999999999545,4.049694031564114e-08,0.9999999999999545,4.049694031564114e-08,0.6678347228310814,7.499394437837672,11.229416772530604,-6.83155971500659,-10.229416772530604,34.39503887954247,18.668161226713902,2.6541876719491846,0.46925984886110095,0.0581045271464661,0.0581045271464661,30.36059327103242,0.2701877413641121,0.2701877413641121,0.3499999827586281,2.6541876719491846,0.7907060229480266,0.0,,0.8866666666666667,1.0,0.8866666666666667,1.0,0.0,1.0,-0.0034939751187184937,-3.4012538225059883,1.7185413515227335,0.8499999999999998,0.011629900323376205,0.013682235674560245,-0.8383700996766236,0.9959295348868183,True,True,0.011770001665994912,0.8382299983340049,0.011629924226824873,-2.39034486674769e-08,0.014336827879535543,0.0031332409752683294,1.5252880294205604,0.0556497263037436,parallel_orthogonal,1.0,0.005618759445951846,0.05536534638174044,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21749190195632,0.011770001665994912,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,3.0908371577283,6.123400737477153,6.123400737477153,0.5178238773234958,3.1202702062550256,6.18171191398288,6.18171191398288,0.5227549476231558,3.12027792574725,6.181717482967158,6.181717482967158,0.5227562409094697,6.392843228378382,16.68317508278527,0.009587235406147178,0.018993963602780436,0.018996313889465734,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.2090074655946869,1.510900212462538,0.9905671475285306,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0,1.0,1.0,1.0
est-first_order__dir-first_order__support-projected__cal-none__controller-base,est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,9.072536271085061e-05,0.00013585002338040788,0.6677439974683705,0.9998641499766197,1.3054344155480158,2.563663748071356,0.008718791429288775,12.34700277652418,0.9737676128406829,0.9737676128406829,69.09318262151761,0.06269998602921828,0.06269998602921828,0.34999998860934245,0.008718791429288775,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939757298169337,-0.013007975739636714,0.011033593373990014,0.85,0.8398840939660351,0.9880989340776885,-0.010115906033964839,0.7060405671118877,True,True,0.8499999999999996,4.120509723737991e-16,0.8398840939660347,4.19970988933203e-16,1.0353724931580324,0.0031332414721742135,15.093994959076518,0.055649735388883036,parallel_orthogonal,1.0,0.005618760337040229,0.055365355423112786,1.5242828645345607,0.5576392805934659,0.0,72.21748888419424,0.011770002157829581,9.895832567153155,3.0,4.0,9.222447196312308e-06,5.968896555531732,4.957783157598571e-15,6.059365238637275e-15,7.432433447720527e-15,8.306029617825925e-16,11.249912404720543,14.195899095887832,14.195899095887832,1.8847558003488232,8.0227848304132,9.926732290145134,9.926732290145134,1.3440984871781714,32.75097321689712,45.55052609662995,1.7562502864698484,2.2946517249975797,2.2946517249975797,0.951125,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,15.09399495907651,8.011955918464667e-15,5.308041999607806e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.000000072467545,0.9999998665985415,0.9999783528465634,0.9999998658787539
est-first_order__dir-lifted_interaction__support-projected__cal-none__controller-base,est-first_order__dir-lifted_interaction__support-projected__cal-none__controller-base,first_order,lifted_interaction,projected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,9.072537860415608e-05,0.00013585004717866952,0.6677439974524773,0.9998641499528214,1.305434414804188,2.5636637455449476,0.00871879239868579,12.347002976463989,0.9737676288879006,0.9737676288879006,69.09318127270701,0.0626999861052494,0.0626999861052494,0.34999998860934245,0.00871879239868579,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939757298169337,-0.013007976742656375,0.011033594166701856,0.85,0.8398840929118269,0.9880989328374434,-0.010115907088173115,0.7060405674808606,True,True,0.8499999999999996,3.8622083003309354e-16,0.8398840929118265,3.9953086667780257e-16,1.035372508964957,0.0031332409752683294,15.093994954032715,0.0556497263037436,parallel_orthogonal,1.0,0.005618759445951846,0.05536534638174044,1.5242828645345607,0.5576392805934659,0.0,72.21749190195632,0.011770001665994912,9.895832565975589,3.0,4.0,9.222447196312308e-06,5.968896555531732,5.4280412113308765e-15,6.5403780729910075e-15,8.57081152663506e-15,9.093877169475132e-16,11.249912411384225,14.195899108358336,14.195899108358336,1.8847558014652241,8.022784174228589,9.926731441428851,9.926731441428851,1.3440983772441821,32.75097158345751,45.550523991553035,1.7562499381459136,2.294651283292066,2.294651283292066,0.951125,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,15.093994954032707,7.639240042757297e-15,5.061112095255004e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0000000718977518,0.9999998827919275,0.9999785280231729,0.9999998463571402
est-lifted_interaction__dir-first_order__support-projected__cal-none__controller-base,est-lifted_interaction__dir-first_order__support-projected__cal-none__controller-base,lifted_interaction,first_order,projected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987759747696,0.0034939751187184937,0.9999999999999545,4.049694031564114e-08,0.9999999999999545,4.049694031564114e-08,0.6678347228310814,9.072731080613361e-05,0.00013585294041244648,0.6677439955202752,0.9998641470595875,1.305434321690198,2.5636634050153906,0.008718914255252539,12.347004223693094,0.9737677624531819,0.9737677624531819,69.09319323719592,0.06269999566262718,0.06269999566262718,0.3499999827586281,0.008718914255252539,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939751187184937,-0.013008102843731549,0.011033693699436251,0.85,0.8398839597252674,0.9880987761473734,-0.010116040274732563,0.7060406140961564,True,True,0.8499999999999996,4.120509723737991e-16,0.839883959725267,4.199709627061369e-16,1.0353724931580324,0.0031332414721742135,15.093994959076518,0.055649735388883036,parallel_orthogonal,1.0,0.005618760337040229,0.055365355423112786,1.5242828645345607,0.5576392805934659,0.0,72.21748888419424,0.011770002157829581,9.895832567153155,3.0,4.0,9.222447196312308e-06,5.968896555531732,4.537609103963989e-15,5.105017367824852e-15,7.227283015788984e-15,7.602090372564284e-16,11.249913723301564,14.195901276987213,14.195901276987213,1.8847560212574967,8.0227857019894,9.926733790970646,9.926733790970646,1.3440986331978242,32.75098085065293,45.550538962627705,1.7562505404838424,2.294652144263459,2.294652144263459,0.951125,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,15.09399495907651,8.011955918464667e-15,5.308041999607806e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0000000005697742,0.9999999838066403,0.9999998248258875,1.000000019521653
est-lifted_interaction__dir-lifted_interaction__support-projected__cal-none__controller-base,est-lifted_interaction__dir-lifted_interaction__support-projected__cal-none__controller-base,lifted_interaction,lifted_interaction,projected,none,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987759747696,0.0034939751187184937,0.9999999999999545,4.049694031564114e-08,0.9999999999999545,4.049694031564114e-08,0.6678347228310814,9.072732669921255e-05,0.00013585296421036894,0.6677439955043821,0.9998641470357896,1.3054343209463952,2.5636634024890577,0.00871891522462024,12.347004423632578,0.9737677785003664,0.9737677785003664,69.0931918883826,0.06269999573865606,0.06269999573865606,0.3499999827586281,0.00871891522462024,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939751187184937,-0.013008103846720695,0.011033694492124317,0.85,0.8398839586710909,0.9880987749071658,-0.010116041328909087,0.7060406144651182,True,True,0.8499999999999996,3.8622083003309354e-16,0.8398839586710906,3.9953083204604827e-16,1.035372508964957,0.0031332409752683294,15.093994954032715,0.0556497263037436,parallel_orthogonal,1.0,0.005618759445951846,0.05536534638174044,1.5242828645345607,0.5576392805934659,0.0,72.21749190195632,0.011770001665994912,9.895832565975589,3.0,4.0,9.222447196312308e-06,5.968896555531732,5.1821268255422e-15,6.1775693472551514e-15,8.944143558065583e-15,8.681884126036017e-16,11.24991372996493,14.195901289457211,14.195901289457211,1.8847560223738449,8.02278504580458,9.926732942254008,9.926732942254008,1.3440985232637996,32.750979217211516,45.55053685754778,1.756250192159805,2.2946517025577777,2.2946517025577777,0.951125,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,15.093994954032707,7.639240042757297e-15,5.061112095255004e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0,1.0,1.0,1.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,3.0070959850224705e-05,4.502754771831577e-05,0.6678046518712312,0.9999549724522817,1.3132600212488,2.6177348949373456,0.0048710283488931526,0.16946152450063878,0.01332856744767998,0.01332856744767998,6.964400619065617,0.061978224686775704,0.061978224686775704,0.34999998860934245,0.002193681331019549,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939757298169337,-0.0034939682345992594,0.0034939687030506846,0.8499999999999998,0.8499999999999993,0.9999999999999994,-4.440892098500626e-16,0.7025000000000002,True,True,0.011770002157829581,0.8382299978421703,0.8500017470415473,-1.7470415479836632e-06,0.014336828259752696,0.0031332414721742135,1.5252880297487468,0.055649735388883036,parallel_orthogonal,1.0,0.005618760337040229,0.055365355423112786,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21748888419424,0.011770002157829581,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,1.116178943936907,1.4046436918853245,1.4046436918853245,0.18699921058314833,1.1268079580640864,1.418019663297259,1.418019663297259,0.18877994409532972,1.126815677851873,1.4180252327081546,1.4180252327081546,0.18878123743116068,1.019925089332562,1.4259581331056337,0.0034618904596981663,0.004356489246285441,0.004358839532970736,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.20900747439835227,1.5109002115760113,0.9905671467341775,0.0,1.0,,,73.08745594722626,0.25151102919515866,1.4469328513122548e-15,0.01162990268280446,0.8499999999999998,2560.0,True,0.35,0.35,1.0,0.9999999992375898,1.000000027289761,1.0000019763475596,1.0000000017495818
est-first_order__dir-lifted_interaction__support-unprojected__cal-response_gain__controller-base,est-first_order__dir-lifted_interaction__support-unprojected__cal-response_gain__controller-base,first_order,lifted_interaction,unprojected,response_gain,base,15.0,0.0004140506740232001,0.9991717192268027,0.9991987744159374,0.0034939757298169337,0.9999999999999775,2.6709709300039758e-08,0.9999999999999775,2.6709709300039758e-08,0.6678347228310814,3.0070959850235733e-05,4.5027547718332285e-05,0.6678046518712312,0.9999549724522817,1.3132600212488,2.6177348949373447,0.004871028348893591,0.16946152000646672,0.013328567094202251,0.013328567094202251,6.964400612239607,0.061978224686775746,0.061978224686775746,0.34999998860934245,0.002193681331019953,0.7907060229480266,1.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034939757298169337,-0.003493968234598956,0.0034939687030509817,0.8499999999999998,0.8499999999999994,0.9999999999999996,-3.3306690738754696e-16,0.7025000000000002,True,True,0.011770001665994912,0.8382299983340049,0.8500017470416237,-1.7470416240339404e-06,0.014336827879535543,0.0031332409752683294,1.5252880294205604,0.0556497263037436,parallel_orthogonal,1.0,0.005618759445951846,0.05536534638174044,1.5242828645345607,0.5576392805934659,-2.220446049250313e-16,72.21749190195632,0.011770001665994912,1.0,3.0,4.0,9.222447196312308e-06,5.968896555531732,1.1161789445918295,1.4046436927095056,1.4046436927095056,0.18699921069287087,1.1268079578216388,1.4180196629921535,1.4180196629921535,0.1887799440547112,1.1268156776093043,1.41802523240292,1.41802523240292,0.1887812373905219,1.019925080552584,1.4259581059092028,0.003461893029159095,0.004356492479796631,0.004358842766481927,0.74675,1e-05,6.394837379455566,0.15699517726898193,6.1892242431640625,6.572997570037842,9.747161865234375,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,2.0,4.0,0.2090074655946869,1.510900212462538,0.9905671475285306,0.0,1.0,,,73.08745909308647,0.2515110293453323,8.865846425065716e-16,0.01162990218222545,0.8499999999999998,2560.0,True,0.35,0.35,1.0,0.9999999992375898,1.0000000007694507,1.0000019763479264,1.000000000769453
