index,support_mode,contrast,fixed_factor,fixed_name,metric,mean,min,max
0,projected,direction_provider_first_order_minus_lifted,estimator,first_order,actuation_energy_l1,2.9708407354670875e-07,1.5030184741249286e-07,3.7575454570060174e-07
1,projected,direction_provider_first_order_minus_lifted,estimator,first_order,cumulative_collateral_abs,-2.3474016478057062e-07,-2.969014190057351e-07,-1.1876058536586243e-07
2,projected,direction_provider_first_order_minus_lifted,estimator,first_order,final_target_abs_error,1.3832371579998912e-09,6.998122081824931e-10,1.749530076367023e-09
3,projected,direction_provider_first_order_minus_lifted,estimator,first_order,final_target_squared_error,2.938556916887353e-11,8.876299516366246e-12,3.862797480155573e-11
4,projected,direction_provider_first_order_minus_lifted,estimator,first_order,integrated_absolute_error,-2.5793387807837576e-09,-3.262371262024999e-09,-1.3049492597616563e-09
5,projected,direction_provider_first_order_minus_lifted,estimator,first_order,integrated_squared_error,-1.0119202921525053e-09,-1.5684098464419094e-09,-2.2490403983610463e-10
6,projected,direction_provider_first_order_minus_lifted,estimator,first_order,mean_residual_off_support_l2,-1.9793424378548693e-16,-3.7701118932217045e-16,1.993996264747803e-16
7,projected,direction_provider_first_order_minus_lifted,estimator,first_order,observer_bias_abs_mean,1.1287994528449048e-09,5.710863656971377e-10,1.4277153834174605e-09
8,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,actuation_energy_l1,2.970868350521035e-07,1.5030321875997288e-07,3.757580202545796e-07
9,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,cumulative_collateral_abs,-2.3473972046398709e-07,-2.9690085057154647e-07,-1.1876034733404595e-07
10,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,final_target_abs_error,1.383281084195905e-09,6.998344126429856e-10,1.749586031607464e-09
11,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,final_target_squared_error,2.9387360399024214e-11,8.87671334955922e-12,3.863044175452142e-11
12,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,integrated_absolute_error,-2.5794186292079267e-09,-3.262471182097215e-09,-1.3049872293890985e-09
13,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,integrated_squared_error,-1.0119448843326496e-09,-1.5684484822031663e-09,-2.2490981299583268e-10
14,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,mean_residual_off_support_l2,7.894566404728858e-17,-1.0847542088191156e-16,4.648290915875473e-16
15,projected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,observer_bias_abs_mean,1.1288351902163004e-09,5.711042055933646e-10,1.4277606041890323e-09
16,projected,estimator_first_order_minus_lifted,direction_provider,first_order,actuation_energy_l1,-1.793132566512649e-05,-2.1731002711078418e-05,-5.831730593541806e-06
17,projected,estimator_first_order_minus_lifted,direction_provider,first_order,cumulative_collateral_abs,-3.4081065172036537e-06,-4.07421669734731e-06,-9.168935370951203e-07
18,projected,estimator_first_order_minus_lifted,direction_provider,first_order,final_target_abs_error,-2.904078103841042e-07,-3.519456976963653e-07,-9.444812643089051e-08
19,projected,estimator_first_order_minus_lifted,direction_provider,first_order,final_target_squared_error,-6.2196044696366425e-09,-7.770753706885683e-09,-1.197973024742087e-09
20,projected,estimator_first_order_minus_lifted,direction_provider,first_order,integrated_absolute_error,5.409056672940338e-07,2.7151037418349233e-08,6.489895816308433e-07
21,projected,estimator_first_order_minus_lifted,direction_provider,first_order,integrated_squared_error,2.1142134416966367e-07,-1.8209029284399492e-09,2.9113171207129085e-07
22,projected,estimator_first_order_minus_lifted,direction_provider,first_order,mean_residual_off_support_l2,-1.4059513576384235e-16,-3.595570407071014e-16,2.456095746692493e-16
23,projected,estimator_first_order_minus_lifted,direction_provider,first_order,observer_bias_abs_mean,-2.3777076811157377e-07,-2.862334014322454e-07,-6.731020992661874e-08
24,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,actuation_energy_l1,-1.7931322903621093e-05,-2.173099923652444e-05,-5.831729222194326e-06
25,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,cumulative_collateral_abs,-3.40810607288707e-06,-4.074216128913122e-06,-9.168932990633039e-07
26,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,final_target_abs_error,-2.904077664579082e-07,-3.5194564174112486e-07,-9.444810422643002e-08
27,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,final_target_squared_error,-6.219602678406492e-09,-7.770751239932717e-09,-1.197972610908894e-09
28,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,integrated_absolute_error,5.409055874456097e-07,2.715099944872179e-08,6.489895030270532e-07
29,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,integrated_squared_error,2.1142131957748352e-07,-1.8209087015996772e-09,2.911316734355296e-07
30,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,mean_residual_off_support_l2,1.3628477206893312e-16,7.122455622782134e-17,2.293697640150962e-16
31,projected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,observer_bias_abs_mean,-2.3777073237420237e-07,-2.8623335621147383e-07,-6.731019208672251e-08
32,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,actuation_energy_l1,-2.651958658930198e-07,-3.354220581286427e-07,-1.341688484757242e-07
33,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,cumulative_collateral_abs,6.501488858042433e-08,3.289256667038387e-08,8.223140079977043e-08
34,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,final_target_abs_error,-1.7382831971760974e-08,-2.1985957943115864e-08,-8.794384775967501e-09
35,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,final_target_squared_error,-9.436385155225935e-08,-1.41323409863503e-07,-2.2645631370110664e-08
36,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,integrated_absolute_error,-9.295592780489415e-08,-1.1757147078128583e-07,-4.70285996811981e-08
37,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,integrated_squared_error,-3.70252128628105e-07,-5.544035133198122e-07,-8.888851521504648e-08
38,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,mean_residual_off_support_l2,-1.9054709778032476e-08,-2.410056421098261e-08,-9.6402272831142e-09
39,unprojected,direction_provider_first_order_minus_lifted,estimator,first_order,observer_bias_abs_mean,-1.0049219074511247e-08,-1.2710340335786441e-08,-5.0841370002885355e-09
40,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,actuation_energy_l1,-2.651957230976147e-07,-3.35421866282104e-07,-1.3416874899974118e-07
41,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,cumulative_collateral_abs,6.501489286359074e-08,3.28925633397148e-08,8.223140457452871e-08
42,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,final_target_abs_error,-1.738281611896042e-08,-2.198593751501221e-08,-8.794375450094094e-09
43,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,final_target_squared_error,-9.436376796223555e-08,-1.4132328018945373e-07,-2.2645604058624258e-08
44,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,integrated_absolute_error,-9.295583669673609e-08,-1.1757135354173442e-07,-4.702854461413608e-08
45,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,integrated_squared_error,-3.702517801092616e-07,-5.544029590964783e-07,-8.888840064003034e-08
46,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,mean_residual_off_support_l2,-1.9054699203972327e-08,-2.4100550000127896e-08,-9.640220621776052e-09
47,unprojected,direction_provider_first_order_minus_lifted,estimator,lifted_interaction,observer_bias_abs_mean,-1.0049209479963868e-08,-1.2710327901288565e-08,-5.08413133815111e-09
48,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,actuation_energy_l1,-6.332807944507597e-07,-1.6916999001637123e-06,1.658734937848294e-06
49,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,cumulative_collateral_abs,-1.2831721727613043e-08,-4.5589225616815554e-08,5.4130037563382416e-08
50,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,final_target_abs_error,-6.989001795076888e-08,-1.8669907220214554e-07,1.8306099969223055e-07
51,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,final_target_squared_error,-3.785596646217471e-07,-9.014294697351488e-07,4.7138392345047464e-07
52,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,integrated_absolute_error,-3.7195051422382147e-07,-1.233099055752973e-06,1.408713849571086e-06
53,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,integrated_squared_error,-1.4804233258445264e-06,-4.098167678989739e-06,2.3969847413596312e-06
54,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,mean_residual_off_support_l2,-4.27303212484631e-08,-1.518145653633951e-07,1.8025592929404866e-07
55,unprojected,estimator_first_order_minus_lifted,direction_provider,first_order,observer_bias_abs_mean,-4.108550730178943e-08,-1.2642045144062308e-07,1.39682229338689e-07
56,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,actuation_energy_l1,-6.332806516553546e-07,-1.6916997864768746e-06,1.658735037324277e-06
57,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,cumulative_collateral_abs,-1.2831717444446629e-08,-4.558921906649971e-08,5.413003423271334e-08
58,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,final_target_abs_error,-6.989000209796833e-08,-1.8669905799129083e-07,1.8306100901810396e-07
59,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,final_target_squared_error,-3.785595810317233e-07,-9.01429406674481e-07,4.7138395076196105e-07
60,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,integrated_absolute_error,-3.719504231156634e-07,-1.2330989704878448e-06,1.408713904638148e-06
61,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,integrated_squared_error,-1.4804229773256832e-06,-4.098167426747068e-06,2.3969848559346474e-06
62,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,mean_residual_off_support_l2,-4.273031067440295e-08,-1.518145564816109e-07,1.802559359553868e-07
63,unprojected,estimator_first_order_minus_lifted,direction_provider,lifted_interaction,observer_bias_abs_mean,-4.108549770724205e-08,-1.264204427808835e-07,1.3968223500082644e-07
