observer,estimator,direction_provider,support_mode,estimator_calibration,controller_mode,step,target_mse,target_mae,observer_error_mae,collateral_abs_delta,collateral_rms_delta,mean_observer_estimate,mean_true_target,mean_target_ref,mean_residual_off_support_l2,mean_residual_off_support_normalized,mean_nearest_clean_residual_l2,mean_residual_delta_from_initial_l2,mean_abs_residual_norm_z,mean_convex_hull_extrapolation_mass,fraction_outside_clean_convex_hull,next_clip_fraction
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,0,0.7178420730168985,0.8342809240818023,0.23685963768360144,0.0,0.0,0.3546234018425498,0.3560975193977356,1.0,2.199202457826444e-15,3.9575170125254083e-16,3.933483609550501e-05,0.0,0.9562864303588867,2.17671348474717e-06,0.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,1,0.3916535144589093,0.623376239415862,0.31450145983280897,0.005170271487578873,0.005825932746798205,0.3425484548498365,0.548097076201897,1.0,0.33278192687658203,0.05988489747218144,0.3764495113019957,0.376458651524034,1.3166815640640883,0.06854702888004212,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,2,0.17550716167385103,0.40852555698512244,0.41376322010288835,0.010437278360867015,0.011760868251523435,0.3302475865186472,0.7436889108840705,1.0,0.6717901782567798,0.12089023681459053,0.7599516744930686,0.7599608157429488,1.8426760864572653,0.13837840190206546,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,3,0.07584867278811701,0.2145899124911266,0.6252236840168254,0.01580283053156247,0.01780684594747355,0.31771656987794755,0.9429402538947728,1.0,1.0171412481977917,0.18303698140927424,1.1506291346503048,1.150638276242756,2.5310162442520103,0.20951631459422362,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,4,0.0994100074717614,0.29181509073664164,0.8409684754856863,0.021268771774673633,0.023965943425588426,0.3049510988703973,1.1459195743560835,1.0,1.368953810351754,0.24634648686156113,1.5486161405066174,1.548625282270324,3.566176590999761,0.28198521221422457,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,5,0.2532210266254129,0.3704851461848315,1.0607498355694895,0.026836980362098563,0.030240277148375735,0.2919467868726509,1.3526966224421402,1.0,1.7273487587457936,0.31084050833852844,1.954049452999267,1.9540585948657032,4.8556058256784045,0.3558099973886863,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,6,0.5446215605037462,0.5633424533475266,1.2846432881595518,0.03250936970805968,0.036632003177195754,0.278699165187975,1.5633424533475264,1.0,2.0924492493250777,0.3765412080447724,2.367068391922684,2.367077533857587,6.325054028225051,0.4310160386704738,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,7,0.9812739479260563,0.7779294517041041,1.5346985918417388,0.03828788902661359,0.04314331791315249,0.26520368151065965,1.7779294517041044,1.0,2.464380742273126,0.4434711628380494,2.78781488375426,2.7878240257380504,7.964118584260509,0.5076291792561437,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,8,1.571176064652646,0.9965313564546829,1.7899266899831527,0.04417452400146359,0.049776458851847345,0.25145569836170295,1.996531356454683,1.0,2.843271045123935,0.5116533719874045,3.2164335104125845,3.2164426524330265,9.762464693207766,0.5856757458664918,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,9,2.3226748596939237,1.2192232861920762,2.0499300863998795,0.05017129746830373,0.05653370535225393,0.2374504914952232,2.2192232861920758,1.0,3.2292503566807294,0.5811112650764548,3.6530715589363316,3.653080700985268,11.71029436891805,0.6651825577932552,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,10,3.2444804190333802,1.4614925194872423,2.314798126558913,0.05628027010992978,0.06341737941997867,0.22318324827505862,2.4460817649722477,1.0,3.622451311756421,0.651868710054542,4.09787907209516,4.097888214166879,13.798615965255221,0.7461769361150753,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,11,4.345680576986932,1.715350937591064,2.584621827574127,0.06250354116435572,0.07042984650517606,0.20864906602099123,2.6771847486104168,1.0,4.023009026751172,0.7239500214385225,4.551008899948452,4.5510180420388,16.01936374189582,0.8286867130858955,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,12,5.635756096190659,1.9739590273610257,2.8594939094826652,0.06884324914617869,0.07757351631539257,0.1938429503240295,2.9126116514691724,1.0,4.431061146082696,0.7973799686680104,5.012616752369107,5.012625894474971,18.365416763870893,0.9127402416990085,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,13,7.1245964380074485,2.2374056547922123,3.139508827106501,0.07530157258144145,0.08485084364361972,0.17875981333017066,3.152443373747773,1.0,4.846747889485283,0.8721837846169486,5.482861252550229,5.482870394669214,20.83055739276239,0.9983664054300537,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,14,8.822516145972134,2.5057813485557134,3.4247628025101373,0.08188073075624264,0.09226432921183852,0.16339447199205012,3.3967623292820477,1.0,5.270212100193765,0.9483871742644296,5.9619039915129965,5.961913133643216,23.40939845162174,1.0855946281622983,1.0,0.0
