sweep_gamma,seed,support_mode,metric,estimate_effect_at_first_order_direction_fo_minus_lifted,estimate_effect_at_lifted_direction_fo_minus_lifted,direction_effect_at_first_order_estimate_fo_minus_lifted,direction_effect_at_lifted_estimate_fo_minus_lifted,estimate_by_direction_interaction
0.0,0,projected,integrated_squared_error,1.6634405941573505e-07,1.6634404698123717e-07,-1.2474969945941439e-09,-1.2475094290920195e-09,1.2434497875801752e-14
0.0,0,projected,integrated_absolute_error,7.710435596663956e-07,7.710434690721968e-07,-6.1271827611619756e-09,-6.127273355360785e-09,9.059419880941277e-14
0.0,0,projected,final_target_mse,-3.6573080036060267e-09,-3.6573068470740172e-09,2.6118968722869604e-11,2.6120125254879518e-11,-1.1565320099174436e-15
0.0,0,projected,cumulative_collateral_abs,-2.786927238318526e-06,-2.7869270020630665e-06,-3.435016537878255e-07,-3.4350141753236585e-07,-2.362554596402333e-13
0.0,0,projected,actuation_energy_l1,-1.370027041502908e-05,-1.370026869551566e-05,7.357547175956825e-07,7.35756437109103e-07,-1.7195134205394424e-12
0.0,0,projected,observer_bias_mae_path,-1.686094859548043e-07,-1.6860946844450553e-07,1.1480778550065907e-09,1.1480953653053572e-09,-1.751029876650989e-14
0.0,0,projected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
0.0,0,projected,observer_self_gain,2.373248598752653e-07,2.3732483389604653e-07,-1.7564414367399195e-09,-1.7564674159586955e-09,2.5979218776228663e-14
0.0,0,projected,observer_error_pole_unsaturated,-8.306370102850735e-08,-8.306369192467855e-08,6.147544695522811e-10,6.14763573381083e-10,-9.103828801926284e-15
0.0,0,projected,mean_residual_off_support_l2_path,-1.1622060320274846e-16,1.2855406546395764e-16,9.485775806735204e-17,3.3963242673405823e-16,-2.4477466866670613e-16
0.0,0,unprojected,integrated_squared_error,-9.745378548586814e-07,-9.745376772229974e-07,-2.562477092737936e-07,-2.5624753163810965e-07,-1.7763568394002505e-13
0.0,0,unprojected,integrated_absolute_error,-2.3822350314617327e-07,-2.3822345696089547e-07,-6.381561235002664e-08,-6.381556616474883e-08,-4.618527782440651e-14
0.0,0,unprojected,final_target_mse,-2.499151365853436e-07,-2.499150921764226e-07,-6.548652287108325e-08,-6.548647846216228e-08,-4.440892098500626e-14
0.0,0,unprojected,cumulative_collateral_abs,-7.722147588040684e-09,-7.722144923505425e-09,3.949826599125572e-08,3.949826865579098e-08,-2.6645352591003757e-15
0.0,0,unprojected,actuation_energy_l1,-3.9841097176918083e-07,-3.984108971621936e-07,7.67152599223664e-08,7.671533452935364e-08,-7.460698725481053e-14
0.0,0,unprojected,observer_bias_mae_path,-2.674393817514442e-08,-2.674393351220772e-08,-6.907046268267436e-09,-6.9070416053307335e-09,-4.6629367034256575e-15
0.0,0,unprojected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
0.0,0,unprojected,observer_self_gain,5.749092028828341e-09,5.7490909671775725e-09,1.4747651988500363e-09,1.474764137199269e-09,1.061650767297806e-15
0.0,0,unprojected,observer_error_pole_unsaturated,-2.012182198640744e-09,-2.012181754551534e-09,-5.161678862108943e-10,-5.161674421216843e-10,-4.440892098500626e-16
0.0,0,unprojected,mean_residual_off_support_l2_path,-2.6527681828980576e-08,-2.6527676943999268e-08,-1.2714270081204404e-08,-1.2714265196223096e-08,-4.884981308350689e-15
0.0,1,projected,integrated_squared_error,2.2281017608705159e-07,2.228101361190227e-07,3.5985192603504856e-10,3.5981195800616206e-10,3.996802888650563e-14
0.0,1,projected,integrated_absolute_error,1.561526397075852e-06,1.5615261208523634e-06,2.5164257344556518e-09,2.516149510967125e-09,2.76223488526739e-13
0.0,1,projected,final_target_mse,8.607883448131376e-09,8.607881844921624e-09,1.385822240383e-11,1.3856619194077546e-11,1.6032097524543154e-15
0.0,1,projected,cumulative_collateral_abs,-1.851440313060948e-06,-1.851439982658576e-06,-2.0691839353048636e-08,-2.0691508950676507e-08,-3.3040237212844664e-13
0.0,1,projected,actuation_energy_l1,-1.0802651374319794e-05,-1.0802649626384664e-05,-9.453229097289296e-07,-9.453211617937997e-07,-1.7479351299698465e-12
0.0,1,projected,observer_bias_mae_path,1.3135269408270922e-07,1.3135267088251745e-07,2.1166093530644578e-10,2.1163773511467807e-10,2.3200191767713815e-14
0.0,1,projected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
0.0,1,projected,observer_self_gain,1.821820299063859e-07,1.8218199770991816e-07,2.9322211325677467e-10,2.931899167890606e-10,3.219646771412954e-14
0.0,1,projected,observer_error_pole_unsaturated,-6.376371053384844e-08,-6.37636992095736e-08,-1.0262768412871992e-10,-1.0261635985386873e-10,-1.1324274851176595e-14
0.0,1,projected,mean_residual_off_support_l2_path,1.2855192393946776e-17,1.2806258324238743e-17,2.8462203146666825e-17,2.841326907695879e-17,4.8934069708034544e-20
0.0,1,unprojected,integrated_squared_error,-5.505862787913429e-07,-5.505861579990778e-07,-1.500667039522341e-07,-1.5006658315996901e-07,-1.2079226507921706e-13
0.0,1,unprojected,integrated_absolute_error,-1.4028999828497038e-07,-1.4028996631054724e-07,-3.6826136806666916e-08,-3.68261048322438e-08,-3.1974423109204515e-14
0.0,1,unprojected,final_target_mse,-1.43596293078474e-07,-1.4359626288040772e-07,-3.855870200908385e-08,-3.8558671811017575e-08,-3.0198066269804264e-14
0.0,1,unprojected,cumulative_collateral_abs,-3.042306628842084e-09,-3.0423059627082694e-09,2.983505897891092e-08,2.9835059645044744e-08,-6.661338147750939e-16
0.0,1,unprojected,actuation_energy_l1,-2.390480133840356e-07,-2.39047942329762e-07,-1.1429319357603165e-07,-1.1429312252175805e-07,-7.105427357601003e-14
0.0,1,unprojected,observer_bias_mae_path,-1.5270279041246226e-08,-1.5270275710577152e-08,-3.99291688601977e-09,-3.992913555350697e-09,-3.3306690738754696e-15
0.0,1,unprojected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
0.0,1,unprojected,observer_self_gain,3.294151521004984e-09,3.294150757726655e-09,8.355635489065705e-10,8.35562785628241e-10,7.632783294297951e-16
