subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E
0,clean,0000000000000,,0,0,0,0,0,0,0,0,0,0
1,P:9.9,1000000000000,9.9,1,1,0,0,1,0,0,0,0,0
2,P:9.6,0100000000000,9.6,1,1,0,0,1,0,0,0,0,0
3,P:10.0,0010000000000,10.0,1,1,0,0,1,0,0,0,0,0
4,B:9.0,0001000000000,9.0,1,0,1,0,0,1,0,0,0,0
5,B:9.7,0000100000000,9.7,1,0,1,0,0,1,0,0,0,0
6,B:10.1,0000010000000,10.1,1,0,1,0,0,1,0,0,0,0
7,B:10.2,0000001000000,10.2,1,0,1,0,0,1,0,0,0,0
8,B:10.6,0000000100000,10.6,1,0,1,0,0,1,0,0,0,0
9,B:10.10,0000000010000,10.10,1,0,1,0,0,1,0,0,0,0
10,B:11.2,0000000001000,11.2,1,0,1,0,0,1,0,0,0,0
11,B:11.9,0000000000100,11.9,1,0,1,0,0,1,0,0,0,0
12,E:10.7,0000000000010,10.7,1,0,0,1,0,0,1,0,0,0
13,E:11.10,0000000000001,11.10,1,0,0,1,0,0,1,0,0,0
14,E:10.7|E:11.10,0000000000011,"10.7,11.10",2,0,0,2,0,0,1,0,0,0
15,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0001111111100,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",8,0,8,0,0,1,0,0,0,0
16,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0001111111111,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7,11.10",10,0,8,2,0,1,1,0,0,1
17,P:9.9|P:9.6|P:10.0,1110000000000,"9.9,9.6,10.0",3,3,0,0,1,0,0,0,0,0
18,P:9.9|P:9.6|P:10.0|E:10.7|E:11.10,1110000000011,"9.9,9.6,10.0,10.7,11.10",5,3,0,2,1,0,1,0,1,0
19,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,1111111111100,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",11,3,8,0,1,1,0,1,0,0
20,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,1111111111111,"9.9,9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7,11.10",13,3,8,2,1,1,1,1,1,1
21,B:11.2|B:11.9|E:10.7,0000000001110,"11.2,11.9,10.7",3,0,2,1,0,1,1,0,0,1
22,B:10.10|B:11.2|E:10.7,0000000011010,"10.10,11.2,10.7",3,0,2,1,0,1,1,0,0,1
23,B:10.6|E:11.10,0000000100001,"10.6,11.10",2,0,1,1,0,1,1,0,0,1
24,B:10.6|E:10.7,0000000100010,"10.6,10.7",2,0,1,1,0,1,1,0,0,1
25,B:10.6|B:10.10|B:11.2|E:10.7|E:11.10,0000000111011,"10.6,10.10,11.2,10.7,11.10",5,0,3,2,0,1,1,0,0,1
26,B:10.6|B:10.10|B:11.2|B:11.9,0000000111100,"10.6,10.10,11.2,11.9",4,0,4,0,0,1,0,0,0,0
27,B:10.2|B:10.6,0000001100000,"10.2,10.6",2,0,2,0,0,1,0,0,0,0
28,B:10.2|B:10.6|B:10.10|E:10.7|E:11.10,0000001110011,"10.2,10.6,10.10,10.7,11.10",5,0,3,2,0,1,1,0,0,1
29,B:10.1|B:11.2|B:11.9,0000010001100,"10.1,11.2,11.9",3,0,3,0,0,1,0,0,0,0
30,B:10.1|B:10.10,0000010010000,"10.1,10.10",2,0,2,0,0,1,0,0,0,0
31,B:10.1|B:10.10|E:11.10,0000010010001,"10.1,10.10,11.10",3,0,2,1,0,1,1,0,0,1
