bootstrap,model,mae
0,additive_head,0.3365384291273287
0,count_additive,0.3403002965790501
0,count_plus_PB_bin4,0.337294072004616
0,count_plus_PE_bin4,0.2781888783469565
0,count_plus_BE_bin4,0.34228930316890926
0,count_plus_all_bin4,0.2725612423759416
0,count_plus_all_minus_PB_bin4,0.28056089993506284
0,count_plus_all_minus_PE_bin4,0.34847628563895544
0,count_plus_all_minus_BE_bin4,0.26590753574353343
0,count_plus_PB_poly4,0.3147179633725676
0,count_plus_PE_poly4,0.25251124012782095
0,count_plus_BE_poly4,0.34059110746705107
0,count_plus_all_poly4,0.23172830163347982
1,additive_head,0.32767486199552504
1,count_additive,0.3311549178297094
1,count_plus_PB_bin4,0.3274898658583529
1,count_plus_PE_bin4,0.2696765718897808
1,count_plus_BE_bin4,0.3332937662300669
1,count_plus_all_bin4,0.26264899644850864
1,count_plus_all_minus_PB_bin4,0.2716497583937655
1,count_plus_all_minus_PE_bin4,0.3387458422054277
1,count_plus_all_minus_BE_bin4,0.2564636296348701
1,count_plus_PB_poly4,0.3062593735922184
1,count_plus_PE_poly4,0.2461742893415091
1,count_plus_BE_poly4,0.3317767363703108
1,count_plus_all_poly4,0.22591651259062734
2,additive_head,0.32706185300183827
2,count_additive,0.33252059082555097
2,count_plus_PB_bin4,0.3285076378045514
2,count_plus_PE_bin4,0.271091856608822
2,count_plus_BE_bin4,0.33430713770144416
2,count_plus_all_bin4,0.2668115751695321
2,count_plus_all_minus_PB_bin4,0.27377065548619484
2,count_plus_all_minus_PE_bin4,0.33977164857117514
2,count_plus_all_minus_BE_bin4,0.26031844409868965
2,count_plus_PB_poly4,0.30735945563893696
2,count_plus_PE_poly4,0.24575433873691782
2,count_plus_BE_poly4,0.3324173400974722
2,count_plus_all_poly4,0.22669959676464474
3,additive_head,0.31315524107921494
3,count_additive,0.3172681930594424
3,count_plus_PB_bin4,0.313695136076782
3,count_plus_PE_bin4,0.25946460999887533
3,count_plus_BE_bin4,0.3190282635196576
3,count_plus_all_bin4,0.254528000649493
