bootstrap,model,mae
0,additive_head,0.4025881100256353
0,count_additive,0.40888700209778417
0,count_plus_PB_bin4,0.4091938964429037
0,count_plus_PE_bin4,0.2779856172029082
0,count_plus_BE_bin4,0.40969279200992476
0,count_plus_all_bin4,0.2697391513008348
0,count_plus_all_minus_PB_bin4,0.279845430918488
0,count_plus_all_minus_PE_bin4,0.4115880906292036
0,count_plus_all_minus_BE_bin4,0.2725513071428997
0,count_plus_PB_poly4,0.40639688031744203
0,count_plus_PE_poly4,0.27535055765467614
0,count_plus_BE_poly4,0.40677195302946645
0,count_plus_all_poly4,0.2512136876551835
1,additive_head,0.3934017427212065
1,count_additive,0.4005542749643055
1,count_plus_PB_bin4,0.4001205711282389
1,count_plus_PE_bin4,0.27405027451513486
1,count_plus_BE_bin4,0.40089191490598275
1,count_plus_all_bin4,0.266178552168284
1,count_plus_all_minus_PB_bin4,0.275738906060267
1,count_plus_all_minus_PE_bin4,0.4021919016917049
1,count_plus_all_minus_BE_bin4,0.268720867793751
1,count_plus_PB_poly4,0.39690304358005785
1,count_plus_PE_poly4,0.27002141585392414
1,count_plus_BE_poly4,0.3983401900016716
1,count_plus_all_poly4,0.24488429999930755
2,additive_head,0.3911305522742574
2,count_additive,0.3979363412774673
2,count_plus_PB_bin4,0.39882880276587435
2,count_plus_PE_bin4,0.27031524171063437
2,count_plus_BE_bin4,0.3987898931698423
2,count_plus_all_bin4,0.26324049606843947
2,count_plus_all_minus_PB_bin4,0.27181814041274954
2,count_plus_all_minus_PE_bin4,0.4013310170240672
2,count_plus_all_minus_BE_bin4,0.26561704700116745
2,count_plus_PB_poly4,0.3959979307421803
2,count_plus_PE_poly4,0.2666801406464643
2,count_plus_BE_poly4,0.39596301850877375
2,count_plus_all_poly4,0.24320856634264815
3,additive_head,0.3733096888758415
3,count_additive,0.37946530513087484
3,count_plus_PB_bin4,0.38014332259362693
3,count_plus_PE_bin4,0.25930142064878015
3,count_plus_BE_bin4,0.3806922647268714
3,count_plus_all_bin4,0.2524878827551048
3,count_plus_all_minus_PB_bin4,0.26129117708416116
3,count_plus_all_minus_PE_bin4,0.3827467208110943
3,count_plus_all_minus_BE_bin4,0.25426410838318886
3,count_plus_PB_poly4,0.37708322542778777
3,count_plus_PE_poly4,0.25652364761466145
3,count_plus_BE_poly4,0.3779976038113042
3,count_plus_all_poly4,0.23378348182188616
4,additive_head,0.3839988725458719
4,count_additive,0.3901480902980331
4,count_plus_PB_bin4,0.3901584601110686
4,count_plus_PE_bin4,0.2668179007476133
4,count_plus_BE_bin4,0.3906314692756996
4,count_plus_all_bin4,0.25820930204613485
4,count_plus_all_minus_PB_bin4,0.26834282402781146
4,count_plus_all_minus_PE_bin4,0.39207311538628653
4,count_plus_all_minus_BE_bin4,0.2613509242958255
4,count_plus_PB_poly4,0.38700951870644945
4,count_plus_PE_poly4,0.26374592842730904
4,count_plus_BE_poly4,0.3878188683851875
