bootstrap,term,value
0,PB,1.0681086257100105
0,PE,1.8468997962772846
0,BE,0.4044424332678318
0,PBE,0.3508092164993286
0,PE_minus_PB,0.7787911705672741
1,PB,1.0879510380327702
1,PE,1.884667668491602
1,BE,0.41479945182800293
1,PBE,0.3358609341084957
1,PE_minus_PB,0.7967166304588318
2,PB,0.9829904362559319
2,PE,1.8376805894076824
2,BE,0.4429631792008877
2,PBE,0.37069490924477577
2,PE_minus_PB,0.8546901531517506
3,PB,0.9780670925974846
3,PE,1.8844491429626942
3,BE,0.423599299043417
3,PBE,0.347969476133585
3,PE_minus_PB,0.9063820503652096
4,PB,1.0481929294764996
4,PE,1.8478384353220463
4,BE,0.4252263605594635
4,PBE,0.34188809990882874
4,PE_minus_PB,0.7996455058455467
5,PB,1.09984415397048
5,PE,1.8059793263673782
5,BE,0.40699995681643486
5,PBE,0.33839986845850945
5,PE_minus_PB,0.7061351723968983
6,PB,1.0506571680307388
6,PE,1.9204459935426712
6,BE,0.4531234875321388
6,PBE,0.37738074734807014
6,PE_minus_PB,0.8697888255119324
7,PB,1.1660255566239357
7,PE,1.9161376170814037
7,BE,0.453420203179121
7,PBE,0.36034704744815826
7,PE_minus_PB,0.750112060457468
8,PB,1.0520845614373684
8,PE,1.8522590398788452
8,BE,0.4225137233734131
8,PBE,0.3304636999964714
8,PE_minus_PB,0.8001744784414768
9,PB,1.0640444122254848
9,PE,1.8638013862073421
9,BE,0.44165003672242165
9,PBE,0.357761736959219
9,PE_minus_PB,0.7997569739818573
10,PB,1.1064237393438816
10,PE,1.846093274652958
10,BE,0.396092526614666
10,PBE,0.32415952533483505
10,PE_minus_PB,0.7396695353090763
11,PB,1.0132386162877083
11,PE,1.944881122559309
11,BE,0.4570501632988453
11,PBE,0.35143548995256424
11,PE_minus_PB,0.9316425062716007
12,PB,1.0163291953504086
12,PE,1.836501132696867
12,BE,0.4423256516456604
12,PBE,0.35827700421214104
12,PE_minus_PB,0.8201719373464584
13,PB,1.0421113818883896
13,PE,1.882670022547245
13,BE,0.43854188174009323
13,PBE,0.3244762308895588
13,PE_minus_PB,0.8405586406588554
14,PB,1.035673264414072
14,PE,1.8122789189219475
14,BE,0.41144630312919617
14,PBE,0.331836748868227
14,PE_minus_PB,0.7766056545078754
15,PB,0.9613097608089447
15,PE,1.9076203666627407
15,BE,0.43653642013669014
15,PBE,0.3665248937904835
15,PE_minus_PB,0.946310605853796
16,PB,1.0488664656877518
16,PE,1.8491709008812904
16,BE,0.43429382517933846
16,PBE,0.3387870080769062
16,PE_minus_PB,0.8003044351935387
17,PB,1.0453842617571354
17,PE,1.8874505199491978
17,BE,0.4463355280458927
17,PBE,0.3492542952299118
17,PE_minus_PB,0.8420662581920624
18,PB,1.0787369385361671
18,PE,1.964738193899393
18,BE,0.4285588935017586
18,PBE,0.3412627726793289
18,PE_minus_PB,0.8860012553632259
19,PB,1.0937086530029774
19,PE,1.837999802082777
19,BE,0.4177808277308941
19,PBE,0.3348098658025265
19,PE_minus_PB,0.7442911490797997
20,PB,1.1004057452082634
20,PE,1.9008539468050003
20,BE,0.4589606486260891
20,PBE,0.3582572340965271
