model,mae,rmse,r2,mae_cv_std,n_columns,design_rank
additive_head,0.38365170672544247,0.45535175383527254,0.7587036787914485,0.005435103074390263,14,14
count_additive,0.3900386920822848,0.4666658946759024,0.7465558912921603,0.005592651851740181,23,21
count_plus_PB_bin4,0.3899115268670919,0.46115107921874243,0.7524947648966185,0.006771883557227525,27,25
count_plus_PE_bin4,0.26679546110495805,0.33744941731820643,0.8674502931944235,0.0056466796480953586,27,25
count_plus_BE_bin4,0.3904207904224126,0.4685318558280529,0.7444977631711913,0.007363430221395892,27,25
count_plus_all_bin4,0.25898258075582337,0.3258725029076933,0.8763775632532121,0.006239810203146128,35,33
count_plus_all_minus_PB_bin4,0.26866469205489285,0.33545335778512164,0.8689529778920886,0.007887468965320141,31,29
count_plus_all_minus_PE_bin4,0.3920599018185027,0.46375698347238314,0.7496568265478907,0.008342556811820539,31,29
count_plus_all_minus_BE_bin4,0.26108400652849545,0.32878725741324877,0.8741725934315143,0.0052032250346844815,31,29
count_plus_PB_poly4,0.38692643303365193,0.4507332035985492,0.7635603146061615,0.006374446160044169,27,25
count_plus_PE_poly4,0.2625176502717965,0.31551645160425246,0.8841257056199667,0.005321827610562436,27,25
count_plus_BE_poly4,0.38790136450640134,0.46438083108016254,0.7489758342792654,0.00828882205379487,27,25
count_plus_all_poly4,0.23820158842052383,0.2873761706905528,0.9038551785498786,0.005148326319691795,35,33
