observer,estimator,direction_provider,support_mode,estimator_calibration,controller_mode,step,target_mse,target_mae,observer_error_mae,collateral_abs_delta,collateral_rms_delta,mean_observer_estimate,mean_true_target,mean_target_ref,mean_residual_off_support_l2,mean_residual_off_support_normalized,mean_nearest_clean_residual_l2,mean_residual_delta_from_initial_l2,mean_abs_residual_norm_z,mean_convex_hull_extrapolation_mass,fraction_outside_clean_convex_hull,next_clip_fraction
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,0,0.7200662986178054,0.8352996011525392,0.2385755093303349,0.0,0.0,0.35457928994726984,0.3556765913963318,1.0,2.2412273693046412e-15,4.053859849469711e-16,3.103185281372429e-05,0.0,0.8835718035697937,2.644357808775123e-06,0.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,1,0.39079410767795564,0.6228701812094873,0.3381433367048897,0.03166787577657501,0.03571682645658509,0.2927750880839378,0.5476892277304624,1.0,0.29373870311161626,0.05313051014315128,0.3845210423985531,0.3845230092073954,1.064098359617405,0.21329348216721114,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,2,0.16181500481074207,0.3900989414396857,0.5330360000945503,0.06636820427211916,0.07485382508592248,0.22505263893094052,0.7580886390254907,1.0,0.6156052394635083,0.11134869213017756,0.8058652085423237,0.8058671760132325,1.3630225736331565,0.44701647171463615,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,3,0.06918795147282791,0.2336869526189658,0.8377902560297473,0.10439136711998416,0.11773850476412939,0.1508452229137885,0.988635478943536,1.0,0.9682930743512325,0.1751417312849394,1.26755645345019,1.2675584211411737,1.8026994376587822,0.7031203092904896,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,4,0.1577339928017002,0.3327866780704498,1.1738521743104238,0.14605555232044737,0.1647297359650783,0.0695318525201408,1.2412590251266842,1.0,1.3547535939431108,0.2450434648276984,1.7734583326610767,1.7734603004616383,2.404222490438427,0.9837481403313478,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,5,0.48294077482827924,0.518073299001942,1.5786739687391256,0.19170941692303314,0.21622075388454243,-0.019567924289852514,1.5180732990019417,1.0,1.7782208032693698,0.32163884916781194,2.327804368395127,2.3278063362610713,3.2972853083298816,1.2912483336128,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,6,1.1132632528392334,0.8213947564781731,2.0222606920147874,0.24173500468199063,0.272642449137529,-0.11719971828828227,1.8213947564781732,1.0,2.2422383892415274,0.4055688549754782,2.935233476579932,2.9352354444891633,4.557115939434545,1.628194133027696,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,7,2.132901447273127,1.153976397720455,2.5083243965248796,0.29655094310065017,0.3344669735662359,-0.22418053844991828,2.153761672668937,1.0,2.75068937517263,0.49753583099580434,3.6008287865088264,3.6008307544487215,6.097945769809063,1.9974051911795467,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,8,3.645152451550579,1.556894927364771,3.040932593401085,0.35661594661837964,0.4022116913329968,-0.3414056289019117,2.5179553828577874,1.0,3.3078286149552847,0.5983093814910277,4.330160177819054,4.330162145781724,7.941614486565195,2.40197116498994,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,9,5.776453544319142,1.9983961330105742,3.6245422905407576,0.42243265525574847,0.47644350836201904,-0.46985596056618406,2.917023557456106,1.0,3.9183183988174703,0.7087328064948994,5.1293308907322706,5.12933285871246,10.109444930919345,2.8748292535817774,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,10,8.681256863220488,2.4821746148758037,4.264037290041541,0.4945518408407065,0.5577836163598404,-0.6106064401865735,3.354305705724546,1.0,4.58726746861462,0.8297301587730017,6.005028599600686,6.005030567594717,12.62315959997139,3.4171833499673667,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,11,12.547904453771705,3.0122787607376105,4.964769057164032,0.5735770160146071,0.6469126911137361,-0.7648349054360706,3.833461121680051,1.0,5.320273769148375,0.962313976543532,6.964581377154949,6.964583345160151,15.505654171330374,4.035020407197281,1.0,0.42333333333333334
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,12,17.199940733062352,3.5595634142342156,5.688211319137345,0.6551633721111904,0.7374812203925525,-0.9230230073802689,4.324918296357026,1.0,6.077036571948683,1.0991947938965767,7.955232956616128,7.95523492463017,18.562073643548597,4.672505157898316,1.0,0.42333333333333334
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,13,22.670867889096748,4.124798032847329,6.43538120307715,0.7394256158588529,0.8294749781686968,-1.0852680420144984,4.828979507957088,1.0,6.858619851305294,1.240565059073361,8.978376149319908,8.978378117341107,21.77874657626039,5.335596307802703,1.0,0.42333333333333334
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,14,29.009830625464733,4.709701469489822,7.208550818810281,0.8266199849301317,0.9230889777619036,-1.2519584931339272,5.346851693955523,1.0,7.667400366624187,1.3868546726569178,10.037122287443966,10.03712425547107,25.15198368231336,6.034278295698906,1.0,0.42333333333333334
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,15,36.27656096012521,5.316157171006467,8.010209848875768,0.9170272538067972,1.018557452140789,-1.423520044968296,5.879857365756677,1.0,8.505982471058822,1.5385347016539805,11.1348806381394,11.13488260617145,28.68161506341753,6.759319070562092,1.0,
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,0,0.7200662986178054,0.8352996011525392,0.2385755093303349,0.0,0.0,0.35457928994726984,0.3556765913963318,1.0,2.2412273693046412e-15,4.053859849469711e-16,3.103185281372429e-05,0.0,0.8835718035697937,2.644357808775123e-06,0.0,0.0
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,1,0.3907941076779556,0.6228701812094873,0.33263891855608485,0.023109206592522354,0.026063873915567085,0.3068068689601293,0.5476892277304625,1.0,0.28254584080881723,0.051105981275112435,0.3811725890496855,0.3811739426566572,0.9095777778920222,0.19311331712217966,1.0,0.0
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,2,0.1650177415257106,0.3947172672023912,0.49841573093711866,0.04792889865416851,0.05405693035945511,0.2554984532777053,0.753914184214824,1.0,0.5860050155795736,0.10599469901096867,0.7905600695487032,0.7905614238228463,1.0398742269797536,0.40052524739048645,1.0,0.0
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,3,0.07002713949073593,0.22849624110879585,0.7750110769168986,0.07458568202613733,0.0841219625802669,0.20039231744780783,0.9754033943647067,1.0,0.9119254768007977,0.16494614186592962,1.2302493843084354,1.2302507388045916,1.2947695133196264,0.623289288144562,1.0,0.0
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,4,0.13814555163055223,0.3218136244034254,1.0720793161667919,0.10321553359621938,0.1164123330244636,0.14120736375719226,1.213286679923984,1.0,1.261969752518943,0.22826102255609185,1.702483398678082,1.7024847532849616,1.6930649158202347,0.862541764069599,1.0,0.0
