support_mode,metric,estimate_effect_at_first_order_direction_fo_minus_lifted,estimate_effect_at_lifted_direction_fo_minus_lifted,direction_effect_at_first_order_estimate_fo_minus_lifted,direction_effect_at_lifted_estimate_fo_minus_lifted,estimate_by_direction_interaction
projected,integrated_squared_error,8.015287544793637e-08,8.015285368756508e-08,-1.8083512465238982e-10,-1.8085688502367248e-10,2.1760371282653068e-14
projected,integrated_absolute_error,2.435656578647638e-07,2.43565586366401e-07,-5.787148538161091e-10,-5.78786352178895e-10,7.149836278586008e-14
projected,final_target_mse,-1.8763693411798666e-09,-1.876368775592251e-09,4.211180435940119e-12,4.2117460235559234e-12,-5.655876158042195e-16
projected,cumulative_collateral_abs,-1.551267471811002e-06,-1.5512670685779995e-06,-2.6099145600255724e-07,-2.609910527695547e-07,-4.0323300254385686e-13
projected,actuation_energy_l1,-7.906519385869615e-06,-7.906517204503416e-06,1.334565524757636e-08,1.3347836613775144e-08,-2.1813661987835076e-12
projected,observer_bias_mae_path,-8.567943436676995e-08,-8.567941061667084e-08,1.9426046535264696e-10,1.9428421545175656e-10,-2.3750099109598466e-14
projected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
projected,observer_self_gain,1.1452240888942811e-07,1.145223771370496e-07,-2.5842084028226964e-10,-2.584525926607739e-10,3.175237850427948e-14
projected,observer_error_pole_unsaturated,-4.008284326673106e-08,-4.008283194245621e-08,9.04472052809524e-11,9.045852955580358e-11,-1.1324274851176597e-14
projected,mean_residual_off_support_l2_path,2.383286166343095e-16,4.4500557419094555e-17,2.634398769055963e-16,6.961181769038135e-17,1.9382805921521493e-16
unprojected,integrated_squared_error,-3.251214906185851e-07,-3.2512137693174736e-07,-8.039327070719082e-08,-8.03931570203531e-08,-1.1368683772161603e-13
unprojected,integrated_absolute_error,-6.656907203250739e-08,-6.656903295265693e-08,-1.9581801069534777e-08,-1.958176198968431e-08,-3.907985046680551e-14
unprojected,final_target_mse,-8.322655187242844e-08,-8.32265225625406e-08,-2.068027971091624e-08,-2.0680250401028388e-08,-2.930988785010413e-14
unprojected,cumulative_collateral_abs,-1.5597884095441827e-09,-1.5597870772765532e-09,1.1074992700699227e-08,1.1074994032966856e-08,-1.3322676295501878e-15
unprojected,actuation_energy_l1,-1.1643449226994562e-07,-1.1643444963738148e-07,-2.9130131196097864e-08,-2.9130088563533718e-08,-4.263256414560601e-14
unprojected,observer_bias_mae_path,-7.252475064944974e-09,-7.25247217836511e-09,-2.125434273025917e-09,-2.1254313864460528e-09,-2.886579864025407e-15
unprojected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
unprojected,observer_self_gain,1.7575280675252714e-09,1.757527519352653e-09,4.448399391898672e-10,4.448393910172488e-10,5.48172618408671e-16
unprojected,observer_error_pole_unsaturated,-6.151348319605177e-10,-6.151346099159127e-10,-1.556940132374507e-10,-1.5569379119284577e-10,-2.220446049250313e-16
unprojected,mean_residual_off_support_l2_path,-7.529312728848936e-09,-7.529309620224467e-09,-3.952373539561904e-09,-3.952370430937435e-09,-3.1086244689504383e-15
