observer,estimator,direction_provider,support_mode,estimator_calibration,controller_mode,x1,x2,n_examples,integrated_squared_error,final_target_squared_error,cumulative_collateral_abs,actuation_energy_l1,observer_bias_abs_mean,mean_residual_delta_from_initial_l2,mean_nearest_clean_residual_l2,mean_abs_residual_norm_z,mean_convex_hull_extrapolation_mass,control_clip_fraction
est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,0.0,0.0,635,1.8919765163706455,0.0159798683014314,12.843656809623333,54.15657849198422,0.11832011424192,9.235164609374738,3.0460762551750857,3.8050312146773773,0.21073687384148604,0.0
est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,0.0,1.0,337,1.4008780212435508,0.0058926612524610525,7.699485202485815,32.465658409983845,0.0816142780169391,5.536274777999677,3.52650492243519,1.8472838412573886,0.5846510020048339,0.0
est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,1.0,0.0,337,1.0779576955485224,0.0062471186099169575,6.461556086298957,27.245805034732186,0.08310943809989123,4.646148287376117,4.64615616001927,4.014119135721568,0.5351757604069813,0.0
est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,1.0,1.0,191,0.5879891578058014,0.045800470278729515,1.3173842087653647,5.554883812579405,0.21318050572699387,0.9472582615741678,0.9472609969287,2.404068245068507,0.1091138142260796,0.0
est-first_order__dir-first_order__support-projected__cal-response_gain__controller-base,first_order,first_order,projected,response_gain,base,0.0,0.0,635,1.855016669112316,0.003035321949722793,12.221300680051392,50.732270698625236,0.06041220061436133,8.787662672236106,3.106089790720122,4.606023883006752,0.1640244566319474,0.0
est-first_order__dir-first_order__support-projected__cal-response_gain__controller-base,first_order,first_order,projected,response_gain,base,0.0,1.0,337,1.5127131082925753,0.014284329380423615,7.326396612425921,30.41286242091866,0.11632877799860677,5.268007368323874,3.624875195739415,1.4024726339170748,0.5563209570374685,0.0
est-first_order__dir-first_order__support-projected__cal-response_gain__controller-base,first_order,first_order,projected,response_gain,base,1.0,0.0,337,1.1667833434966115,0.013206189957197984,6.148452964930286,25.523059153904768,0.1122425142394427,4.421013116886188,4.4210209895325905,3.587614724561012,0.5092430629290817,0.0
est-first_order__dir-first_order__support-projected__cal-response_gain__controller-base,first_order,first_order,projected,response_gain,base,1.0,1.0,191,0.5593863640638262,0.0427229576112388,1.2535486400111384,5.203649808137364,0.2072408444524622,0.9013576279682757,0.9013603633271976,2.245997166725562,0.10382664721989773,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,0.0,0.0,635,54.27624562984658,11.519795793099881,1.279177731944166,38.98789189709572,2.2319575195553445,4.041057471782058,4.041067954561736,5.514300240163165,0.5541990266221255,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,0.0,1.0,337,16.21357057612945,3.5424210113930674,0.7668384607625097,23.372369815494054,1.2000052025821186,2.4225236369651304,2.422528168143727,2.2336238136245203,0.15825874946453916,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,1.0,0.0,337,11.187678225559054,2.448925295059375,0.6435455868852598,19.61454233119086,0.9942774282646938,2.033028434885672,2.0330275366234165,3.6311487334813513,0.14600376542895271,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,1.0,1.0,191,2.0440022351715887,0.301596566975692,0.13120628877321827,3.999019428781458,0.42997799433081496,0.4144945149928133,0.41449367027242423,0.4111737409439313,0.056842924768353294,0.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,0.0,0.0,635,1.8550166691123144,0.0030353219497231115,0.4765623004119973,9.371782185601448,0.06041220061436456,1.5055106079141825,1.5055210912183803,0.9993901843589688,0.20646684080884947,0.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,0.0,1.0,337,1.5127131082925713,0.01428432938042335,0.2856884479609809,5.618173961553757,0.11632877799860585,0.902519961381668,0.9025244929362048,0.8041763560890478,0.05896075690999484,0.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,1.0,0.0,337,1.1667833434966142,0.013206189957198088,0.23975524092332479,4.714879657596277,0.11224251423944341,0.7574121121226673,0.7574112140934826,1.8171839131280934,0.05439486133840571,0.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,1.0,1.0,191,0.5593863640638376,0.042722957611239815,0.04888137843929963,0.9612712362455442,0.2072408444524644,0.15442143389481333,0.15442058947696574,0.6961575299999616,0.021175754797988524,0.0
est-first_order__dir-lifted_interaction__support-projected__cal-none__controller-base,first_order,lifted_interaction,projected,none,base,0.0,0.0,635,14.275034294638601,2.297604461165564,11.642568372735258,108.00389788718311,1.0952677694304516,14.871676731923573,8.21683536409908,20.90481544166738,3.8647186994620824,0.0
