observer,estimator,direction_provider,support_mode,estimator_calibration,controller_mode,step,target_mse,target_mae,observer_error_mae,collateral_abs_delta,collateral_rms_delta,mean_observer_estimate,mean_true_target,mean_target_ref,mean_residual_off_support_l2,mean_residual_off_support_normalized,mean_nearest_clean_residual_l2,mean_residual_delta_from_initial_l2,mean_abs_residual_norm_z,mean_convex_hull_extrapolation_mass,fraction_outside_clean_convex_hull,next_clip_fraction
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,0,0.7261908984360413,0.8387923514594634,0.23463406655071856,0.0,0.0,0.33946809541787176,0.3346451222896576,1.0,3.763684398995757e-15,6.848151222927327e-16,4.096702230122596e-05,0.0,0.7525520920753479,1.8368356741354496e-06,0.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,1,0.3914723918396087,0.623627673746779,0.32376709293232103,0.009614121952759132,0.01081665392788603,0.31817811048775774,0.5311533447666796,1.0,0.3464213870744223,0.06303254455062403,0.3942611892965148,0.39426460845299516,1.1859100946794654,0.10228672436904458,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,2,0.1688956605667151,0.40152789191132326,0.4471142591310175,0.019538122217331425,0.02198194566951209,0.29620191576947114,0.7339953568965716,1.0,0.7040084817537626,0.12809672741316047,0.8012335667864774,0.8012369869837309,2.0155531676223344,0.20787099424190933,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,3,0.07012741232428747,0.2134344024792083,0.6698578933157536,0.029781988660378133,0.033507112371409506,0.2735173936394003,0.943375286955154,1.0,1.0731211724022227,0.1952580314942548,1.2213233065176479,1.221326727061708,3.385475312528682,0.31685841163703116,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,4,0.10773780803981144,0.3018841497567598,0.9094021487593866,0.040356031073254146,0.04540375337106359,0.2501017135880455,1.1595038623474323,1.0,1.4541309471535178,0.26458405031789867,1.6549532012180326,1.6549566219354084,5.292937688098477,0.42935866536574707,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,5,0.2952641471513053,0.40619155220659986,1.1566672933124065,0.05127089154814781,0.0576838418708983,0.22593130924258262,1.3825986025549888,1.0,1.8474212677897428,0.3361445560539558,2.1025596713251518,2.1025630921464473,7.663306151975012,0.5454849796827606,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,6,0.6472788509939243,0.6128840380553205,1.4356789874477562,0.06253755518866116,0.07035973698853351,0.20098185464882712,1.6128840380553204,1.0,2.2533879556709424,0.41001156973935393,2.564593203868206,2.5645966247587237,10.485682867030222,0.6653542282390565,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,7,1.179462048592658,0.850591936297294,1.7241534704583976,0.07416736116560857,0.08344419619543993,0.17522823978873073,1.8505919362972942,1.0,2.672439590103794,0.48625943376261654,3.041518805804704,3.0415222267446147,13.744816651684841,0.7890870517076982,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,8,1.9086790711420552,1.095961534960147,2.0219259409748878,0.08617201412916138,0.09695038815651198,0.1486445453087644,2.0959615349601473,1.0,3.104997919550356,0.5649648866846858,3.533816472007609,3.533819892984524,17.423625500483023,0.9168079792008904,1.0,0.0
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,9,2.8530631816710708,1.367067434184088,2.329296087797278,0.09856359598882405,0.11089190598348053,0.12120401643376118,2.3492397827307894,1.0,3.5514982860907023,0.646207140471338,4.041981668345136,4.04198508935079,21.505087648963812,1.0486455536005037,1.0,0.0
