observer,arm_id,estimator_name,direction_name,direction_support_mode,estimator_calibration,controller_mode,loop_steps,model_test_mse,model_test_r2,observer_initial_r2_vs_plant_target,observer_initial_mae_vs_plant_target,observer_initial_r2_vs_synthetic_clean_target,observer_initial_mae_vs_synthetic_clean_target,observer_initial_r2_vs_true_target,observer_initial_mae_vs_true_target,initial_target_mse,final_target_mse,final_over_initial_target_mse,target_improvement_mse,target_improvement_fraction,integrated_squared_error,integrated_absolute_error,final_target_mae,cumulative_collateral_abs,final_collateral_abs,max_collateral_abs,actuation_energy_l1,mean_abs_strength,mean_strength,max_abs_strength,overshoot_mean,undershoot_mean,settled_fraction,settling_step_mean,large_error_trajectory_rate,final_mse_growth_flag_rate,divergence_rate,divergence_rate_mse_growth,divergence_rate_old_abs_threshold,target_error_worsened_rate,mean_observer_bias_initial,mean_observer_bias_final,observer_bias_mae_path,effective_target_gain,observer_self_gain,observer_to_target_gain_ratio,mismatch_projection,omitted_response_gain,normalized_omitted_response,true_to_observer_response_ratio,true_response_direction_compatible,predicted_final_true_error_mae_unsaturated_affine,affine_true_error_prediction_residual_mae,observer_error_pole_unsaturated,observer_direction_sign_compatible,locally_convergent_unsaturated,target_gain_on_support_component,target_gain_off_support_component,observer_gain_on_support_component,observer_gain_off_support_component,effective_collateral_gain,raw_target_gain,direction_norm,raw_direction_norm,normalization_mode,orientation_sign,raw_parallel_norm,raw_orthogonal_norm,fixed_parallel_norm,target_head_norm,post_normalization_target_gain_error,projected_direction_scale,projected_target_gain_before_rescale,direction_norm_ratio_vs_unprojected,residual_support_rank,residual_support_n_centroids,residual_support_absolute_tolerance,residual_support_clean_rms_radius,mean_residual_off_support_l2_path,final_residual_off_support_l2,max_residual_off_support_l2,mean_residual_off_support_normalized_path,mean_residual_delta_from_initial_l2_path,final_residual_delta_from_initial_l2,max_residual_delta_from_initial_l2,mean_residual_delta_from_initial_normalized_path,mean_nearest_clean_residual_l2_path,final_nearest_clean_residual_l2,max_nearest_clean_residual_l2,mean_nearest_clean_residual_normalized_path,mean_abs_residual_norm_z_path,max_abs_residual_norm_z,mean_convex_hull_extrapolation_mass_path,final_convex_hull_extrapolation_mass,max_convex_hull_extrapolation_mass,outside_clean_convex_hull_step_fraction,convex_hull_extrapolation_tolerance,clean_residual_norm_mean,clean_residual_norm_std,clean_residual_norm_min,clean_residual_norm_max,clean_centroid_pairwise_rms,control_clip_fraction,examples_ever_clipped_fraction,clipped_command_mass_fraction,gamma,nuisance_interaction_weight,controller_gain,max_strength,target_ref_mean,divergence_abs_error_threshold,divergence_initial_error_multiplier,divergence_final_mse_multiplier,direction_on_support_norm,direction_off_support_norm,direction_off_support_fraction,affine_calibration_offset,affine_calibration_scale,calibration_raw_mae,calibration_affine_mae,response_calibration_scale,response_calibration_raw_mae,response_calibration_corrected_mae,response_calibration_raw_gain,response_calibration_target_gain,calibration_n_states,gain_match_eligible,base_controller_gain,effective_controller_gain,controller_gain_ratio_vs_base,ise_ratio_vs_lifted_diagonal_same_condition,collateral_ratio_vs_lifted_diagonal_same_condition,final_mse_ratio_vs_lifted_diagonal_same_condition,energy_ratio_vs_lifted_diagonal_same_condition
est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,est-first_order__dir-first_order__support-unprojected__cal-none__controller-base,first_order,first_order,unprojected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,53.3789443720575,66.62769748127138,-52.577791902589944,-65.62769748127138,214.16899451987666,40.38033709239518,6.845415958285752,10.285759880757936,1.5963405608578887,1.5963405608578887,70.25201803267895,0.6058538197556457,0.4727670286591106,1.0,6.276493108314168,1.4481430646961264,0.0,,1.0,1.0,1.0,1.0,0.7753333333333333,1.0,-0.0020687519426821764,-9.145712894901038,4.612059135942972,0.8500000000000001,-0.439379841744416,-0.5169174608757835,-1.2893798417444162,1.2893798417444162,-2.934544827148531,-1.9345448271485308,False,,,1.1537829446105456,False,False,0.4893941583260982,0.3606058416739018,-0.43937989280811496,5.106369901919372e-08,-0.17565739554157667,-0.1130884877210424,1.5380928172049138,0.4278879652532669,parallel_orthogonal,-1.0,0.1983210553000729,0.3791528317621357,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.7368413282808723,0.4893941583260982,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,3.3084488444032982,8.215491934591372,8.215491934591372,0.6020639148757906,5.629016267473236,13.977891126634786,13.977891126634786,1.0243554397485874,5.629021027168443,13.97789329121993,13.97789329121993,1.0243563059069791,13.831230396393114,39.714915664048014,3.705338982975967,9.598987796619795,9.598987796619795,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.2577333333333333,0.7753333333333333,0.2027829325637169,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.2443837055049383,0.9040125595428128,0.5877490288171439,0.0,1.0,,,1.0,,,,,0.0,False,0.35,0.35,1.0,74.7865559551034,4.186560237413164,215.54828939442424,5.899595129739664
est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,est-first_order__dir-lifted_interaction__support-unprojected__cal-none__controller-base,first_order,lifted_interaction,unprojected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,44.40651570515404,55.42829535889315,-43.60536323568649,-54.42829535889315,178.72878877615406,35.88547049805919,6.002356891051277,7.1998103077084235,1.0963522159217685,1.0963522159217685,59.89615009358399,0.5397315399725497,0.4322597547430726,1.0,5.596729703482187,1.2848474022936314,0.0,,1.0,1.0,1.0,1.0,0.5506666666666666,1.0,-0.0020687519426821764,-7.793549083861559,3.8884224756696573,0.8500000000000001,-0.35166639809876354,-0.4137251742338394,-1.2016663980987636,1.2016663980987636,-3.41706345728625,-2.41706345728625,False,,,1.1230832393345673,False,False,0.515725083703285,0.33427491629671513,-0.35166644543508097,4.733631744913147e-08,-0.1354194489575969,0.16689661030360553,1.517914458551927,0.40957926413579815,parallel_orthogonal,1.0,0.292683300912665,0.2865164200824944,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.6481649368232694,0.515725083703285,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,2.7846173482805705,6.7844485225129105,6.7844485225129105,0.5067382634532512,5.043909981647029,12.28899462391246,12.28899462391246,0.9178791429610836,4.983319835487405,11.829366680747077,11.829366680747077,0.9068530874542957,10.446304588245077,30.5859150059131,3.0370693044994637,7.721628618395512,7.721628618395512,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.19755555555555557,0.42333333333333334,0.13315034712466087,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.265628511303908,0.8380028489543723,0.552075147735148,0.0,1.0,,,1.0,,,,,0.0,False,0.35,0.35,1.0,62.4110441035627,2.930501965883768,179.3169312509513,5.029934303351842
est-lifted_interaction__dir-first_order__support-unprojected__cal-none__controller-base,est-lifted_interaction__dir-first_order__support-unprojected__cal-none__controller-base,lifted_interaction,first_order,unprojected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.9999805607744755,0.00288203990145463,0.9999999999999172,1.602957083133664e-07,0.9999999999999172,1.602957083133664e-07,0.8011524694675509,0.3107823885512969,0.38791915446237607,0.490370080916254,0.6120808455376239,3.21802135280133,6.208522654767388,0.5476908200690476,3.282170619810063,0.2948793895451096,0.2948793895451096,12.977100688749958,0.1119145932288455,0.07620459225651424,0.38499985962572,0.5995450071392622,0.827366027654326,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0019147806899360428,-0.4069318857839204,0.4166719407545074,0.8500000000000001,0.4923254291935619,0.5792063872865434,-0.35767457080643816,0.35767457080643816,0.7265002975619513,1.7265002975619514,True,0.5476908489432396,3.579312162749204e-08,0.8276860997822533,True,True,0.4893941583260982,0.3606058416739018,0.49232559556804073,-1.663744788119037e-07,-0.17565739554157667,-0.1130884877210424,1.5380928172049138,0.4278879652532669,parallel_orthogonal,-1.0,0.1983210553000729,0.3791528317621357,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.7368413282808723,0.4893941583260982,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,1.0557210862523938,1.5175829681250206,1.5175829681250206,0.19211769626762215,1.7962106860083673,2.5820254797854534,2.5820254797854534,0.32687029131168904,1.7962154459508075,2.582027644724051,2.582027644724051,0.3268711575150716,2.7019192129955028,3.806935993810319,1.0056962641812381,1.4456700377444376,1.4456700377444376,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.2443837055049383,0.9040125595428128,0.5877490288171439,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.1237141702304556,1.33592512061345,1.2549632259346843,1.0897856341418897
est-lifted_interaction__dir-lifted_interaction__support-unprojected__cal-none__controller-base,est-lifted_interaction__dir-lifted_interaction__support-unprojected__cal-none__controller-base,lifted_interaction,lifted_interaction,unprojected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.9999805607744755,0.00288203990145463,0.9999999999999172,1.602957083133664e-07,0.9999999999999172,1.602957083133664e-07,0.8011524694675509,0.24764262579871948,0.30910798535427814,0.5535098436688315,0.6908920146457219,2.8637365604648077,5.7870169360292385,0.48890441164065535,2.4568522360766054,0.21796551402096487,0.21796551402096487,11.907938847962777,0.10730389452857944,0.07306508735072458,0.38499985962572,0.5501374591506569,0.8179871672145391,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0019147806899360428,-0.36153982367684767,0.37500748021557606,0.8500000000000001,0.5183736619828565,0.6098513670386546,-0.3316263380171436,0.3316263380171436,0.6397438032415139,1.639743803241514,True,0.48890444051484716,3.579312143161169e-08,0.8185692183060003,True,True,0.515725083703285,0.33427491629671513,0.5183738162079372,-1.5422508067852725e-07,-0.1354194489575969,0.16689661030360553,1.517914458551927,0.40957926413579815,parallel_orthogonal,1.0,0.292683300912665,0.2865164200824944,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.6481649368232694,0.515725083703285,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,0.9502185566494915,1.3488145397827356,1.3488145397827356,0.17291858847138888,1.7211761126138363,2.443171994457926,2.443171994457926,0.3132156721431421,1.721180490761061,2.4431737521491548,2.4431737521491548,0.3132164688683091,1.9574464151357982,2.7377482167129443,0.8898040282505841,1.2630545450293715,1.2630545450293715,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.265628511303908,0.8380028489543723,0.552075147735148,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0,1.0,1.0,1.0
est-first_order__dir-first_order__support-projected__cal-none__controller-base,est-first_order__dir-first_order__support-projected__cal-none__controller-base,first_order,first_order,projected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,77.87505684720438,97.20379055806998,-77.07390437773682,-96.20379055806998,324.05017365605914,53.18899975384206,8.691443203661917,22.558253818368975,3.4351813888884637,3.4351813888884637,110.33686968697239,0.7506402703733843,0.5723663590381312,1.0,7.834452462168505,1.7362109562179533,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,-0.0020687519426821764,-13.851616018670791,7.341079767953292,0.8500000000000001,-0.7631331566447538,-0.8978037136997102,-1.613133156644754,1.613133156644754,-2.11382920870215,-1.1138292087021502,False,,,1.2670966048256638,False,False,0.8500000000000002,-2.2113538543436054e-16,-0.7631331566447539,2.1797929155514574e-16,-0.30508900418924867,-0.1130884877210424,2.161297047960271,0.4278879652532669,parallel_orthogonal,-1.0,0.1983210553000729,0.3791528317621357,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.7368413282808723,0.4893941583260982,1.4051798589683748,3.0,4.0,8.227314543973783e-06,5.495178771984452,5.416630796755898e-15,8.762783052973344e-15,1.2575267029029066e-14,9.85706020042695e-16,9.987881961352228,24.335349006571427,24.335349006571427,1.8175717980773434,9.923924624360508,23.841184108398405,23.841184108398405,1.8059329889238018,26.580112937623024,77.09108091125061,10.755317267472336,26.76030921677798,26.76030921677798,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.5346222222222222,1.0,0.451654507138422,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,2.1612970479602716,7.50428323063044e-16,3.4721202426629063e-16,0.0,1.0,,,1.0,,,,,0.0,False,0.35,0.35,1.0,203.79473183235535,7.764716677517356,697690.8725425706,10.94790697126259
est-first_order__dir-lifted_interaction__support-projected__cal-none__controller-base,est-first_order__dir-lifted_interaction__support-projected__cal-none__controller-base,first_order,lifted_interaction,projected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,66.17896926034766,82.60471231441184,-65.3778167908801,-81.60471231441183,267.39415517471025,46.80918522475455,7.8913887502316635,14.792043877850885,2.3029923904327076,2.3029923904327076,101.69344247366641,0.6878909014768939,0.5289652132856942,1.0,7.157742931281592,1.612866033674612,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,-0.0020687519426821764,-11.34523293620975,5.811471857278031,0.8499999999999999,-0.5796043048233739,-0.6818874174392635,-1.4296043048233738,1.4296043048233738,-2.4665177482748772,-1.4665177482748772,False,,,1.202861506688181,False,False,0.8500000000000001,-2.070078121586017e-16,-0.5796043048233741,1.2442249313765792e-16,-0.22319356993850914,0.16689661030360553,2.085964535374934,0.40957926413579815,parallel_orthogonal,1.0,0.292683300912665,0.2865164200824944,1.4906282717378274,0.5702293563834261,-1.1102230246251565e-16,1.6481649368232694,0.515725083703285,1.374230625199341,3.0,4.0,8.227314543973783e-06,5.495178771984452,4.550654281035295e-15,1.1100663562707033e-14,1.1406427709325988e-14,8.281176045146089e-16,8.64039198782915,21.523740370318396,21.523740370318396,1.5723586704548431,7.983245421271812,19.040167141920264,19.040167141920264,1.4527726489940664,19.288949833195836,61.36185045126614,8.321291772530502,21.273293704695593,21.273293704695593,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.4145333333333333,1.0,0.3186242963657382,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,2.0859645353749343,6.886393378386828e-16,3.301299356534391e-16,0.0,1.0,,,1.0,,,,,0.0,False,0.35,0.35,1.0,168.16383565715262,5.0915301653087655,592904.3865459142,10.09028397259847
est-lifted_interaction__dir-first_order__support-projected__cal-none__controller-base,est-lifted_interaction__dir-first_order__support-projected__cal-none__controller-base,lifted_interaction,first_order,projected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.9999805607744755,0.00288203990145463,0.9999999999999172,1.602957083133664e-07,0.9999999999999172,1.602957083133664e-07,0.8011524694675509,0.00012705597936694943,0.00015859150936823715,0.801025413488184,0.9998414084906319,1.590917417625969,3.0103785085129675,0.010721887828408593,3.968721726019907,0.31172858647290347,0.31172858647290347,10.012617247700637,0.06811751809963325,0.04638240235296104,0.38499985962572,0.13975271590550742,0.7394674988190333,1.0,6.550666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0019147806899360428,0.005457085869421952,0.005567262491006684,0.8500000000000001,0.8550914413530675,1.0059899310036087,0.005091441353067383,-0.005091441353067383,-0.005954265364895782,0.9940457346351043,True,0.010721858954216776,3.579312142585299e-08,0.7007179955264264,True,True,0.8500000000000002,-2.2113538543436054e-16,0.8550914413530677,-2.1120041452702891e-16,-0.30508900418924867,-0.1130884877210424,2.161297047960271,0.4278879652532669,parallel_orthogonal,-1.0,0.1983210553000729,0.3791528317621357,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.7368413282808723,0.4893941583260982,1.4051798589683748,3.0,4.0,8.227314543973783e-06,5.495178771984452,2.0568770589941346e-15,2.4944927967985874e-15,2.9575575799330864e-15,3.743057586189035e-16,1.757189384253808,2.208332861746765,2.208332861746765,0.3197692845248857,1.75719664105824,2.2083376901409344,2.2083376901409344,0.3197706051014735,1.6311782964118011,2.0801514102400405,1.5266476576069647,1.9258473222298798,1.9258473222298798,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,2.1612970479602716,7.50428323063044e-16,3.4721202426629063e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.000525890279662,1.3660631723790189,1.1383079601496313,0.9934775427078161
est-lifted_interaction__dir-lifted_interaction__support-projected__cal-none__controller-base,est-lifted_interaction__dir-lifted_interaction__support-projected__cal-none__controller-base,lifted_interaction,lifted_interaction,projected,none,base,15.0,0.0003943092063630053,0.9999805532156808,0.9999805607744755,0.00288203990145463,0.9999999999999172,1.602957083133664e-07,0.9999999999999172,1.602957083133664e-07,0.8011524694675509,0.00011161828241124471,0.00013932214736281929,0.8010408511851397,0.9998606778526372,1.590081209374086,3.0033978855440577,0.01000694715948798,2.9052256193308543,0.22823861020034664,0.22823861020034664,10.078352873896185,0.06817359187758783,0.04642058396325893,0.38499985962572,0.13975271590550742,0.7394674988190333,1.0,6.550666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0019147806899360428,0.004954555989381781,0.004996299796591373,0.8499999999999999,0.8543655480411918,1.0051359388719905,0.004365548041191936,-0.004365548041191936,-0.0051096957867751685,0.9948903042132249,True,0.010006918285296054,3.5793121622960946e-08,0.700972058185583,True,True,0.8500000000000001,-2.070078121586017e-16,0.8543655480411919,-2.0857571043423767e-16,-0.22319356993850914,0.16689661030360553,2.085964535374934,0.40957926413579815,parallel_orthogonal,1.0,0.292683300912665,0.2865164200824944,1.4906282717378274,0.5702293563834261,-1.1102230246251565e-16,1.6481649368232694,0.515725083703285,1.374230625199341,3.0,4.0,8.227314543973783e-06,5.495178771984452,1.9705625957276435e-15,2.376005170086582e-15,2.7961196614389914e-15,3.585984510229177e-16,1.6970128246908205,2.1331154235865926,2.1331154235865926,0.30881849255615484,1.697019370387855,2.133119493459985,2.133119493459985,0.3088196837270532,1.4292443760129487,1.6569132715126125,1.3220209218170926,1.6617553891708428,1.6617553891708428,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,2.0859645353749343,6.886393378386828e-16,3.301299356534391e-16,0.0,1.0,,,1.0,,,,,0.0,True,0.35,0.35,1.0,1.0,1.0,1.0,1.0
est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,est-first_order__dir-first_order__support-unprojected__cal-response_gain__controller-base,first_order,first_order,unprojected,response_gain,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,0.11711794273378748,0.14618683358939719,0.6840345267337634,0.8538131664106028,3.2268048112307013,6.083651933990045,0.3102394969907741,1.8883076296778594,0.14852005892367154,0.14852005892367154,6.53609518767917,0.056367323624780356,0.046962320823736727,0.41501061055576205,0.21460403070950287,0.7394674988190333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020687519426821764,-0.002068745984113424,0.31164999780266367,0.8500000000000001,0.8499999999999994,0.9999999999999992,-6.661338147750939e-16,6.661338147750939e-16,7.836868409118758e-16,1.0000000000000009,True,0.31023950968266417,3.579312163946395e-08,0.7025000000000002,True,True,0.4893941583260982,0.3606058416739018,0.8500000987850143,-9.878501476545676e-08,-0.17565739554157667,-0.1130884877210424,1.5380928172049138,0.4278879652532669,parallel_orthogonal,-1.0,0.1983210553000729,0.3791528317621357,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.7368413282808723,0.4893941583260982,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,0.6073804237811246,0.7643515275692362,0.7643515275692362,0.11052969320628375,1.033400982394627,1.3004726338850927,1.3004726338850927,0.1880559350795132,1.0334057426019145,1.300474799157438,1.300474799157438,0.18805680133109207,1.8572157577786457,2.308453601163235,0.6416425390066562,0.8074665426354815,0.8074665426354815,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.2443837055049383,0.9040125595428128,0.5877490288171439,0.0,1.0,,,-1.9345448271485295,0.3868139525233249,1.6557935578198624e-16,-0.439379841744416,0.8500000000000001,2560.0,True,0.35,0.35,1.0,2.035557511442599,1.0671907991128213,2867.657049448889,0.8596596013852323
est-first_order__dir-lifted_interaction__support-unprojected__cal-response_gain__controller-base,est-first_order__dir-lifted_interaction__support-unprojected__cal-response_gain__controller-base,first_order,lifted_interaction,unprojected,response_gain,base,15.0,0.0003943092063630053,0.9999805532156808,0.7347857369296524,0.31165000970131046,0.7332535068813383,0.3128961818671812,0.7332535068813383,0.3128961818671812,0.8011524694675509,0.11711794273378734,0.14618683358939702,0.6840345267337635,0.8538131664106029,3.2268048112307013,6.083651933990045,0.3102394969907739,1.4557518508400993,0.11449847856723432,0.11449847856723432,6.255305510541731,0.05636732362478032,0.046962320823736685,0.41501061055576205,0.21460403070950262,0.7394674988190333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020687519426821764,-0.0020687459841132756,0.31164999780266367,0.8500000000000001,0.8499999999999996,0.9999999999999994,-4.440892098500626e-16,4.440892098500626e-16,5.224578939412504e-16,1.0000000000000004,True,0.31023950968266417,3.5793121680782744e-08,0.7025000000000001,True,True,0.515725083703285,0.33427491629671513,0.8500001144148829,-1.1441488312335935e-07,-0.1354194489575969,0.16689661030360553,1.517914458551927,0.40957926413579815,parallel_orthogonal,1.0,0.292683300912665,0.2865164200824944,1.4906282717378274,0.5702293563834261,1.1102230246251565e-16,1.6481649368232694,0.515725083703285,1.0,3.0,4.0,8.227314543973783e-06,5.495178771984452,0.5630303696058233,0.7085396667824849,0.7085396667824849,0.10245897230428018,1.019843714964563,1.283411632798945,1.283411632798945,0.1855888147195384,1.0198480933693237,1.2834133908113865,1.2834133908113865,0.1855896114915712,1.3522407567408443,1.6036601533011023,0.5865588667168662,0.7381470726454563,0.7381470726454563,0.9639583333333334,1e-05,6.3430070877075195,0.2388131320476532,5.9893035888671875,6.680882453918457,8.973593711853027,0.0,0.0,0.0,1.5,0.0,0.35,1.0,1.0,2.0,2.0,4.0,1.265628511303908,0.8380028489543723,0.552075147735148,0.0,1.0,,,-2.417063457286249,0.3604999194296291,2.0929438737660179e-16,-0.35166639809876354,0.8500000000000001,2560.0,True,0.35,0.35,1.0,2.035557511442599,0.8227287527684505,2867.657049448886,0.8227287527684499
