mask_id,mask_bits,n_heads,n_P,n_B,n_E,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index
mask_a44ebad514cc6a03,0010100000011,4,1,1,2,candidate_pool_00,0,broad,n_heads_04,1
mask_ffe0389c017216d1,1000001100001,4,1,2,1,candidate_pool_00,0,broad,n_heads_04,0
mask_7c8b926f287bec49,1100001001000,4,2,2,0,candidate_pool_00,0,primary_heavy,n_heads_04,1
mask_b611eb15c1cbe033,1010010001000,4,2,2,0,candidate_pool_00,0,primary_heavy,n_heads_04,0
mask_2a1ac7c246d39381,0010001000111,5,1,2,2,candidate_pool_00,0,broad,n_heads_05,1
mask_c0d0984f7496e96b,0010000110110,5,1,3,1,candidate_pool_00,0,broad,n_heads_05,0
mask_56ee0c60e1cde4b8,1100000011100,5,2,3,0,candidate_pool_00,0,primary_heavy,n_heads_05,0
mask_714aefc72a94a0e9,1100001110000,5,2,3,0,candidate_pool_00,0,primary_heavy,n_heads_05,1
mask_5bc08165dcaa24e1,1000000011111,6,1,3,2,candidate_pool_00,0,broad,n_heads_06,1
mask_80a919744b6bf885,0011000101101,6,1,4,1,candidate_pool_00,0,broad,n_heads_06,2
mask_d1688cbf27ef2af4,1001001000111,6,1,3,2,candidate_pool_00,0,broad,n_heads_06,0
mask_153f1c2a9e066490,1110010110000,6,3,3,0,candidate_pool_00,0,primary_heavy,n_heads_06,1
mask_1e1088beec645b87,0111001010001,6,2,3,1,candidate_pool_00,0,primary_heavy,n_heads_06,2
mask_bfa108de38e6d58f,1100010011100,6,2,4,0,candidate_pool_00,0,primary_heavy,n_heads_06,0
mask_02e4a5b0e632441b,0100001111110,7,1,5,1,candidate_pool_00,0,broad,n_heads_07,1
mask_1d6d3f9f5c61b0fa,1000111001110,7,1,5,1,candidate_pool_00,0,broad,n_heads_07,2
mask_46ec7d95f82c114c,1000000111111,7,1,4,2,candidate_pool_00,0,broad,n_heads_07,0
mask_a096a397a7d70275,1011011011000,7,2,5,0,candidate_pool_00,0,primary_heavy,n_heads_07,0
mask_b4970ee8a8f769c1,1100100011101,7,2,4,1,candidate_pool_00,0,primary_heavy,n_heads_07,2
mask_b55f4fdddb0ed7df,1110101101000,7,3,4,0,candidate_pool_00,0,primary_heavy,n_heads_07,1
mask_502a955fb93e65d9,0010110111101,8,1,6,1,candidate_pool_00,0,broad,n_heads_08,0
mask_883cd27fbedf8582,1001011001111,8,1,5,2,candidate_pool_00,0,broad,n_heads_08,1
mask_64bfd680054dd7d1,0111110100110,8,2,5,1,candidate_pool_00,0,primary_heavy,n_heads_08,1
mask_c8c6cee6a74a48ae,0111110110010,8,2,5,1,candidate_pool_00,0,primary_heavy,n_heads_08,0
mask_5b752f5ac0d1c4e3,0011101111011,9,1,6,2,candidate_pool_00,0,broad,n_heads_09,1
mask_af608dfaba891fc2,0101111111100,9,1,8,0,candidate_pool_00,0,broad,n_heads_09,0
mask_c5621894f29d5b43,0111010011111,9,2,5,2,candidate_pool_00,0,primary_heavy,n_heads_09,0
mask_ff6985d2961f695d,1011111100101,9,2,6,1,candidate_pool_00,0,primary_heavy,n_heads_09,1
mask_0e613a7552299eed,0101111011111,10,1,7,2,candidate_pool_00,0,broad,n_heads_10,1
mask_818493500a9903d5,0011111111110,10,1,8,1,candidate_pool_00,0,broad,n_heads_10,0
mask_1ac89476f4e553f7,0111011111101,10,2,7,1,candidate_pool_00,0,primary_heavy,n_heads_10,1
mask_bfb9e14f899fd7d3,1101011101111,10,2,6,2,candidate_pool_00,0,primary_heavy,n_heads_10,0
mask_28f76a93a72310a5,1000100010001,4,1,2,1,candidate_pool_01,1,broad,n_heads_04,0
mask_6643e693560431f7,0000011000011,4,0,2,2,candidate_pool_01,1,broad,n_heads_04,1
mask_3507ab216f864cbe,1101001000000,4,2,2,0,candidate_pool_01,1,primary_heavy,n_heads_04,1
mask_d34cab07e9bf4ded,1100100100000,4,2,2,0,candidate_pool_01,1,primary_heavy,n_heads_04,0
mask_16dc2167f216f5a8,1000100011100,5,1,4,0,candidate_pool_01,1,broad,n_heads_05,0
mask_3b86851daac9b820,0000010100111,5,0,3,2,candidate_pool_01,1,broad,n_heads_05,1
mask_261f2ebd1f8a4eaa,1010001010100,5,2,3,0,candidate_pool_01,1,primary_heavy,n_heads_05,0
mask_f78efa18c25e46d0,1101011000000,5,2,3,0,candidate_pool_01,1,primary_heavy,n_heads_05,1
mask_596039cbd449516b,0100010011011,6,1,3,2,candidate_pool_01,1,broad,n_heads_06,1
mask_6377c5f877751766,1001001010011,6,1,3,2,candidate_pool_01,1,broad,n_heads_06,2
mask_74077575feeaaa77,0101011001001,6,1,4,1,candidate_pool_01,1,broad,n_heads_06,0
mask_29da43b5474a3359,0110010100011,6,2,2,2,candidate_pool_01,1,primary_heavy,n_heads_06,0
mask_304d12adafdb81c3,1110000101001,6,3,2,1,candidate_pool_01,1,primary_heavy,n_heads_06,2
mask_e086f0d0e52f4d73,0110001110010,6,2,3,1,candidate_pool_01,1,primary_heavy,n_heads_06,1
mask_0996d9ce9b8fc03f,0010001110111,7,1,4,2,candidate_pool_01,1,broad,n_heads_07,0
mask_6dc3d8bfeadef35d,0011101010110,7,1,5,1,candidate_pool_01,1,broad,n_heads_07,1
mask_d4041af54a719d70,1000011111010,7,1,5,1,candidate_pool_01,1,broad,n_heads_07,2
mask_76f706be2ab175f0,1110100010110,7,3,3,1,candidate_pool_01,1,primary_heavy,n_heads_07,1
