model,budget,n_columns,attainable_rank,observed_rank,rank_fraction,full_attainable_rank,smallest_nonzero_singular_value,nonzero_condition_number,prefix_hash
additive_head,20,14,14,14,1.0,True,0.990837873002266,6.827275034124889,1548d647a63a5d4023e15668d1238c79dfa3284decc03c744b70f07bc43b5280
additive_head,40,14,14,14,1.0,True,1.2871650522185274,8.825617520459389,f9d8f86499e86188cc9877eb4df7b4280e4a1b1af66ea6226b9f16f348fc96a1
additive_head,80,14,14,14,1.0,True,3.201203928226823,5.20363205626971,cd5588bd3a137f3d4e3c07921c7a202640467c7766963fadabb4183228eade78
additive_head,160,14,14,14,1.0,True,4.43422401023617,5.591387488539606,7c9ff1e93627e69014e3810879a8354305f2187e989998a7fe27f9a245633f66
count_additive,20,23,21,20,0.9523809523809523,False,0.30388125254348813,24.27200773143389,1548d647a63a5d4023e15668d1238c79dfa3284decc03c744b70f07bc43b5280
count_additive,40,23,21,21,1.0,True,0.2362928352891698,51.760165941165496,f9d8f86499e86188cc9877eb4df7b4280e4a1b1af66ea6226b9f16f348fc96a1
count_additive,80,23,21,21,1.0,True,0.4222873539612144,42.810720029963186,cd5588bd3a137f3d4e3c07921c7a202640467c7766963fadabb4183228eade78
count_additive,160,23,21,21,1.0,True,0.6694243655279526,40.21491555418482,7c9ff1e93627e69014e3810879a8354305f2187e989998a7fe27f9a245633f66
count_plus_PE_bin4,20,27,25,20,0.8,False,0.36387810093120115,20.51399317508686,1548d647a63a5d4023e15668d1238c79dfa3284decc03c744b70f07bc43b5280
count_plus_PE_bin4,40,27,25,25,1.0,True,0.23203949771283675,53.12742724161875,f9d8f86499e86188cc9877eb4df7b4280e4a1b1af66ea6226b9f16f348fc96a1
count_plus_PE_bin4,80,27,25,25,1.0,True,0.4191881521408674,43.531434145726706,cd5588bd3a137f3d4e3c07921c7a202640467c7766963fadabb4183228eade78
count_plus_PE_bin4,160,27,25,25,1.0,True,0.6674410186184765,40.691977899124026,7c9ff1e93627e69014e3810879a8354305f2187e989998a7fe27f9a245633f66
count_plus_all_bin4,20,35,33,20,0.6060606060606061,False,0.47655101403749295,16.03923481707152,1548d647a63a5d4023e15668d1238c79dfa3284decc03c744b70f07bc43b5280
count_plus_all_bin4,40,35,33,33,1.0,True,0.18832952121910548,66.98103873918295,f9d8f86499e86188cc9877eb4df7b4280e4a1b1af66ea6226b9f16f348fc96a1
count_plus_all_bin4,80,35,33,33,1.0,True,0.31776294415579953,58.939746743949826,cd5588bd3a137f3d4e3c07921c7a202640467c7766963fadabb4183228eade78
count_plus_all_bin4,160,35,33,33,1.0,True,0.3913938842806173,71.32328754954256,7c9ff1e93627e69014e3810879a8354305f2187e989998a7fe27f9a245633f66
