prompt_id,split,template_id,structure,clean_ld
prompt_10f3e65985220f46,train,abba_meeting,ABBA,2.4533415
prompt_120ae0a15b0b4c49,train,abba_meeting,ABBA,4.0977774
prompt_23a88fa54bda51fc,train,abba_meeting,ABBA,3.0243406
prompt_2603c84f071ec05c,train,abba_meeting,ABBA,4.0378923
prompt_2995c155f2b81c31,train,abba_meeting,ABBA,2.6237373
prompt_35ac770131df66dc,train,abba_meeting,ABBA,1.6249609
prompt_365d7a764459451a,train,abba_meeting,ABBA,2.8413906
prompt_41a009d06486c4a1,train,abba_meeting,ABBA,1.1561699
prompt_465b9bddfb2efb92,train,abba_meeting,ABBA,3.2236853
prompt_6f4a7f0b4a6e6c28,train,abba_meeting,ABBA,1.9523153
prompt_9c891c99d090813b,train,abba_meeting,ABBA,3.4706507
prompt_9e16e79570b7cdcb,train,abba_meeting,ABBA,4.11572
prompt_9ee10856923304f3,train,abba_meeting,ABBA,1.6323109
prompt_a00c0a153979b31f,train,abba_meeting,ABBA,3.0033178
prompt_a951fd5b4e7d2628,train,abba_meeting,ABBA,3.3749943
prompt_b4212c912f8aa8e2,train,abba_meeting,ABBA,2.4443922
prompt_bb58ac651fbb8861,train,abba_meeting,ABBA,3.3041239
prompt_d0e9dfd38a3c3d2a,train,abba_meeting,ABBA,2.1167793
prompt_d18a8f7ff37fe6ef,train,abba_meeting,ABBA,3.4186497
prompt_da706470c8843473,train,abba_meeting,ABBA,4.189932
prompt_e707124aa857e47e,train,abba_meeting,ABBA,1.4851255
prompt_e89ec6a22c3387e0,train,abba_meeting,ABBA,3.516427
prompt_ed61d9b0bd958b4f,train,abba_meeting,ABBA,2.4503994
prompt_eef5bd66d780d8b2,train,abba_meeting,ABBA,1.6452475
prompt_0c885cce3d76f599,train,abba_office,ABBA,1.7218924
prompt_240838cba312d223,train,abba_office,ABBA,4.0959463
prompt_28b2ab12df0e886e,train,abba_office,ABBA,4.380232
prompt_2b8eac598de9cdd0,train,abba_office,ABBA,2.5621872
prompt_41f8c7744978d2b3,train,abba_office,ABBA,2.169508
prompt_4d0c27e98935038d,train,abba_office,ABBA,4.3918753
prompt_4ec93a6ff50cd383,train,abba_office,ABBA,5.092682
prompt_5694eefdf1125068,train,abba_office,ABBA,4.6859846
prompt_5716cf8334cb0a81,train,abba_office,ABBA,3.182848
prompt_69569cde299f2eba,train,abba_office,ABBA,3.317853
prompt_6a4fd12b15d40780,train,abba_office,ABBA,2.354455
prompt_6e30ab599ac8930e,train,abba_office,ABBA,2.4291077
prompt_721917517c46082f,train,abba_office,ABBA,3.26163
prompt_8229209f43d016e5,train,abba_office,ABBA,4.4006214
prompt_8433587cc95c7d0c,train,abba_office,ABBA,2.6265154
prompt_8b6c112e26f93564,train,abba_office,ABBA,3.6180696
prompt_97ffcede70c31c67,train,abba_office,ABBA,2.926302
prompt_9eaf1b436b38b5d5,train,abba_office,ABBA,1.7888412
prompt_a104026c50dc52a5,train,abba_office,ABBA,2.1164703
prompt_a1546cf8b5e350f2,train,abba_office,ABBA,2.6600943
prompt_aaaf5c2b5a867683,train,abba_office,ABBA,4.01441
prompt_dd99e9e637e6535f,train,abba_office,ABBA,1.5981035
prompt_df4b93000b99fd11,train,abba_office,ABBA,3.5489492
prompt_e90e4b470eecea50,train,abba_office,ABBA,3.2011194
prompt_03c2cc92b3c4af97,train,abba_park,ABBA,3.343998
prompt_0b4a606e686e16cd,train,abba_park,ABBA,4.699253
prompt_0b7a95cb5bc2f264,train,abba_park,ABBA,2.7245703
prompt_1b38dd8782de55f1,train,abba_park,ABBA,4.804137
prompt_2191f771cbfe55b7,train,abba_park,ABBA,3.2870665
prompt_3817aa98d9816869,train,abba_park,ABBA,3.5157232
prompt_4035ab5e6b42076a,train,abba_park,ABBA,5.059594
prompt_41d456092bf8742b,train,abba_park,ABBA,2.8050232
prompt_4f2cb3493a1d4db2,train,abba_park,ABBA,5.3052864
prompt_6046138106bc1e87,train,abba_park,ABBA,5.0819416
prompt_64a1a0d989a75ae1,train,abba_park,ABBA,3.3145437
