model,measurement_budget,design_rank,n_columns,condition_nonzero
additive_head,20,14,14,6.827275034124889
additive_head,40,14,14,8.825617520459389
additive_head,80,14,14,5.20363205626971
additive_head,160,14,14,5.591387488539606
count_additive,20,20,23,24.27200773143389
count_additive,40,21,23,51.760165941165496
count_additive,80,21,23,42.810720029963186
count_additive,160,21,23,40.21491555418482
count_plus_PE_bin4,20,20,27,20.51399317508686
count_plus_PE_bin4,40,25,27,53.12742724161875
count_plus_PE_bin4,80,25,27,43.531434145726706
count_plus_PE_bin4,160,25,27,40.691977899124026
count_plus_all_bin4,20,20,35,16.03923481707152
count_plus_all_bin4,40,33,35,66.98103873918295
count_plus_all_bin4,80,33,35,58.939746743949826
count_plus_all_bin4,160,33,35,71.32328754954256
