repetition,fold,model,measurement_budget,n_measurements,n_fit_prompts,n_eval_prompts,n_candidates,target,selected_subset_idx,selected_head_count,predicted_effect,actual_effect,absolute_target_error,oracle_target_error,oracle_regret,same_size_oracle_target_error,same_size_oracle_regret,within_tolerance,cost_selected_subset_idx,cost_selected_head_count,cost_aware_loss,cost_aware_oracle_loss,cost_aware_regret
0,0,additive_head,20,20,128,128,32,0.25,32,2,0.12319408599444259,0.2626049667596817,0.012604966759681702,0.012604966759681702,0.0,0.012604966759681702,0.0,1,32,2,0.0526049667596817,0.0526049667596817,0.0
0,0,additive_head,20,20,128,128,32,0.5,17,3,0.48566686589517305,0.4896400049328804,0.010359995067119598,0.010359995067119598,0.0,0.010359995067119598,0.0,1,17,3,0.0703599950671196,0.0703599950671196,0.0
0,0,additive_head,20,20,128,128,32,0.75,70,5,0.7169240510835382,0.17965654283761978,0.5703434571623802,0.030225388705730438,0.5401180684566498,0.07616084814071655,0.49418260902166367,0,70,5,0.6703434571623802,0.17616084814071656,0.49418260902166367
0,0,additive_head,20,20,128,128,32,1.0,89,6,1.0023902408530019,-0.018795184791088104,1.018795184791088,0.005041778087615967,1.0137534067034721,0.005041778087615967,1.0137534067034721,0,89,6,1.1387951847910882,0.12504177808761596,1.0137534067034721
0,0,additive_head,20,20,128,128,32,1.25,158,11,1.2326689408435212,1.309995025396347,0.059995025396347046,0.059995025396347046,0.0,0.059995025396347046,0.0,1,146,5,0.5238391518592834,0.279995025396347,0.2438441264629364
0,0,additive_head,20,20,128,128,32,1.5,125,7,1.4678661766145105,0.9925392866134644,0.5074607133865356,0.025876224040985107,0.48158448934555054,0.5074607133865356,0.0,0,125,7,0.6474607133865357,0.2458762240409851,0.4015844893455506
0,0,additive_head,20,20,128,128,32,1.75,125,7,1.4678661766145105,0.9925392866134644,0.7574607133865356,0.2241237759590149,0.5333369374275208,0.7574607133865356,0.0,0,125,7,0.8974607133865357,0.44412377595901487,0.4533369374275208
0,0,additive_head,20,20,128,128,32,2.0,159,11,2.4310741522420214,1.525876224040985,0.4741237759590149,0.4741237759590149,0.0,0.4741237759590149,0.0,0,159,11,0.6941237759590149,0.6941237759590149,0.0
0,0,count_additive,20,20,128,128,32,0.25,114,4,0.5195270072622281,0.4438037797808647,0.19380377978086472,0.012604966759681702,0.18119881302118301,0.19380377978086472,0.0,1,31,3,0.5594196444749833,0.0526049667596817,0.5068146777153015
0,0,count_additive,20,20,128,128,32,0.5,114,4,0.5195270072622281,0.4438037797808647,0.056196220219135284,0.010359995067119598,0.045836225152015686,0.020479954779148102,0.03571626543998718,1,114,4,0.1361962202191353,0.0703599950671196,0.0658362251520157
0,0,count_additive,20,20,128,128,32,0.75,159,11,0.9070874219776265,1.525876224040985,0.7758762240409851,0.030225388705730438,0.7456508353352547,0.559995025396347,0.21588119864463806,0,114,4,0.3861962202191353,0.17616084814071656,0.21003537207841874
0,0,count_additive,20,20,128,128,32,1.0,159,11,0.9070874219776265,1.525876224040985,0.5258762240409851,0.005041778087615967,0.5208344459533691,0.30999502539634705,0.21588119864463806,0,21,3,2.2870380407571793,0.12504177808761596,2.1619962626695632
0,0,count_additive,20,20,128,128,32,1.25,21,3,1.1894597775884115,-1.2270380407571793,2.4770380407571793,0.059995025396347046,2.417043015360832,0.7603599950671196,1.7166780456900597,0,21,3,2.5370380407571793,0.279995025396347,2.257043015360832
0,0,count_additive,20,20,128,128,32,1.5,118,4,1.5064828580532441,0.5204799547791481,0.9795200452208519,0.025876224040985107,0.9536438211798668,0.9795200452208519,0.0,0,118,4,1.059520045220852,0.2458762240409851,0.8136438211798669
0,0,count_additive,20,20,128,128,32,1.75,17,3,1.851323501507312,0.4896400049328804,1.2603599950671196,0.2241237759590149,1.0362362191081047,1.2603599950671196,0.0,0,17,3,1.3203599950671197,0.44412377595901487,0.8762362191081048
0,0,count_additive,20,20,128,128,32,2.0,76,7,2.1424030435768944,-0.27546192705631256,2.2754619270563126,0.4741237759590149,1.8013381510972977,1.0074607133865356,1.268001213669777,0,17,3,1.5703599950671197,0.6941237759590149,0.8762362191081048
0,0,count_plus_PE_bin4,20,20,128,128,32,0.25,91,3,0.151801753763673,-0.9006390795111656,1.1506390795111656,0.012604966759681702,1.138034112751484,0.23556433618068695,0.9150747433304787,0,91,3,1.2106390795111657,0.0526049667596817,1.158034112751484
0,0,count_plus_PE_bin4,20,20,128,128,32,0.5,106,9,0.5416382122673848,-0.7178563252091408,1.2178563252091408,0.010359995067119598,1.2074963301420212,0.21977461129426956,0.9980817139148712,0,106,9,1.3978563252091407,0.0703599950671196,1.327496330142021
0,0,count_plus_PE_bin4,20,20,128,128,32,0.75,70,5,0.7558224257829598,0.17965654283761978,0.5703434571623802,0.030225388705730438,0.5401180684566498,0.07616084814071655,0.49418260902166367,0,70,5,0.6703434571623802,0.17616084814071656,0.49418260902166367
0,0,count_plus_PE_bin4,20,20,128,128,32,1.0,21,3,0.9371045337799837,-1.2270380407571793,2.2270380407571793,0.005041778087615967,2.2219962626695633,0.5103599950671196,1.7166780456900597,0,21,3,2.2870380407571793,0.12504177808761596,2.1619962626695632
0,0,count_plus_PE_bin4,20,20,128,128,32,1.25,17,3,1.1113906731263303,0.4896400049328804,0.7603599950671196,0.059995025396347046,0.7003649696707726,0.7603599950671196,0.0,0,17,3,0.8203599950671197,0.279995025396347,0.5403649696707726
0,0,count_plus_PE_bin4,20,20,128,128,32,1.5,158,11,1.518063189241254,1.309995025396347,0.19000497460365295,0.025876224040985107,0.16412875056266785,0.025876224040985107,0.16412875056266785,1,114,4,1.1361962202191354,0.2458762240409851,0.8903199961781503
0,0,count_plus_PE_bin4,20,20,128,128,32,1.75,54,5,1.7280984077011161,-0.9597415700554848,2.7097415700554848,0.2241237759590149,2.48561779409647,0.9238391518592834,1.7859024181962013,0,54,5,2.809741570055485,0.44412377595901487,2.3656177940964698
0,0,count_plus_PE_bin4,20,20,128,128,32,2.0,159,11,2.0061080262550535,1.525876224040985,0.4741237759590149,0.4741237759590149,0.0,0.4741237759590149,0.0,0,159,11,0.6941237759590149,0.6941237759590149,0.0
0,0,count_plus_all_bin4,20,20,128,128,32,0.25,80,8,0.0975348492846746,-1.1104711890220642,1.3604711890220642,0.012604966759681702,1.3478662222623825,1.3604711890220642,0.0,0,32,2,0.0526049667596817,0.0526049667596817,0.0
0,0,count_plus_all_bin4,20,20,128,128,32,0.5,17,3,0.5791528469206477,0.4896400049328804,0.010359995067119598,0.010359995067119598,0.0,0.010359995067119598,0.0,1,17,3,0.0703599950671196,0.0703599950671196,0.0
0,0,count_plus_all_bin4,20,20,128,128,32,0.75,21,3,0.7490870486230735,-1.2270380407571793,1.9770380407571793,0.030225388705730438,1.9468126520514488,0.2603599950671196,1.7166780456900597,0,21,3,2.0370380407571793,0.17616084814071656,1.8608771926164627
0,0,count_plus_all_bin4,20,20,128,128,32,1.0,106,9,0.9699064621356804,-0.7178563252091408,1.7178563252091408,0.005041778087615967,1.7128145471215248,0.28022538870573044,1.4376309365034103,0,106,9,1.8978563252091407,0.12504177808761596,1.7728145471215249
0,0,count_plus_all_bin4,20,20,128,128,32,1.25,114,4,1.3481794373365612,0.4438037797808647,0.8061962202191353,0.059995025396347046,0.7462011948227882,0.7295200452208519,0.07667617499828339,0,114,4,0.8861962202191352,0.279995025396347,0.6062011948227882
0,0,count_plus_all_bin4,20,20,128,128,32,1.5,158,11,1.517743348614511,1.309995025396347,0.19000497460365295,0.025876224040985107,0.16412875056266785,0.025876224040985107,0.16412875056266785,1,118,4,1.059520045220852,0.2458762240409851,0.8136438211798669
0,0,count_plus_all_bin4,20,20,128,128,32,1.75,54,5,1.7290877807551241,-0.9597415700554848,2.7097415700554848,0.2241237759590149,2.48561779409647,0.9238391518592834,1.7859024181962013,0,54,5,2.809741570055485,0.44412377595901487,2.3656177940964698
0,0,count_plus_all_bin4,20,20,128,128,32,2.0,159,11,1.994043323901182,1.525876224040985,0.4741237759590149,0.4741237759590149,0.0,0.4741237759590149,0.0,0,159,11,0.6941237759590149,0.6941237759590149,0.0
0,0,additive_head,40,40,128,128,32,0.25,1,1,0.2858323636105269,0.17875319719314575,0.07124680280685425,0.012604966759681702,0.058641836047172546,0.07124680280685425,0.0,1,1,1,0.09124680280685425,0.0526049667596817,0.03864183604717255
0,0,additive_head,40,40,128,128,32,0.5,118,4,0.5567023353583789,0.5204799547791481,0.020479954779148102,0.010359995067119598,0.010119959712028503,0.020479954779148102,0.0,1,118,4,0.1004799547791481,0.0703599950671196,0.030119959712028507
0,0,additive_head,40,40,128,128,32,0.75,89,6,0.7544057790277845,-0.018795184791088104,0.7687951847910881,0.030225388705730438,0.7385697960853577,0.14812825620174408,0.620666928589344,0,17,3,0.3203599950671196,0.17616084814071656,0.14419914692640304
0,0,additive_head,40,40,128,128,32,1.0,125,7,0.9666526619000427,0.9925392866134644,0.0074607133865356445,0.005041778087615967,0.0024189352989196777,0.0074607133865356445,0.0,1,146,5,0.2738391518592834,0.12504177808761596,0.14879737377166746
0,0,additive_head,40,40,128,128,32,1.25,79,6,1.411267716199826,0.8981282562017441,0.3518717437982559,0.059995025396347046,0.2918767184019089,0.24495822191238403,0.10691352188587189,0,79,6,0.4718717437982559,0.279995025396347,0.1918767184019089
0,0,additive_head,40,40,128,128,32,1.5,126,6,1.4549445490718125,1.005041778087616,0.49495822191238403,0.025876224040985107,0.4690819978713989,0.49495822191238403,0.0,0,126,6,0.614958221912384,0.2458762240409851,0.36908199787139895
0,0,additive_head,40,40,128,128,32,1.75,126,6,1.4549445490718125,1.005041778087616,0.744958221912384,0.2241237759590149,0.5208344459533691,0.744958221912384,0.0,0,126,6,0.864958221912384,0.44412377595901487,0.42083444595336916
0,0,additive_head,40,40,128,128,32,2.0,126,6,1.4549445490718125,1.005041778087616,0.994958221912384,0.4741237759590149,0.5208344459533691,0.994958221912384,0.0,0,126,6,1.1149582219123841,0.6941237759590149,0.4208344459533693
