measurement_budget,reference,candidate,repetition,oracle_regret_reduction,absolute_error_reduction,within_tolerance_improvement
120,additive_head,count_plus_PE_bin4,0,0.06517514958977699,0.06517514958977699,0.125
120,additive_head,count_plus_PE_bin4,1,0.03803640324622393,0.03803640324622393,-0.025
120,additive_head,count_plus_PE_bin4,2,0.14351681545376777,0.14351681545376777,0.1
120,additive_head,count_plus_PE_bin4,3,0.1562433736398816,0.1562433736398816,0.2
120,additive_head,count_plus_PE_bin4,4,0.22028774861246347,0.22028774861246347,0.2
120,additive_head,count_plus_PE_bin4,5,0.09732986558228732,0.09732986558228732,0.075
120,additive_head,count_plus_PE_bin4,6,-0.018440779112279416,-0.018440779112279416,-0.075
120,additive_head,count_plus_PE_bin4,7,0.07032714057713747,0.07032714057713747,0.05
120,additive_head,count_plus_PE_bin4,8,-0.011573098041117192,-0.011573098041117192,0.0
120,additive_head,count_plus_PE_bin4,9,0.10776372235268354,0.10776372235268354,0.125
120,additive_head,count_plus_PE_bin4,10,0.10549016762524843,0.10549016762524843,0.025
120,additive_head,count_plus_PE_bin4,11,0.14973081685602666,0.14973081685602666,0.025
120,additive_head,count_plus_PE_bin4,12,-0.004627866111695767,-0.004627866111695767,-0.05
120,additive_head,count_plus_PE_bin4,13,-0.03172885272651911,-0.03172885272651911,-0.025
120,additive_head,count_plus_PE_bin4,14,0.12465437483042478,0.12465437483042478,0.125
120,additive_head,count_plus_PE_bin4,15,0.08021281082183122,0.08021281082183122,0.15
120,additive_head,count_plus_PE_bin4,16,0.07922022715210915,0.07922022715210915,0.0
120,additive_head,count_plus_PE_bin4,17,0.1270559698343277,0.1270559698343277,0.1
120,additive_head,count_plus_PE_bin4,18,-0.016936874017119408,-0.016936874017119408,0.025
120,additive_head,count_plus_PE_bin4,19,0.09944530930370092,0.09944530930370092,0.1
120,additive_head,count_plus_PE_bin4,20,0.2585670221596956,0.2585670221596956,0.15
120,additive_head,count_plus_PE_bin4,21,0.13063600827008487,0.13063600827008487,0.125
120,additive_head,count_plus_PE_bin4,22,0.05524161085486412,0.05524161085486412,0.025
120,additive_head,count_plus_PE_bin4,23,0.07343788351863623,0.07343788351863623,0.1
120,additive_head,count_plus_PE_bin4,24,0.06262689474970103,0.06262689474970103,0.075
120,additive_head,count_plus_PE_bin4,25,-0.03379227425903082,-0.03379227425903082,-0.05
120,additive_head,count_plus_PE_bin4,26,0.0823950195685029,0.0823950195685029,0.05
120,additive_head,count_plus_PE_bin4,27,-0.02585610132664442,-0.02585610132664442,0.0
120,additive_head,count_plus_PE_bin4,28,0.11556232683360576,0.11556232683360576,0.025
120,additive_head,count_plus_PE_bin4,29,0.189648443646729,0.189648443646729,0.225
120,additive_head,count_plus_all_bin4,0,0.22085031345486641,0.22085031345486641,0.275
120,additive_head,count_plus_all_bin4,1,0.04463594444096088,0.04463594444096088,0.0
120,additive_head,count_plus_all_bin4,2,0.2541278587654233,0.2541278587654233,0.25
120,additive_head,count_plus_all_bin4,3,0.21965895742177963,0.21965895742177963,0.25
120,additive_head,count_plus_all_bin4,4,0.21566400229930877,0.21566400229930877,0.125
120,additive_head,count_plus_all_bin4,5,0.16538058444857598,0.16538058444857598,0.175
120,additive_head,count_plus_all_bin4,6,0.024751400016248225,0.024751400016248225,0.025
120,additive_head,count_plus_all_bin4,7,0.12719021439552308,0.12719021439552308,0.05
120,additive_head,count_plus_all_bin4,8,0.039477124065160754,0.039477124065160754,0.125
120,additive_head,count_plus_all_bin4,9,0.13617556374520062,0.13617556374520062,0.15
120,additive_head,count_plus_all_bin4,10,0.1802878113463521,0.1802878113463521,0.2
120,additive_head,count_plus_all_bin4,11,0.15180881656706333,0.15180881656706333,0.075
120,additive_head,count_plus_all_bin4,12,0.02678640969097614,0.02678640969097614,-0.025
120,additive_head,count_plus_all_bin4,13,0.13654741179198027,0.13654741179198027,0.15
120,additive_head,count_plus_all_bin4,14,0.16879391502588986,0.16879391502588986,0.225
120,additive_head,count_plus_all_bin4,15,0.211208170093596,0.211208170093596,0.225
