measurement_budget,model,absolute_target_error_mean,absolute_target_error_std,oracle_regret_mean,oracle_regret_std,same_size_oracle_regret_mean,same_size_oracle_regret_std,within_tolerance_mean,within_tolerance_std,selected_head_count_mean,selected_head_count_std,cost_aware_loss_mean,cost_aware_loss_std,cost_aware_regret_mean,cost_aware_regret_std
120,additive_head,0.47658723400284847,0.0642945209764773,0.3452996067206065,0.07214621497291153,0.08223207757497827,0.0313433419400116,0.33916666666666667,0.06620349159108281,6.360833333333333,0.3413135966590958,0.5869690853580832,0.05879142032048955,0.3203644975317021,0.061294593774663064
120,count_additive,0.4761021374290188,0.05470283669884185,0.34481451014677683,0.05960904883126449,0.09120797349140047,0.03175920148143862,0.3491666666666667,0.06034503284037343,6.675,0.3311422238461793,0.5781030181549489,0.04701691143620615,0.31149843032856783,0.05031304590572399
120,count_plus_PE_bin4,0.39359892535333835,0.05684460613889627,0.2623112980710963,0.056160703985328256,0.06795153640210629,0.030248128973914126,0.405,0.06378844344582629,7.203333333333333,0.4302031062692112,0.5271482048138976,0.06010857578142028,0.2605436169875165,0.058802269673922165
120,count_plus_all_bin4,0.34328830244640507,0.05725059184633587,0.2120006751641631,0.04990558507624511,0.06644407235706846,0.024633882121922898,0.455,0.0692944740793307,7.178333333333333,0.36363427376619956,0.46895222354133925,0.054761028911366805,0.20234763571495812,0.04797360216544675
20,additive_head,0.6761359144933522,0.10689386736460264,0.5448482872111102,0.10249591649437441,0.16934933649996917,0.06088013210040691,0.25083333333333335,0.06774805421984245,5.820833333333334,0.48503836203302325,0.7472215021851162,0.09395177927617135,0.4806169143587351,0.08500820047040512
20,count_additive,0.9594682045405111,0.16594357731948753,0.828180577258269,0.17251438827362886,0.3529577284616729,0.12189530771839115,0.18083333333333332,0.054410371306830164,4.975,0.519075770165025,1.06513563120539,0.16481401881284743,0.7985310433790088,0.16992697415592195
20,count_plus_PE_bin4,0.763739073301355,0.10325551994127138,0.6324514460191131,0.0982997910965249,0.23910199034338195,0.08219944895320212,0.21333333333333335,0.06390096504226939,5.5841666666666665,0.4957788775273701,0.8653484078320364,0.12118533935713147,0.5987438200056553,0.11801179153780245
20,count_plus_all_bin4,0.6203189168994625,0.11493792322446901,0.4890312896172206,0.11477186441804083,0.17328443579996625,0.07847569561178405,0.27749999999999997,0.0667438489998168,6.13,0.6275774440464393,0.7166674218729139,0.10092062777198504,0.45006283404653274,0.1026250234539083
40,additive_head,0.5240283708274365,0.07816682601542911,0.39274074354519445,0.08023295107440795,0.09325800839811563,0.04086515538551539,0.30583333333333335,0.08138968982122614,6.355833333333334,0.47218692115066807,0.6184932297910254,0.07856479386935183,0.3518886419646442,0.07811405059236794
40,count_additive,0.5331717247205476,0.07103796363011301,0.4018840974383056,0.06023248513714656,0.11085978981107474,0.04019853190148547,0.305,0.06898275646605588,6.283333333333333,0.4866906780409442,0.6447762682445347,0.08219811962424922,0.37817168041815363,0.077858348988769
40,count_plus_PE_bin4,0.5012710951268673,0.04449080000670423,0.3699834678446253,0.04336826381365607,0.11126908404752613,0.03135913549896408,0.32416666666666666,0.05393296179347183,6.538333333333333,0.41702628159413413,0.6280059482323627,0.06325601038953658,0.36140136040598153,0.06452539914761136
40,count_plus_all_bin4,0.5376904850639403,0.07675599711686193,0.40640285778169827,0.07752019642185508,0.1376500779638688,0.05593938458064579,0.3158333333333333,0.057040266076018496,6.435833333333333,0.5214652488393897,0.6511048111202816,0.06946682960857904,0.38450022329390054,0.07089106154216383
80,additive_head,0.47721473522484303,0.06456167080947886,0.34592710794260106,0.06416544716106079,0.09139446199561159,0.04183722578664584,0.35666666666666663,0.07189951480980285,6.3100000000000005,0.34737935142017795,0.591776981630673,0.05638009631239243,0.3251723938042919,0.05768175187909773
80,count_additive,0.49211807461455465,0.05498591232373439,0.3608304473323127,0.0599034338410949,0.09658592334638039,0.04127900594578713,0.32749999999999996,0.08235488805290733,6.545,0.32572200967421105,0.6002044381573797,0.0612845176775986,0.33359985033099854,0.06059204356070813
80,count_plus_PE_bin4,0.4163064317094783,0.05206043953449591,0.2850188044272363,0.052280445876793945,0.06973164077227315,0.025291034685930826,0.38999999999999996,0.06385598019681908,7.069999999999999,0.3380598804333645,0.5263670405628781,0.05346301802165209,0.25976245273649695,0.05833604045263746
80,count_plus_all_bin4,0.38507360058526197,0.06054211207100793,0.25378597330302,0.05918676941000437,0.0820894908097883,0.029681055224292187,0.42250000000000004,0.07750139042134264,7.041666666666667,0.32326015287502047,0.5041341202328602,0.05528053963399491,0.23752953240647914,0.05650671336821324
