measurement_budget,reference,candidate,oracle_regret_reduction_mean,oracle_regret_reduction_q05,oracle_regret_reduction_q95,oracle_regret_reduction_positive_fraction,absolute_error_reduction_mean,absolute_error_reduction_q05,absolute_error_reduction_q95,absolute_error_reduction_positive_fraction,within_tolerance_improvement_mean,within_tolerance_improvement_q05,within_tolerance_improvement_q95,within_tolerance_improvement_positive_fraction
160,additive_head,count_plus_PE_bin4,0.06354462956388791,0.01479153514839709,0.12798986351117486,1.0,0.06354462956388791,0.01479153514839709,0.12798986351117486,1.0,0.08666666666666667,-0.05,0.22749999999999987,0.7666666666666667
160,additive_head,count_plus_all_bin4,0.09630097700282932,0.025675657065585257,0.18546642816625536,1.0,0.09630097700282932,0.025675657065585257,0.18546642816625536,1.0,0.11,-0.027499999999999993,0.26624999999999976,0.8666666666666667
160,count_additive,count_plus_PE_bin4,0.06797946431363622,-0.024400774119421837,0.14487468902021644,0.8666666666666667,0.06797946431363622,-0.024400774119421837,0.14487468902021644,0.8666666666666667,0.09000000000000001,-0.075,0.3024999999999999,0.7666666666666667
160,count_additive,count_plus_all_bin4,0.10073581175257763,0.008644516803324223,0.18605791724286974,1.0,0.10073581175257763,0.008644516803324223,0.18605791724286974,1.0,0.11333333333333334,-0.03875,0.3049999999999997,0.8
20,additive_head,count_plus_PE_bin4,-0.13395311682174604,-0.3343275631032884,0.11108318792656058,0.16666666666666666,-0.13395311682174604,-0.3343275631032884,0.11108318792656058,0.16666666666666666,-0.08083333333333334,-0.18875,0.08874999999999993,0.16666666666666666
20,additive_head,count_plus_all_bin4,-0.02600647062063217,-0.20343744287267326,0.20444284757599235,0.26666666666666666,-0.02600647062063217,-0.20343744287267326,0.20444284757599235,0.26666666666666666,-0.01583333333333333,-0.1775,0.11374999999999993,0.4
20,count_additive,count_plus_PE_bin4,0.2054250174264113,-0.09400620663538575,0.489996745577082,0.8666666666666667,0.2054250174264113,-0.09400620663538575,0.489996745577082,0.8666666666666667,0.057499999999999996,-0.05,0.175,0.7666666666666667
20,count_additive,count_plus_all_bin4,0.3133716636275252,0.09231398353353144,0.5498680005036294,0.9666666666666667,0.3133716636275252,0.09231398353353144,0.5498680005036294,0.9666666666666667,0.12249999999999998,-0.013749999999999997,0.225,0.8666666666666667
40,additive_head,count_plus_PE_bin4,0.010854526416709026,-0.07572404816746711,0.09936074268072843,0.4666666666666667,0.010854526416709026,-0.07572404816746711,0.09936074268072843,0.4666666666666667,0.0033333333333333353,-0.15,0.125,0.5
40,additive_head,count_plus_all_bin4,-0.06458972874407967,-0.20816023381426932,0.06063836491666726,0.23333333333333334,-0.06458972874407967,-0.20816023381426932,0.06063836491666726,0.23333333333333334,-0.0058333333333333345,-0.125,0.15,0.36666666666666664
40,count_additive,count_plus_PE_bin4,0.0762575627863407,-0.0558769850153476,0.20884505673311649,0.8333333333333334,0.0762575627863407,-0.0558769850153476,0.20884505673311649,0.8333333333333334,0.039166666666666676,-0.11375,0.21624999999999978,0.5666666666666667
40,count_additive,count_plus_all_bin4,0.0008133076255520177,-0.17309241184964774,0.09926897668279705,0.6,0.0008133076255520177,-0.17309241184964774,0.09926897668279705,0.6,0.030000000000000002,-0.125,0.18874999999999992,0.5666666666666667
80,additive_head,count_plus_PE_bin4,0.06596400731553634,-0.012149834111332889,0.1524360482953488,0.9,0.06596400731553634,-0.012149834111332889,0.1524360482953488,0.9,0.11,0.0,0.275,0.9
80,additive_head,count_plus_all_bin4,0.07046031314258776,-0.018994751824066042,0.15530476512387392,0.8,0.07046031314258776,-0.018994751824066042,0.15530476512387392,0.8,0.09833333333333331,-0.03875,0.275,0.7666666666666667
80,count_additive,count_plus_PE_bin4,0.08615710152933996,-0.013930874718353147,0.15141300812363623,0.9333333333333333,0.08615710152933996,-0.013930874718353147,0.15141300812363623,0.9333333333333333,0.10416666666666667,-0.09125,0.25,0.7333333333333333
80,count_additive,count_plus_all_bin4,0.09065340735639135,-0.01884732065722346,0.1514694538153708,0.8666666666666667,0.09065340735639135,-0.01884732065722346,0.1514694538153708,0.8666666666666667,0.0925,-0.03875,0.225,0.7
