measurement_budget,model,absolute_target_error_mean,absolute_target_error_std,oracle_regret_mean,oracle_regret_std,same_size_oracle_regret_mean,same_size_oracle_regret_std,within_tolerance_mean,within_tolerance_std,selected_head_count_mean,selected_head_count_std,cost_aware_loss_mean,cost_aware_loss_std,cost_aware_regret_mean,cost_aware_regret_std
160,additive_head,0.3618419425934553,0.04116079864636745,0.3102510856029888,0.04290718103766413,0.10519934841121237,0.025275548461409836,0.43083333333333335,0.05320881657131213,7.340833333333333,0.27788326541085967,0.46717626314063865,0.05308205545370705,0.27510460934067765,0.04717468506590837
160,count_additive,0.3662767773432036,0.05071243723934847,0.3146859203527371,0.05045382030666522,0.10153288858632246,0.03313661296432569,0.4275,0.07996497077923646,7.293333333333334,0.36771271895076035,0.46734512863730393,0.0427165970442167,0.27527347483734294,0.037736618471214796
160,count_plus_PE_bin4,0.2982973130295674,0.045774733020317836,0.24670645603910088,0.04768386166305326,0.091654237434268,0.021767356628781275,0.5175,0.08151316796520755,7.8758333333333335,0.35119766350386605,0.40369001304830116,0.04040955918482008,0.21161835924834013,0.03995615973814791
160,count_plus_all_bin4,0.265540965590626,0.034949075136285375,0.21395010860015948,0.036316745755567675,0.07940321962659556,0.023343714309824397,0.5408333333333334,0.08647386822073748,7.921666666666667,0.37736229124089055,0.404787829815348,0.03494344295294379,0.21271617601538698,0.033477371349261056
20,additive_head,0.5791043037797013,0.09849983244272838,0.527513446789235,0.09920002360950786,0.2496576354155938,0.08342124897690716,0.2983333333333333,0.0730886723301806,6.984166666666667,0.4688799628265529,0.7099846392892301,0.10061258967199531,0.5179129854892691,0.09944329656118583
20,count_additive,0.9184824380278587,0.14115934315431153,0.8668915810373922,0.14165339973406174,0.47881003716960546,0.13580761014449777,0.16,0.05966862515247195,6.275,0.5076993408402805,1.078040429649502,0.1298060063037501,0.885968775849541,0.13052250658208928
20,count_plus_PE_bin4,0.7130574206014475,0.09929868787258714,0.6614665636109809,0.09893077616312403,0.33108574635659654,0.08211764785826944,0.2175,0.058039077204575025,6.6075,0.43900111931363084,0.853769957036525,0.10363062952311144,0.661698303236564,0.10533335290094108
20,count_plus_all_bin4,0.6051107744003336,0.07304175854427876,0.5535199174098671,0.07179537757529947,0.26101712646583713,0.05826902380276994,0.2825,0.05217262460927846,6.9025,0.4959034771209915,0.7301629122098288,0.0919373012320577,0.5380912584098677,0.09076805657005725
40,additive_head,0.42994301171352467,0.04435086676492956,0.3783521547230581,0.04725197418683288,0.13624779593199493,0.030519046412738417,0.35666666666666663,0.05795856625468621,7.235,0.296502602186639,0.518252230477333,0.05174862940989873,0.3261805766773721,0.050247790599814574
40,count_additive,0.49534604808315635,0.05427110125025037,0.4437551910926898,0.05463296499060758,0.17994650363922118,0.036310076086564044,0.32083333333333336,0.08332614911560945,7.025,0.33153249177636906,0.6099173223989706,0.06441320810205985,0.4178456685990095,0.06378125639509144
40,count_plus_PE_bin4,0.41908848529681564,0.05279926239975896,0.36749762830634913,0.05350033033608862,0.16333727056781452,0.03769266482374397,0.36000000000000004,0.07701320979389588,7.3275,0.36867364785225665,0.5353658964966734,0.05731858655567805,0.34329424269671244,0.05495910704558939
40,count_plus_all_bin4,0.4945327404576043,0.08545911459660141,0.4429418834671378,0.08537076601615792,0.22402539795264603,0.06597328814266973,0.35083333333333333,0.07946028430360161,7.225833333333333,0.31096923934063336,0.6286089559073249,0.08906072070837572,0.4365373021073639,0.09021941868063024
80,additive_head,0.38703313066313666,0.04167730635470242,0.3354422736726701,0.04486300072355294,0.11523106500506401,0.023836996732799962,0.3825,0.07461106047247677,7.2925,0.2839188507181292,0.48966010758181416,0.04225976363010992,0.2975884537818531,0.03932058269148061
80,count_additive,0.4072262248769402,0.051374548494606376,0.3556353678864737,0.05319073241116476,0.118705293815583,0.02919538373576303,0.38833333333333336,0.08297624642790469,7.35,0.3855135401709937,0.5005232162912686,0.05189334076118033,0.3084515624913077,0.05038084356120405
80,count_plus_PE_bin4,0.3210691233476003,0.043921116278838844,0.2694782663571338,0.045575117663555466,0.11162581553682685,0.024987539164955233,0.4925,0.0846264611751814,7.739166666666667,0.40898757112329626,0.43290211579253274,0.0455811529051792,0.24083046199257174,0.04531698605788995
80,count_plus_all_bin4,0.3165728175205489,0.0555975088718051,0.2649819605300824,0.05599467999739692,0.10638184525072575,0.0372422786789322,0.48083333333333333,0.10014716183191867,7.684166666666667,0.32045787106332224,0.4477950108759105,0.05375297745233114,0.2557233570759495,0.053983302489316175
