seed,suffix_shadow_gap,suffix_move,final_error_gap,final_error,suffix_nonlinearity_ratio,final_error_nonlinearity_ratio
0,0.07612924995287108,0.5246288811167081,0.0761292535824864,0.4211618608484666,0.14511067288332433,0.18076008456491646
1,0.1088476849511716,0.5429323657105366,0.1088476862328788,0.4401073630899191,0.20048111298121346,0.24732075707317794
2,0.10286490535219948,0.551687519500653,0.10286491240064304,0.4474354809770981,0.1864550161390369,0.2298988720697994
3,0.08130856615971684,0.532915958079199,0.08130856532858159,0.4291307734325528,0.15257296188460773,0.1894726977471379
4,0.039876843260738634,0.5227705152705312,0.03987686582937385,0.41760186161845925,0.07627982469535903,0.0954901534079061
5,0.060498847716856,0.5289481870209177,0.060498848269151376,0.42456910070031884,0.11437575399887612,0.14249470385235208
6,0.18200765991146958,0.5834470363954704,0.182007661517764,0.4797287459174792,0.31195232567451364,0.37939703023148036
7,0.09664658760726862,0.5251771852374076,0.09664658675770056,0.422318721935153,0.18402663010499834,0.2288475071975157
8,0.04609937742569798,0.5344310604035855,0.04609938665676019,0.4285799269874891,0.08625879152848112,0.10756310259511034
9,0.08385823402740601,0.5262290887534619,0.08385823046804007,0.42433115703364216,0.15935689573157283,0.1976244946382562
10,0.10686318668001063,0.5253715508927902,0.1068631846315223,0.42505647043387096,0.20340497405771718,0.2514093821991301
11,0.06194136565236166,0.5276195857673883,0.06194136316061158,0.42366446095208327,0.11739777544890033,0.1462038213481805
