pair_index,name_a,name_b,unordered_name_pair_id
0,Gina,Valerie,phase6_pair_d3ce04b561a7a9f6
1,Joseph,Leah,phase6_pair_d3e30bbb7a041256
2,Christina,Marie,phase6_pair_d8aa597f27508605
3,Anne,Melissa,phase6_pair_ed2f73ba899c96f0
4,Mia,Natalie,phase6_pair_c93a443389459cda
5,Amber,Bonnie,phase6_pair_3ea4c928a32cb535
6,Joshua,Judy,phase6_pair_dc7c4afe450a4123
7,June,Zoe,phase6_pair_9d7a2d7573ba79c2
8,April,Sophia,phase6_pair_4b2031fb3148d3ee
9,Chloe,Elizabeth,phase6_pair_3ff09606e48f88f8
10,Eva,Paul,phase6_pair_5060e0fc982e9f4d
11,Lisa,Lydia,phase6_pair_22424491bfa2bbf7
12,Anna,Claire,phase6_pair_a51ddccd84b83769
13,Erica,Madison,phase6_pair_cdf0d5b696403826
14,Joan,Paige,phase6_pair_c05995853090638d
15,Margaret,Mark,phase6_pair_27b58d91a8805723
16,Judith,Wendy,phase6_pair_70c9b4b466da4e77
17,Scarlett,Steven,phase6_pair_8cda82f11e5705a9
18,Avery,Brooke,phase6_pair_def4c49e912f68a0
19,Maya,Nina,phase6_pair_83ce93db4866834e
20,Heather,Sarah,phase6_pair_4232ece9c5de015e
21,Rosa,Teresa,phase6_pair_ba24833d8a7a20bb
22,Monica,Robin,phase6_pair_d05ecb1621fbfe80
23,Rita,Victoria,phase6_pair_ddeeb5ea0075c302
24,Christopher,Leslie,phase6_pair_6fb321fd6c59ee74
25,Charlotte,Kimberly,phase6_pair_c06e43b4adb8976d
26,Holly,Virginia,phase6_pair_f4a693ca9aeb5fcc
27,Amelia,John,phase6_pair_ba4b06be0ae5c5a2
28,Martha,Megan,phase6_pair_d5f78ab0a04f789f
29,Jill,Peggy,phase6_pair_6aa7a55bcb2b78fc
30,Cheryl,Ellie,phase6_pair_9af0db44d4680944
31,Kelly,Tina,phase6_pair_6dd888711548a86b
