comparison_id,omitted_template_id,mean_absolute_target_loss_reduction,relative_reduction_fraction
H1_primary_estimand,p6_abba_kitchen,0.25001756299198385,0.23079638647173423
H1_primary_estimand,p6_abba_library,0.24003561143763363,0.22383883926431625
H1_primary_estimand,p6_abba_museum,0.229894818361139,0.21234172537545254
H1_primary_estimand,p6_abba_train,0.23638015372368196,0.21749162184129667
H1_primary_estimand,p6_baba_kitchen,0.2607849267688358,0.24248769784530028
H1_primary_estimand,p6_baba_library,0.26106459375781316,0.2418563751603206
H1_primary_estimand,p6_baba_museum,0.22390557078289844,0.21326355579793613
H1_primary_estimand,p6_baba_train,0.24360086477272921,0.22632715509656273
H2_secondary_vs_additive,p6_abba_kitchen,0.02471978802766119,0.028811472661431383
H2_secondary_vs_additive,p6_abba_library,0.035276109053354175,0.04065943554921865
H2_secondary_vs_additive,p6_abba_museum,0.03574108663902041,0.04022584026788538
H2_secondary_vs_additive,p6_abba_train,0.0310662041329557,0.03524110425945905
H2_secondary_vs_additive,p6_baba_kitchen,0.026994816548678847,0.03207306683821585
H2_secondary_vs_additive,p6_baba_library,0.02072159425976376,0.02469570224208366
H2_secondary_vs_additive,p6_baba_museum,0.02190582661534704,0.02583535817057476
H2_secondary_vs_additive,p6_baba_train,0.011994312206904093,0.0141992362241712
H2_secondary_vs_count,p6_abba_kitchen,0.02936286689890992,0.034038880946771294
H2_secondary_vs_count,p6_abba_library,0.03944934652896509,0.04525186597647366
H2_secondary_vs_count,p6_abba_museum,0.041310241379375966,0.04620420026267268
H2_secondary_vs_count,p6_abba_train,0.035202869591081425,0.03974716781943486
H2_secondary_vs_count,p6_baba_kitchen,0.029412811123100773,0.034845825841802985
H2_secondary_vs_count,p6_baba_library,0.024140863202600962,0.028653972512182872
H2_secondary_vs_count,p6_baba_museum,0.027590371047457058,0.03232291185438498
H2_secondary_vs_count,p6_baba_train,0.017996792903258688,0.021154833168875606
