comparison_id,claim_role,candidate_selector_family,candidate_model,reference_selector_family,reference_model,policy,metric,target_scope,targets,row_count,reference_mean,candidate_mean,mean,relative_reduction_fraction,q025,q975,bootstrap_repeats
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,primary_pooled,"0.5,1",49152,1.0757814324557937,0.8325709196312042,0.2432105128245894,0.22607799826902428,0.11385469850793016,0.40237179996935696,5000
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,primary_pooled,"0.5,1",49152,0.158935546875,0.18747965494791666,0.028544108072916668,,0.010922749837239584,0.04811604817708334,5000
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,primary_pooled,"0.5,1",49152,1.2130789471646617,0.9220614871611664,0.2910174600034952,0.23989985209428658,0.1539540304984936,0.45849837219488104,5000
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_0.5,0.5,24576,1.0070764970926878,0.7069535437816133,0.3001229533110745,0.29801405769819317,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_0.5,0.5,24576,0.16866048177083334,0.2301025390625,0.061442057291666664,,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_0.5,0.5,24576,1.1345153301061754,0.7948195367337515,0.33969579337242367,0.2994193065162308,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_1,1,24576,1.1444863678188995,0.9581882954807952,0.18629807233810425,0.16277876047850276,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_1,1,24576,0.14921061197916666,0.14485677083333334,-0.004353841145833333,,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_1,1,24576,1.291642564223148,1.0493034375885812,0.24233912663456672,0.18762088935983648,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,target_1.5_stress,1.5,24576,1.4104130524210632,1.3629904586511354,0.04742259376992782,0.03362319548058914,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,target_1.5_stress,1.5,24576,0.10310872395833333,0.09004720052083333,-0.0130615234375,,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,target_1.5_stress,1.5,24576,1.5615443990007043,1.4887085444185264,0.0728358545821781,0.0466434733644389,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,absolute_target_loss_reduction,all_three_pooled,"0.5,1,1.5",73728,1.1873253057775501,1.009377432637848,0.1779478731397022,0.14987288847782834,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,target_loss,within_tolerance_improvement,all_three_pooled,"0.5,1,1.5",73728,0.1403266059027778,0.1550021701388889,0.014675564236111112,,,,0
H1_primary_estimand,primary,direct_risk,head_pair_quadratic_screen,natural_mean_effect,head_pair_quadratic_screen,cost_aware,cost_aware_objective_reduction,all_three_pooled,"0.5,1,1.5",73728,1.329234097776676,1.1109438395802864,0.21829025819638953,0.16422258393875808,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,absolute_target_loss_reduction,primary_pooled,"0.5,1",49152,0.858623386816665,0.8325709196312042,0.026052467185460653,0.030342135545655048,-0.025486295092559876,0.07640456896770047,5000
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,within_tolerance_improvement,primary_pooled,"0.5,1",49152,0.18202718098958334,0.18747965494791666,0.005452473958333333,,-0.006998697916666664,0.016887919108072892,5000
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,cost_aware,cost_aware_objective_reduction,primary_pooled,"0.5,1",49152,0.953018054740193,0.9220614871611664,0.030956567579026647,0.03248266643538655,-0.020282583987776878,0.08208696313157755,5000
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,absolute_target_loss_reduction,target_0.5,0.5,24576,0.7129672045314995,0.7069535437816133,0.006013660749886185,0.008434694768096442,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,within_tolerance_improvement,target_0.5,0.5,24576,0.2315673828125,0.2301025390625,-0.00146484375,,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,cost_aware,cost_aware_objective_reduction,target_0.5,0.5,24576,0.8041628439592508,0.7948195367337515,0.009343307225499302,0.011618675614876773,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,absolute_target_loss_reduction,target_1,1,24576,1.0042795691018302,0.9581882954807952,0.04609127362103512,0.04589486338177376,,,0
H2_secondary_vs_additive,secondary_structure,direct_risk,head_pair_quadratic_screen,direct_risk,additive_head,target_loss,within_tolerance_improvement,target_1,1,24576,0.13248697916666666,0.14485677083333334,0.012369791666666666,,,,0
