model,measurement_budget,policy,selection_changed,analysis_status
additive_head,20,cost_aware,1.0,exploratory_post_outcome_not_confirmatory
additive_head,20,target_loss,1.0,exploratory_post_outcome_not_confirmatory
additive_head,40,cost_aware,0.9666666666666667,exploratory_post_outcome_not_confirmatory
additive_head,40,target_loss,0.9666666666666667,exploratory_post_outcome_not_confirmatory
additive_head,80,cost_aware,0.9333333333333333,exploratory_post_outcome_not_confirmatory
additive_head,80,target_loss,0.9333333333333333,exploratory_post_outcome_not_confirmatory
additive_head,160,cost_aware,0.9333333333333333,exploratory_post_outcome_not_confirmatory
additive_head,160,target_loss,0.9666666666666667,exploratory_post_outcome_not_confirmatory
count_additive,20,cost_aware,0.9333333333333333,exploratory_post_outcome_not_confirmatory
count_additive,20,target_loss,0.9333333333333333,exploratory_post_outcome_not_confirmatory
count_additive,40,cost_aware,1.0,exploratory_post_outcome_not_confirmatory
count_additive,40,target_loss,0.9666666666666667,exploratory_post_outcome_not_confirmatory
count_additive,80,cost_aware,0.9,exploratory_post_outcome_not_confirmatory
count_additive,80,target_loss,1.0,exploratory_post_outcome_not_confirmatory
count_additive,160,cost_aware,0.9,exploratory_post_outcome_not_confirmatory
count_additive,160,target_loss,0.9666666666666667,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,20,cost_aware,0.9333333333333333,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,20,target_loss,0.9333333333333333,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,40,cost_aware,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,40,target_loss,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,80,cost_aware,0.9,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,80,target_loss,0.9,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,160,cost_aware,0.7666666666666667,exploratory_post_outcome_not_confirmatory
count_plus_PE_bin4,160,target_loss,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,20,cost_aware,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,20,target_loss,0.8666666666666667,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,40,cost_aware,0.9,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,40,target_loss,0.9333333333333333,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,80,cost_aware,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,80,target_loss,0.9,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,160,cost_aware,0.8333333333333334,exploratory_post_outcome_not_confirmatory
count_plus_all_bin4,160,target_loss,0.8,exploratory_post_outcome_not_confirmatory
head_pair_quadratic_screen,160,cost_aware,0.7333333333333333,exploratory_post_outcome_not_confirmatory
head_pair_quadratic_screen,160,target_loss,0.8,exploratory_post_outcome_not_confirmatory
