analysis_status,selector_family,model,measurement_budget,policy,actual_target_loss,actual_objective,within_tolerance,selected_head_count
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,cost_aware,1.033334839468201,1.1700015061348676,0.16015625,6.833333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,target_loss,1.033334839468201,1.033334839468201,0.16015625,6.833333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,40,cost_aware,0.975592418635885,1.091592418635885,0.16888020833333334,5.8
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,40,target_loss,0.975592418635885,0.975592418635885,0.16888020833333334,5.8
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,80,cost_aware,1.0735899917781353,1.1942566584448018,0.15143229166666666,6.033333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,80,target_loss,1.0735899917781353,1.0735899917781353,0.15143229166666666,6.033333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,160,cost_aware,1.0451204215486845,1.1697870882153512,0.15638020833333333,6.233333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,160,target_loss,1.0713401965796947,1.0713401965796947,0.151953125,6.466666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,20,cost_aware,1.0598945531994104,1.190561219866077,0.1578125,6.533333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,20,target_loss,1.065748624627789,1.065748624627789,0.15481770833333333,6.6
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,40,cost_aware,1.179026376704375,1.289026376704375,0.13984375,5.5
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,40,target_loss,1.190502599813044,1.190502599813044,0.13776041666666666,5.666666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,80,cost_aware,1.076544706026713,1.1925447060267131,0.15416666666666667,5.8
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,80,target_loss,1.0666907625893751,1.0666907625893751,0.15807291666666667,5.966666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,160,cost_aware,1.0074001436432203,1.1347334769765536,0.16380208333333332,6.366666666666666
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,160,target_loss,1.0225220508873463,1.0225220508873463,0.16471354166666666,6.5
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,20,cost_aware,1.0507221524914105,1.1760554858247438,0.153125,6.266666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,20,target_loss,1.0674871681878964,1.0674871681878964,0.15078125,6.433333333333334
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,40,cost_aware,1.1994491051882505,1.3321157718549173,0.14140625,6.633333333333334
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,40,target_loss,1.212266431748867,1.212266431748867,0.14153645833333334,6.733333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,80,cost_aware,0.9425855853905281,1.0739189187238614,0.171484375,6.566666666666666
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,80,target_loss,0.948451284567515,0.948451284567515,0.17005208333333333,6.666666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,160,cost_aware,0.9148592392603556,1.048192572593689,0.17591145833333333,6.666666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,160,target_loss,0.931617529441913,0.931617529441913,0.17265625,6.866666666666666
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,20,cost_aware,1.0640143206963937,1.2006809873630604,0.156640625,6.833333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,20,target_loss,1.0896922359863916,1.0896922359863916,0.15299479166666666,6.966666666666667
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,40,cost_aware,1.163984688743949,1.2646513554106158,0.14479166666666668,5.033333333333333
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,40,target_loss,1.1481546903649966,1.1481546903649966,0.14830729166666667,5.2
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,80,cost_aware,0.9201134917636712,1.0327801584303378,0.17916666666666667,5.633333333333334
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,80,target_loss,0.9271814954777559,0.9271814954777559,0.17916666666666667,5.933333333333334
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,160,cost_aware,0.9217766796549162,1.0391100129882493,0.17604166666666668,5.866666666666666
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_all_bin4,160,target_loss,0.9330294332156579,0.9330294332156579,0.174609375,6.2
exploratory_post_outcome_not_confirmatory,direct_risk,head_pair_quadratic_screen,160,cost_aware,0.8567363664507865,0.9754030331174534,0.18294270833333334,5.933333333333334
