mask_id,mask_bits,n_heads,n_P,n_B,n_E,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index,bank,is_noop,physical_mask_id
mask_0a76e511ead45404,0100100001011,5,1,2,2,phase07_action_pool_00,0,broad,n_heads_05,2,candidate,False,mask_0a76e511ead45404
mask_4eb597ade0039e98,0101001000110,5,1,3,1,phase07_action_pool_00,0,broad,n_heads_05,0,candidate,False,mask_4eb597ade0039e98
mask_6c9ee53befdd9b48,0000101011100,5,0,5,0,phase07_action_pool_00,0,broad,n_heads_05,1,candidate,False,mask_6c9ee53befdd9b48
mask_1252830d87bcecb8,0110100000110,5,2,2,1,phase07_action_pool_00,0,primary_heavy,n_heads_05,1,candidate,False,mask_1252830d87bcecb8
mask_2b313d889432243b,1111010000000,5,3,2,0,phase07_action_pool_00,0,primary_heavy,n_heads_05,2,candidate,False,mask_2b313d889432243b
mask_8cf3afa29ca90efd,1100100001100,5,2,3,0,phase07_action_pool_00,0,primary_heavy,n_heads_05,0,candidate,False,mask_8cf3afa29ca90efd
mask_0e7dc3f92d2bdc21,1000101001011,6,1,3,2,phase07_action_pool_00,0,broad,n_heads_06,1,candidate,False,mask_0e7dc3f92d2bdc21
mask_3e70eda5b8fe6eda,1001001110001,6,1,4,1,phase07_action_pool_00,0,broad,n_heads_06,2,candidate,False,mask_3e70eda5b8fe6eda
mask_42f0359cdb224718,0100111100001,6,1,4,1,phase07_action_pool_00,0,broad,n_heads_06,0,candidate,False,mask_42f0359cdb224718
mask_7430feeff6adb46b,0001011001011,6,0,4,2,phase07_action_pool_00,0,broad,n_heads_06,3,candidate,False,mask_7430feeff6adb46b
mask_3e0a41fc8251c9c2,1101010110000,6,2,4,0,phase07_action_pool_00,0,primary_heavy,n_heads_06,2,candidate,False,mask_3e0a41fc8251c9c2
mask_8ef25d2b7bda1567,1101010000101,6,2,3,1,phase07_action_pool_00,0,primary_heavy,n_heads_06,1,candidate,False,mask_8ef25d2b7bda1567
mask_a12e9c14335001ab,1100001100101,6,2,3,1,phase07_action_pool_00,0,primary_heavy,n_heads_06,3,candidate,False,mask_a12e9c14335001ab
mask_c4cb09a559e73960,1101000001011,6,2,2,2,phase07_action_pool_00,0,primary_heavy,n_heads_06,0,candidate,False,mask_c4cb09a559e73960
mask_2eb0a8b65366d85b,1000110111100,7,1,6,0,phase07_action_pool_00,0,broad,n_heads_07,1,candidate,False,mask_2eb0a8b65366d85b
mask_92cdea3784f7834d,1001101101100,7,1,6,0,phase07_action_pool_00,0,broad,n_heads_07,3,candidate,False,mask_92cdea3784f7834d
mask_adcf737e0354199d,0001010101111,7,0,5,2,phase07_action_pool_00,0,broad,n_heads_07,0,candidate,False,mask_adcf737e0354199d
mask_f991af2fd064ebf4,0101011110010,7,1,5,1,phase07_action_pool_00,0,broad,n_heads_07,2,candidate,False,mask_f991af2fd064ebf4
mask_2a970cb990b2f5eb,1110101000011,7,3,2,2,phase07_action_pool_00,0,primary_heavy,n_heads_07,1,candidate,False,mask_2a970cb990b2f5eb
mask_7c527ff37daa1769,0110111010100,7,2,5,0,phase07_action_pool_00,0,primary_heavy,n_heads_07,3,candidate,False,mask_7c527ff37daa1769
mask_a7d8bc55e232ae3e,0111000111100,7,2,5,0,phase07_action_pool_00,0,primary_heavy,n_heads_07,0,candidate,False,mask_a7d8bc55e232ae3e
mask_e2e8915307bad4e9,1010011010011,7,2,3,2,phase07_action_pool_00,0,primary_heavy,n_heads_07,2,candidate,False,mask_e2e8915307bad4e9
mask_5f06f8bd2f7b18ea,0101111101100,8,1,7,0,phase07_action_pool_00,0,broad,n_heads_08,1,candidate,False,mask_5f06f8bd2f7b18ea
mask_92b39f595e9fe275,0010011111110,8,1,6,1,phase07_action_pool_00,0,broad,n_heads_08,0,candidate,False,mask_92b39f595e9fe275
