prompt_id,split,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_00e724fa96e14996,train,length_32_gap_8,qcluster_calibration_0000,qbank_calibration_97bd6b8e0376,51429 7122 493 122772 35827 14055 3020 81980 96267 20435 43190 110538 5188 65879 50441 86524 140026 136731 80606 85459 52876 124519 81754 39592 97375 61623 147461 29924 84368 142453 21762 39592,97375,43190,29924,23,24,31,32,8
qseq_956dd6afa923bf6d,train,length_32_gap_8,qcluster_calibration_0001,qbank_calibration_97bd6b8e0376,99063 121000 115626 81380 96330 128309 131689 4099 84115 89825 124103 44699 99553 143203 85976 120507 28060 57913 107591 41888 122611 145102 135781 131269 58174 137937 34843 103334 31274 74499 120625 131269,58174,81380,31274,23,24,31,32,8
qseq_e0269e3a1126b511,train,length_32_gap_8,qcluster_calibration_0002,qbank_calibration_97bd6b8e0376,123623 23972 32827 103048 87110 94322 9368 59953 5059 63683 30065 126877 30952 72050 62041 122093 7382 47943 36292 43728 47524 137597 77936 142635 149740 73874 35886 130969 89825 81330 1 142635,149740,62041,9368,23,24,31,32,8
qseq_3d98747f5766ce27,train,length_32_gap_8,qcluster_calibration_0003,qbank_calibration_97bd6b8e0376,43569 40294 64742 146229 85381 104527 125952 31576 140639 110831 98489 57970 75378 25273 28690 7122 101941 97706 62364 7338 50892 99245 52632 104053 41604 30521 103645 102834 118445 99671 45682 104053,41604,102834,140639,23,24,31,32,8
qseq_9ecf5727fa8d6d50,train,length_32_gap_8,qcluster_calibration_0004,qbank_calibration_97bd6b8e0376,9565 74980 133799 65289 60249 101510 60995 131634 7970 75459 78985 93428 102527 39554 105098 43864 62290 16555 119096 57993 57200 78332 116701 37374 110870 70777 146256 117115 132644 149315 40611 37374,110870,62290,102527,23,24,31,32,8
qseq_7ea0fb65a402d380,train,length_32_gap_8,qcluster_calibration_0005,qbank_calibration_97bd6b8e0376,94217 49311 61739 136469 18238 136981 111078 83886 142053 115741 59849 144036 42084 71371 101746 91703 91516 38971 77936 72839 73874 35160 106637 64742 80464 84716 44820 14989 40468 139538 92039 64742,80464,61739,73874,23,24,31,32,8
qseq_e2eb118e3b8f4aad,train,length_32_gap_8,qcluster_calibration_0006,qbank_calibration_97bd6b8e0376,105455 112778 113734 110685 34191 9377 4715 20188 136056 87541 137580 107128 131380 126774 37129 104518 69419 4766 12070 26221 142146 137968 32595 147519 129743 139255 81240 144524 71341 99458 18238 147519,129743,32595,9377,23,24,31,32,8
qseq_65b6c7a6ffbf276f,train,length_32_gap_8,qcluster_calibration_0007,qbank_calibration_97bd6b8e0376,3935 57532 147221 50499 87766 45161 64997 62738 113873 76809 141854 96575 78421 132737 47040 110538 113744 76298 134491 147534 23972 101387 28100 48252 53611 91885 59116 99446 99061 44091 128899 48252,53611,113873,87766,23,24,31,32,8
qseq_4621d2d1d5dd861c,train,length_32_gap_8,qcluster_calibration_0008,qbank_calibration_97bd6b8e0376,72839 98245 133477 74094 99515 57993 75544 101311 61132 10184 124429 29123 84115 112275 61099 119574 147534 50621 141367 137017 64742 40626 142312 51709 76471 21695 116547 121575 113864 49360 138235 51709,76471,75544,29123,23,24,31,32,8
qseq_c4acf5273feb9783,train,length_32_gap_8,qcluster_calibration_0009,qbank_calibration_97bd6b8e0376,138634 55891 30299 142967 58529 106603 11808 48512 68094 128531 64678 50441 43835 36084 104614 123878 78214 45076 36233 9150 35685 142295 47475 98862 58086 64095 135756 58881 110743 53611 44671 98862,58086,135756,123878,23,24,31,32,8
qseq_d0edc5fcc0963b1e,train,length_32_gap_8,qcluster_calibration_0010,qbank_calibration_97bd6b8e0376,116453 138820 150066 57472 116881 100895 61167 106443 54553 16018 22336 58295 13935 83678 114139 50273 82677 74623 20054 52212 60429 146256 41975 96376 71167 75478 90946 33808 82152 86010 5188 96376,71167,61167,5188,23,24,31,32,8
qseq_b37126e8e738e0fd,train,length_32_gap_8,qcluster_calibration_0011,qbank_calibration_97bd6b8e0376,27995 136892 37656 61731 118347 146407 4089 123748 146179 130800 85539 97670 93121 100920 130413 131435 132838 109354 113938 144993 121972 19809 11623 106276 35765 1952 124557 59980 41672 57981 149615 106276,35765,130413,37656,23,24,31,32,8
qseq_fb44202359f6732b,train,length_32_gap_8,qcluster_calibration_0012,qbank_calibration_97bd6b8e0376,83685 51603 31324 103391 11000 14181 151109 78421 38401 121741 119406 74690 94572 22678 123340 11432 20249 91462 120777 25864 49164 13961 54281 11472 3837 107239 146405 76487 71091 51060 124013 11472,3837,71091,51603,23,24,31,32,8
