prompt_id,split,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_1e84773b497a131d,train,length_32_gap_8,qcluster_calibration_0000,qbank_calibration_584a12aad0a5,72892 24620 20734 137683 15582 132254 30341 136698 28587 74983 33180 72361 123623 32522 75186 90430 13850 112647 131981 98435 106958 20084 134491 3532 27719 94615 6101 150593 143686 91138 115654 3532,27719,123623,20734,23,24,31,32,8
qseq_26a9ec64e99968f0,train,length_32_gap_8,qcluster_calibration_0001,qbank_calibration_584a12aad0a5,129641 136698 91054 106958 28840 17630 99603 72840 11486 50364 25710 65882 1028 16772 125539 141813 145032 45197 122449 13494 2070 8827 107319 132620 54292 142973 50128 934 89239 119031 149118 132620,54292,149118,122449,23,24,31,32,8
qseq_020323551fc0707d,train,length_32_gap_16,qcluster_calibration_0000,qbank_calibration_584a12aad0a5,75324 33197 114796 109015 11208 22710 126126 53046 25294 83843 38684 33138 35460 93486 122660 22401 118672 65944 25510 142410 131836 46434 59720 145032 7173 122837 53581 131914 120720 99054 93688 22401,118672,53046,53581,15,16,31,32,16
qseq_458d4aad769c541b,train,length_32_gap_16,qcluster_calibration_0001,qbank_calibration_584a12aad0a5,18016 57217 83867 146835 108394 11004 110215 92164 103058 113213 9744 89239 73642 12031 103732 25085 38558 64701 27288 57867 10732 35201 105373 118854 127162 125944 47772 93962 137683 36657 56730 25085,38558,125944,146835,15,16,31,32,16
qseq_2f030495251f01aa,train,length_64_gap_8,qcluster_calibration_0000,qbank_calibration_584a12aad0a5,109015 144835 141118 1013 130974 121616 146145 106958 127615 96681 59096 29340 113904 88865 15582 13494 123623 96080 67552 73662 93962 25710 4099 114945 26107 103058 103790 30699 131836 111960 137942 16311 93275 47281 137728 111043 52173 52212 75307 83529 22401 11828 143920 127162 18016 74484 101557 105601 58533 42107 24166 143686 82331 17389 120677 903 90971 136698 13200 74983 144331 47356 43771 903,90971,24166,26107,55,56,63,64,8
qseq_c47fa75828b35614,train,length_64_gap_8,qcluster_calibration_0001,qbank_calibration_584a12aad0a5,85626 100149 19826 143686 141919 77581 149061 4183 100832 38558 46375 122449 146145 5801 145632 44742 122346 3532 108369 59096 132016 50364 73607 105705 38571 61550 109506 84591 32898 130971 87181 70485 16311 57181 130446 137728 13850 105601 934 12031 75186 73526 15582 128275 71206 92909 83640 117397 91080 52748 123623 119799 7149 136802 83867 56733 64078 38709 46643 33197 28677 105249 106958 56733,64078,123623,128275,55,56,63,64,8
qseq_d1cd7eb189ba8842,train,length_64_gap_16,qcluster_calibration_0000,qbank_calibration_584a12aad0a5,13200 48062 133460 100981 11486 107363 1028 25710 19502 10678 149061 854 149643 12031 44742 145866 30341 12284 94650 135855 46388 106437 77581 142973 18689 80977 3355 33063 89903 107445 71294 130138 111691 132531 105705 33197 149482 122346 85626 99199 90992 76116 111960 91407 934 1013 74878 131981 91589 112124 127162 50364 144835 103732 97488 77396 56730 98435 24620 93719 125944 75186 64025 131981,91589,50364,90992,47,48,63,64,16
qseq_5668c3ec51b6622b,train,length_64_gap_16,qcluster_calibration_0001,qbank_calibration_584a12aad0a5,75307 46434 32821 1028 38684 79101 53581 103732 7335 38571 62278 16772 5801 106194 131564 72840 61901 61550 64701 143920 112124 28677 75758 90895 120075 92909 144868 24782 90971 47356 143892 122449 74484 107445 33795 57181 21812 36215 101273 95869 48718 121558 30341 107748 83867 3362 47155 39772 149061 117397 134491 46375 91407 18689 47281 142973 108802 146145 107448 35656 114450 96080 20777 39772,149061,96080,47281,47,48,63,64,16
qseq_b4f10aa476f6e95c,test,length_32_gap_8,qcluster_locked_test_0000,qbank_locked_test_034117c1d26d,94579 24846 75303 133614 108268 150465 76117 24585 126393 130241 135522 53116 82370 126799 138738 3363 117679 131180 125762 109168 36823 43497 37132 76759 67884 125284 106479 26597 53139 143013 29638 76759,67884,109168,3363,23,24,31,32,8
qseq_8b390ebe58048b1a,test,length_32_gap_8,qcluster_locked_test_0001,qbank_locked_test_034117c1d26d,55153 13187 125685 19197 97354 116400 129991 32963 50148 42233 64164 111635 52947 37281 122856 5990 43676 75871 120491 67884 69323 6515 23482 70471 851 18353 59086 121879 99723 35359 74630 70471,851,43676,52947,23,24,31,32,8
qseq_7ad538d04d604c22,test,length_32_gap_16,qcluster_locked_test_0000,qbank_locked_test_034117c1d26d,79738 129041 12390 135522 54474 20119 113360 29639 49373 6515 86308 122413 118835 126393 105923 37132 29638 115215 23482 144672 151493 109168 147181 120351 21843 97092 105149 57768 138738 36345 130162 37132,29638,122413,57768,15,16,31,32,16
qseq_f3ae43c4924e1e7b,test,length_32_gap_16,qcluster_locked_test_0001,qbank_locked_test_034117c1d26d,18230 85613 31765 40894 116881 117438 6223 79738 58092 20119 69319 12390 109744 30966 17035 91249 95565 49032 111326 141182 112816 82370 26822 57341 41146 37233 97078 2471 140647 58674 58450 91249,95565,26822,58092,15,16,31,32,16
qseq_eb7107fcbc5cef6f,test,length_64_gap_8,qcluster_locked_test_0000,qbank_locked_test_034117c1d26d,78885 74230 125284 21285 53116 116311 81714 143013 114621 69323 117266 62721 39381 43192 2471 52079 86742 35997 18230 10883 51582 65472 62440 145804 17821 97354 29258 4882 43676 60305 77805 6701 64932 22506 91249 93683 43338 70438 37178 32256 78643 17035 55732 61309 5055 112349 137919 40310 64164 16699 141939 30990 83127 102655 108181 79738 11532 95845 52220 57051 105149 85613 37281 79738,11532,125284,70438,55,56,63,64,8
qseq_51c1a0606877cb48,test,length_64_gap_8,qcluster_locked_test_0001,qbank_locked_test_034117c1d26d,29708 59311 76738 44233 122169 125685 11847 64913 126799 35359 84414 42853 31034 59436 140647 95845 151037 146402 151493 64084 3923 7965 150228 136905 88456 97149 32963 69277 79551 100346 113360 66355 121137 139819 68278 145244 135572 103754 111326 31133 151317 71841 51582 128700 39127 93206 21821 58295 12080 55850 121879 146577 16699 91563 36345 67826 105923 144555 65472 91249 4882 52079 13187 67826,105923,140647,12080,55,56,63,64,8
qseq_c4733915132388c5,test,length_64_gap_16,qcluster_locked_test_0000,qbank_locked_test_034117c1d26d,139522 57051 57524 102655 106381 37178 150465 118858 31765 1551 97149 69277 65472 145487 552 76690 110395 30990 118835 42354 66113 64913 10080 98173 67826 3363 118724 62580 24846 50591 21970 79738 50148 17063 1560 140286 32963 37132 84414 40894 56836 53116 142923 25246 117679 151493 55153 52771 145676 138738 118004 75871 68556 135757 4705 109744 26471 40310 120710 136905 32256 46678 116881 52771,145676,67826,117679,47,48,63,64,16
qseq_e8abe73a359700e8,test,length_64_gap_16,qcluster_locked_test_0001,qbank_locked_test_034117c1d26d,129713 92155 121775 75539 35839 11393 95565 53116 111982 35997 50289 64915 69323 19197 55153 129991 117438 61309 80066 91873 26326 11015 52079 82370 10883 76759 150755 112816 44892 126539 79738 35475 95801 57768 94579 82069 144015 37178 147181 12689 118858 106381 61026 10038 84247 39061 12767 865 67826 50597 78621 47429 92966 85709 33804 79296 14913 109744 52493 60230 5156 30990 77805 865,67826,75539,91873,47,48,63,64,16
