layer,head,kv_group,attention_to_target,attention_to_distractors,attention_specificity,direct_logit_attribution,output_norm,n_prompts
0,0,0,0.018817901611328125,0.01276785135269165,0.0060500502586364746,0.00015813112258911133,0.049449089914560318,8
0,1,0,1.0803341865539551e-06,0.00021419674158096313,-0.00021311640739440918,-0.0051782131195068359,0.19122667610645294,8
0,2,0,0.021079063415527344,0.01342463493347168,0.0076544284820556641,-9.9763274192810059e-05,0.038796380162239075,8
0,3,0,0.028405189514160156,0.024844169616699219,0.0035610198974609375,0.00040512531995773315,0.039929866790771484,8
0,4,0,1.4044344425201416e-05,0.028341248631477356,-0.028327204287052155,0.00038735568523406982,0.04100775346159935,8
0,5,0,0,8.6501240730285645e-06,-8.6501240730285645e-06,0.00018446147441864014,0.033927988260984421,8
0,6,0,0.031972408294677734,0.013154029846191406,0.018818378448486328,0.00045469403266906738,0.051218986511230469,8
0,7,1,0.00016248226165771484,0.02972712367773056,-0.029564641416072845,4.8846006393432617e-05,0.024089843034744263,8
0,8,1,0.015069961547851562,0.020458459854125977,-0.0053884983062744141,0.00018033385276794434,0.035392001271247864,8
0,9,1,0.014896690845489502,0.015215694904327393,-0.00031900405883789062,-9.3631446361541748e-05,0.034918896853923798,8
0,10,1,0.019822597503662109,0.026053428649902344,-0.0062308311462402344,-3.83034348487854e-05,0.030760003253817558,8
0,11,1,0.011804342269897461,0.020808011293411255,-0.0090036690235137939,0.00018434226512908936,0.10563103854656219,8
0,12,1,0.015632033348083496,0.016651630401611328,-0.001019597053527832,-0.00014825165271759033,0.039200562983751297,8
0,13,1,0.011175870895385742,0.033584117889404297,-0.022408246994018555,-0.00046313554048538208,0.047909803688526154,8
1,0,0,0.0048000141978263855,0.032365433871746063,-0.027565419673919678,0.0043125152587890625,0.68682235479354858,8
1,1,0,0.022638320922851562,0.046372413635253906,-0.023734092712402344,0.0018721222877502441,0.3592035174369812,8
1,2,0,0.018947839736938477,0.030333757400512695,-0.011385917663574219,-0.0018320083618164062,0.39399325847625732,8
1,3,0,0.012619256973266602,0.020170688629150391,-0.0075514316558837891,-0.0020552501082420349,0.25354486703872681,8
1,4,0,0.022959470748901367,0.019858360290527344,0.0031011104583740234,-0.00058454275131225586,0.4088207483291626,8
1,5,0,0.016598701477050781,0.019029617309570312,-0.0024309158325195312,-0.004109501838684082,0.28859817981719971,8
1,6,0,0.013706326484680176,0.038489818572998047,-0.024783492088317871,0.0034193992614746094,0.38944333791732788,8
1,7,1,0.01868283748626709,0.021325826644897461,-0.0026429891586303711,-0.0037724971771240234,0.53653037548065186,8
1,8,1,0.0066431909799575806,0.025544933974742889,-0.018901742994785309,-0.0045573711395263672,0.55977213382720947,8
1,9,1,0.0056620240211486816,0.048098735511302948,-0.042436711490154266,-0.0067346096038818359,0.74121063947677612,8
1,10,1,0.027352333068847656,0.013133645057678223,0.014218688011169434,0.00047826766967773438,0.5438721776008606,8
1,11,1,0.014584064483642578,0.013433724641799927,0.0011503398418426514,-0.0070307254791259766,0.49428772926330566,8
1,12,1,0.01522374153137207,0.022693872451782227,-0.0074701309204101562,-0.003071904182434082,0.43300577998161316,8
1,13,1,0.018157243728637695,0.023553013801574707,-0.0053957700729370117,-0.0059334486722946167,0.51603269577026367,8
2,0,0,0.0053285881876945496,0.058156147599220276,-0.052827559411525726,-0.0049010291695594788,0.65935391187667847,8
2,1,0,0.019696712493896484,0.016938567161560059,0.0027581453323364258,0.00019359588623046875,0.65507310628890991,8
2,2,0,0.0016938596963882446,0.0037785172462463379,-0.0020846575498580933,-0.010527372360229492,0.97157281637191772,8
2,3,0,0.0033500641584396362,0.028676733374595642,-0.025326669216156006,-0.0016496181488037109,0.6538282036781311,8
2,4,0,0.012904226779937744,0.0046576261520385742,0.0082466006278991699,0.0074484348297119141,0.87162798643112183,8
2,5,0,0.020728111267089844,0.023971915245056152,-0.0032438039779663086,-0.0051023885607719421,0.66359508037567139,8
2,6,0,0.011734127998352051,0.02988220751285553,-0.018148079514503479,-0.0016026496887207031,0.52493840456008911,8
2,7,1,0.010308623313903809,0.019347772002220154,-0.0090391486883163452,0.0050710439682006836,0.49803134799003601,8
2,8,1,0.0016750171780586243,0.0044874623417854309,-0.0028124451637268066,-0.0081110000610351562,1.4339826107025146,8
2,9,1,0.0069743245840072632,0.011900298297405243,-0.0049259737133979797,0.00063890218734741211,1.094707727432251,8
2,10,1,0.019963979721069336,0.024730607867240906,-0.0047666281461715698,-0.0011804103851318359,0.40896525979042053,8
2,11,1,0.0065789371728897095,0.037733912467956543,-0.031154975295066833,0.0040167570114135742,0.61794847249984741,8
2,12,1,0.00088571012020111084,0.0098183602094650269,-0.008932650089263916,-0.018522679805755615,1.0776766538619995,8
2,13,1,0.015650510787963867,0.018835544586181641,-0.0031850337982177734,-0.0010200738906860352,0.58317065238952637,8
3,0,0,4.97475266456604e-05,0.00135783851146698,-0.0013080909848213196,0.0072908401489257812,1.2265572547912598,8
3,1,0,0.0062233805656433105,0.024593234062194824,-0.018369853496551514,-0.015794754028320312,1.1889389753341675,8
3,2,0,0.021235942840576172,0.0027231648564338684,0.018512777984142303,-0.0037399530410766602,0.69511091709136963,8
3,3,0,0.019232511520385742,0.015628814697265625,0.0036036968231201172,-0.0069761276245117188,1.1270990371704102,8
3,4,0,0.0040030479431152344,0.00064696371555328369,0.0033560842275619507,-0.00534820556640625,1.8284385204315186,8
3,5,0,2.384185791015625e-07,4.4405460357666016e-06,-4.2021274566650391e-06,0.00068902969360351562,0.19582091271877289,8
3,6,0,0.026226043701171875,0.010103166103363037,0.016122877597808838,-0.01189875602722168,0.86301952600479126,8
3,7,1,0.00018264353275299072,0.049154490232467651,-0.048971846699714661,0.0017603635787963867,0.51843893527984619,8
3,8,1,0.0051565766334533691,0.010012596845626831,-0.0048560202121734619,0.001020580530166626,0.3417184054851532,8
3,9,1,0.0043467879295349121,0.012928247451782227,-0.0085814595222473145,-0.0023730695247650146,0.24604657292366028,8
3,10,1,0.00059183686971664429,0.0041621848940849304,-0.0035703480243682861,0.005492866039276123,0.32911449670791626,8
3,11,1,0.00073458999395370483,0.003983914852142334,-0.0032493248581886292,-0.0065770149230957031,0.31613785028457642,8
3,12,1,0.0035105496644973755,0.0074114799499511719,-0.0039009302854537964,0.0025498718023300171,0.25172713398933411,8
3,13,1,0.0015247389674186707,0.020888522267341614,-0.019363783299922943,-0.0024349987506866455,0.21365435421466827,8
4,0,0,0.0025325268507003784,0.010272093117237091,-0.0077395662665367126,-0.00097298622131347656,0.91257143020629883,8
4,1,0,0.020578861236572266,0.0043519437313079834,0.016226917505264282,0.0023885965347290039,0.82405996322631836,8
4,2,0,0.0037703067064285278,0.0092736184597015381,-0.0055033117532730103,-0.015191376209259033,1.1717696189880371,8
4,3,0,0.019637107849121094,0.0083767175674438477,0.011260390281677246,-0.016662120819091797,1.1048910617828369,8
4,4,0,0.0051324367523193359,0.019876748323440552,-0.014744311571121216,-0.00073462724685668945,0.8088831901550293,8
4,5,0,0.00012435019016265869,0.012900665402412415,-0.012776315212249756,0.00782012939453125,0.73404169082641602,8
4,6,0,0.0007478669285774231,0.0091286376118659973,-0.0083807706832885742,0.0095397233963012695,0.80496770143508911,8
4,7,1,0.017254829406738281,0.013577938079833984,0.0036768913269042969,-0.0043216943740844727,0.63066971302032471,8
4,8,1,0.0060891509056091309,0.0091962814331054688,-0.0031071305274963379,0.00018060207366943359,0.29788577556610107,8
4,9,1,0.019189357757568359,0.020459175109863281,-0.0012698173522949219,-0.0063426494598388672,1.0011554956436157,8
4,10,1,0.016176700592041016,0.011734813451766968,0.0044418871402740479,-0.0046185851097106934,0.70480471849441528,8
4,11,1,0.021739006042480469,0.024699211120605469,-0.002960205078125,-0.0046744346618652344,0.71405059099197388,8
4,12,1,6.6779553890228271e-05,0.00057204067707061768,-0.0005052611231803894,-0.0017035007476806641,1.4213316440582275,8
4,13,1,0.019788265228271484,0.016875267028808594,0.0029129981994628906,5.7220458984375e-05,0.59784716367721558,8
5,0,0,0.1307823657989502,0.011010169982910156,0.11977219581604004,-0.0085086822509765625,1.7171866893768311,8
5,1,0,0.0024779513478279114,0.010428085923194885,-0.0079501345753669739,-0.0002371370792388916,0.54027247428894043,8
5,2,0,0.047412872314453125,0.0082457959651947021,0.039167076349258423,0.0026097297668457031,0.94054841995239258,8
5,3,0,0.0158843994140625,0.014262199401855469,0.0016222000122070312,-0.018246650695800781,1.3930082321166992,8
5,4,0,0.0068633556365966797,0.0043634325265884399,0.0024999231100082397,0.0054923295974731445,0.74089771509170532,8
5,5,0,0.016211032867431641,0.0063403844833374023,0.0098706483840942383,-0.0044918060302734375,0.58550971746444702,8
5,6,0,0.0050510168075561523,0.0052343010902404785,-0.00018328428268432617,-0.0092160701751708984,0.79499989748001099,8
5,7,1,0.021805524826049805,0.017806053161621094,0.0039994716644287109,0.0033245086669921875,0.65096467733383179,8
5,8,1,0.021493196487426758,0.029811859130859375,-0.0083186626434326172,0.0012003183364868164,0.66438865661621094,8
5,9,1,0.00042683631181716919,0.0009679943323135376,-0.00054115802049636841,-0.0036609470844268799,0.86439335346221924,8
5,10,1,0.0053583383560180664,0.0047228336334228516,0.00063550472259521484,0.011924028396606445,0.79914999008178711,8
