measurement_order,mask_id,mask_bits,n_heads,bank,pool_id
1,qmask_12ba3e375e85e5f9,00000000,0,calibration,
2,qmask_d3be04383e5daabc,10000000,1,calibration,
3,qmask_084f112a3f66a340,01000000,1,calibration,
4,qmask_305bdcf2f3fb7953,00100000,1,calibration,
5,qmask_bee7b633b7bd6ef7,00010000,1,calibration,
6,qmask_9301cb6d11128fab,00001000,1,calibration,
7,qmask_f1d52a8ab428b413,00000100,1,calibration,
8,qmask_63c802383bb0b7d1,00000010,1,calibration,
9,qmask_65a8cc93a7501058,00000001,1,calibration,
10,qmask_e87690dd6a8adfcf,11000000,2,calibration,
11,qmask_bf8c1434803ab072,10100000,2,calibration,
12,qmask_a95e52ff7755375c,10010000,2,calibration,
13,qmask_f104e74668251aef,10001000,2,calibration,
14,qmask_dbcbcb69e45ef1f2,10000100,2,calibration,
15,qmask_15ab76211490e5f2,10000010,2,calibration,
16,qmask_a1573183a15a2e70,10000001,2,calibration,
17,qmask_fcb115619f2c84ff,01100000,2,calibration,
18,qmask_e9ca713c8628e4cf,01010000,2,calibration,
19,qmask_fdd0119e69754782,01001000,2,calibration,
20,qmask_9fcd59148bb80ee0,01000100,2,calibration,
21,qmask_52587a401f8c4572,01000010,2,calibration,
22,qmask_5512dd1d0711aac7,01000001,2,calibration,
23,qmask_514c2877bf4be10c,00110000,2,calibration,
24,qmask_2a6601cfebfd729f,00101000,2,calibration,
25,qmask_80f540cffe1476e0,00100100,2,calibration,
26,qmask_e9ed53e1d966b6fb,00100010,2,calibration,
27,qmask_8ac8f15ccd161fe5,00100001,2,calibration,
28,qmask_a5a1d27ddb2c8227,00011000,2,calibration,
29,qmask_a9929e246d832442,00010100,2,calibration,
30,qmask_9851f27c8a1261cf,00010010,2,calibration,
31,qmask_32e8e84428256102,00010001,2,calibration,
32,qmask_83bdd2f6f8ba0b15,00001100,2,calibration,
33,qmask_687cf8e70b6a898b,00001010,2,calibration,
34,qmask_2b881f8c8b0aacb2,00001001,2,calibration,
35,qmask_1df648c9114d481c,00000110,2,calibration,
36,qmask_b223032f5f64c4c5,00000101,2,calibration,
37,qmask_32f1960c0b93558b,00000011,2,calibration,
38,qmask_77ba150e7fd84cd4,11111111,8,calibration,
39,qmask_c6d5462a4cdcb880,00110001,3,calibration,
40,qmask_537109997b74dffe,11111101,7,calibration,
41,qmask_87421d0b4454d335,10011001,4,calibration,
42,qmask_a515dba1ffca22f8,11000111,5,calibration,
43,qmask_768b1fdef9aea78a,01111101,6,calibration,
44,qmask_db632076d6432ff6,11101100,5,calibration,
45,qmask_d78f793f96d91b9c,01101011,5,calibration,
46,qmask_eb7f727b9d2992c3,11101000,4,calibration,
47,qmask_52846b088b2bf67d,10011101,5,calibration,
48,qmask_474a0e66e0b2c0f2,11000110,4,calibration,
49,qmask_cad19fe5613acd04,11101011,6,calibration,
50,qmask_5dc615d8705d787f,11101010,5,calibration,
51,qmask_7b9924334671dc3c,11110000,4,calibration,
52,qmask_14a3a5e1a8c9dba6,01011100,4,calibration,
53,qmask_6ccf560d1b847377,11100011,5,calibration,
54,qmask_24376d429f1c0f4c,01110010,4,calibration,
55,qmask_09af6c961b392378,01101000,3,calibration,
56,qmask_3deea5ac237d9af5,10000011,3,calibration,
57,qmask_113f59615913ad84,01000110,3,calibration,
58,qmask_6505ca549adbbfd8,01110011,5,calibration,
59,qmask_578313c81dc911fd,00110111,5,calibration,
60,qmask_0e650cebfad0817a,01110101,5,calibration,
61,qmask_28b4fb1062336401,01100011,4,calibration,
62,qmask_eddb086f36dd8040,01010101,4,calibration,
63,qmask_74de301990edf4eb,00010101,3,calibration,
64,qmask_6f66947abd3cecf3,00101011,4,calibration,
65,qmask_99bd8289d44a47ab,01001110,4,calibration,
66,qmask_373cb0186a2259c5,00001011,3,calibration,
67,qmask_59d1e7272cfe7e64,00100101,3,calibration,
68,qmask_a2b08d2c6effabb4,01011110,5,calibration,
69,qmask_e71d0de82cb01931,10010010,3,calibration,
70,qmask_6e51f231f688047a,01010010,3,calibration,
71,qmask_a2936295892ea72e,10111010,5,calibration,
72,qmask_98b5c234bdcb60a6,00111100,4,calibration,
73,qmask_b6763bc34afb5c5b,11001101,5,calibration,
74,qmask_9591cc3aef8b6919,10100011,4,calibration,
75,qmask_dbffe49b261d746e,11001110,5,calibration,
76,qmask_db24ac2b7a2f84be,01001111,5,calibration,
77,qmask_a7e071ad8118b157,01000011,3,calibration,
78,qmask_9580c9aee23bebef,01011111,6,calibration,
79,qmask_f5a72707a920dc77,10101010,4,calibration,
80,qmask_83cd46bbfdb2dadc,10011110,5,calibration,
81,qmask_85bae553f1393ee3,01101001,4,calibration,
82,qmask_bc97d60f409c5bcc,11100010,4,calibration,
83,qmask_9ea7582643f4efef,01110000,3,calibration,
84,qmask_a0f2dfd81710a947,11000101,4,calibration,
85,qmask_b8c5ae0317a9b762,10100001,3,calibration,
86,qmask_ffc7bf7b5cff42c0,10111011,6,calibration,
87,qmask_ab82286bfce0dce8,10011010,4,calibration,
88,qmask_38dbb939a155e20e,01011011,5,calibration,
89,qmask_d70df547db1f4ba0,01110111,6,calibration,
90,qmask_ed8af04e85b28058,11010010,4,calibration,
91,qmask_935a2d7ebb29af1f,01101100,4,calibration,
92,qmask_e533feea92d993a3,01101111,6,calibration,
93,qmask_beade84bac4d98cf,01010111,5,calibration,
94,qmask_8cc847c16cbf8458,00101101,4,calibration,
95,qmask_293bd7f513e5488c,00101001,3,calibration,
96,qmask_770d52bd09d41781,10100111,5,calibration,
97,qmask_ee2de6c0d52abb70,00001101,3,calibration,
98,qmask_9195abaaf16a5b16,01000101,3,calibration,
99,qmask_8e3d0e460649f034,10111101,6,calibration,
100,qmask_4873554a37bdf6dd,11111000,5,calibration,
101,qmask_bc5fb3d2d5ed3276,10101000,3,calibration,
102,qmask_e2d31aba6a9f8aa6,01011001,4,calibration,
103,qmask_a25c4863c1939b2d,01110110,5,calibration,
104,qmask_453ac6b5fdae7bc3,11100000,3,calibration,
105,qmask_b051c49bfab72409,11110011,6,calibration,
106,qmask_68a4c77200a9f082,00011101,4,calibration,
107,qmask_2bb71e015e60db8a,11101110,6,calibration,
108,qmask_aeefd9c22ef47246,11100001,4,calibration,
109,qmask_1aab41fff42ddb08,11000011,4,calibration,
110,qmask_9cde30e792f21be4,11011010,5,calibration,
111,qmask_bd340fbbf1a02c1e,10010001,3,calibration,
112,qmask_06d456004de1cb39,01110001,4,calibration,
113,qmask_79592aa76b30552e,11010100,4,calibration,
114,qmask_80c22435e31a5b8f,10001101,4,calibration,
115,qmask_a2fad41e50925520,11111110,7,calibration,
116,qmask_d27886ee3f587e5e,11010011,5,calibration,
117,qmask_e6c3147853331ffe,01011010,4,calibration,
118,qmask_ccd3d07c7049d77e,10100100,3,calibration,
119,qmask_25793ead7c71bb81,10001100,3,calibration,
120,qmask_31b0c0109c2305bd,10110010,4,calibration,
121,qmask_c57fd19b885fa91c,00000111,3,calibration,
122,qmask_553f777786a2ca07,10010111,5,calibration,
123,qmask_bee1b8b7a1bb7213,10000110,3,calibration,
124,qmask_98909862b8426e62,00101111,5,calibration,
125,qmask_ffe81ae2864a91d7,00100110,3,calibration,
126,qmask_1303c60b3695884f,11111011,7,calibration,
127,qmask_d7297cb8fc9edb4c,00111001,4,calibration,
128,qmask_983343405ce254dc,10011000,3,calibration,
