prompt_id,bank,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,key_positions,source_value_positions,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_40431e39f9572619,reference,length_32_gap_8,qcluster_reference_0000,qbank_reference_f50b4f7d3319,99092 111674 2123 36340 35340 140935 32041 15198 143591 12291 61078 36846 123329 29798 433 105950 66708 8087 138754 23309 67830 69408 147934 80904 36953 139503 42533 145889 113920 148356 17807 80904,36953,17807,105950,23 29 14,24 30 15,23,24,31,32,8
qseq_20b15eadf35b34cd,reference,length_32_gap_8,qcluster_reference_0001,qbank_reference_f50b4f7d3319,115506 77273 144790 38849 80904 142272 7162 114088 38546 6639 147308 50037 1873 68097 115489 96588 74793 120457 36110 109688 110553 149602 18440 75697 62917 105905 565 142408 50653 97945 116561 75697,62917,38546,115489,23 7 13,24 8 14,23,24,31,32,8
qseq_46e5aff43cde7749,reference,length_32_gap_8,qcluster_reference_0002,qbank_reference_f50b4f7d3319,34905 65739 108119 122178 81070 39044 66246 94682 141494 128172 65968 37803 123551 58364 30955 44617 9527 21350 42836 147865 15174 56718 107474 137034 52328 52621 99900 126151 79461 2339 80618 137034,52328,37803,65739,23 10 0,24 11 1,23,24,31,32,8
qseq_6e4b24b69b3960d3,reference,length_32_gap_8,qcluster_reference_0003,qbank_reference_f50b4f7d3319,100796 50639 96593 129327 145352 125824 36846 114028 105557 40321 20700 85666 106834 106783 97453 124795 125609 40906 84310 52621 136137 73798 38373 34592 71426 72703 44880 29381 99326 26144 38316 34592,71426,73798,38316,23 20 29,24 21 30,23,24,31,32,8
qseq_f5d18beeab20a104,reference,length_32_gap_8,qcluster_reference_0004,qbank_reference_f50b4f7d3319,128144 133695 142865 76228 8444 29152 76975 3137 98900 120149 16779 12308 23206 102722 74163 74053 57440 20917 23025 41319 91675 79491 86459 26955 35265 141589 48810 128116 64213 19733 115815 26955,35265,76228,98900,23 2 7,24 3 8,23,24,31,32,8
qseq_2231aaedfefc4ff4,reference,length_32_gap_8,qcluster_reference_0005,qbank_reference_f50b4f7d3319,114542 3158 105154 42222 48531 87192 9870 23303 68734 113733 136933 44591 66375 120255 145979 151463 90573 39879 144797 89968 5330 101547 67078 77273 99129 150359 92980 31677 26419 13072 38361 77273,99129,13072,5330,23 28 19,24 29 20,23,24,31,32,8
qseq_56e1417b2bf9417d,reference,length_32_gap_8,qcluster_reference_0006,qbank_reference_f50b4f7d3319,1957 109302 50037 107332 74706 15174 114782 17840 23800 37897 114466 36658 66246 60065 96238 94299 8716 114391 143885 77109 123320 64553 49607 82608 140186 57283 84388 76560 26816 129585 118911 82608,140186,64553,118911,23 20 29,24 21 30,23,24,31,32,8
qseq_b41da2973023f663,reference,length_32_gap_8,qcluster_reference_0007,qbank_reference_f50b4f7d3319,149997 28182 98889 123551 6379 76973 33923 49737 116350 142802 96833 55903 51369 12407 94329 45727 117104 117396 4204 54185 126557 43457 132409 6053 146854 19152 117557 35404 97677 51239 42891 6053,146854,116350,33923,23 7 5,24 8 6,23,24,31,32,8
qseq_be1d8a8e0b05fa11,reference,length_32_gap_8,qcluster_reference_0008,qbank_reference_f50b4f7d3319,12308 75502 12407 90621 97115 26835 116925 73567 15097 121012 33772 122800 48094 79461 67203 141938 12079 56084 34209 90824 94089 109423 116143 22691 32395 137582 89964 23536 67585 137220 29798 22691,32395,67585,33772,23 27 9,24 28 10,23,24,31,32,8
qseq_3f972fc85df0164d,reference,length_32_gap_8,qcluster_reference_0009,qbank_reference_f50b4f7d3319,29847 98616 55817 66954 107543 106737 33784 45914 74571 29654 138231 97293 82889 80336 7756 121226 116877 27072 17635 29238 35489 27582 134058 72451 104408 30985 72223 144790 63999 74706 136992 72451,104408,33784,138231,23 5 9,24 6 10,23,24,31,32,8
qseq_5ec84933bbe16ffc,reference,length_32_gap_8,qcluster_reference_0010,qbank_reference_f50b4f7d3319,134256 65937 92874 143122 13548 76789 64030 85272 137034 55467 118606 78363 142696 4890 78166 38425 37712 37897 150717 69046 59250 97774 39496 20687 23903 78319 135476 31728 53061 21493 129487 20687,23903,38425,78363,23 14 10,24 15 11,23,24,31,32,8
qseq_4bcf7cb0761e6055,reference,length_32_gap_8,qcluster_reference_0011,qbank_reference_f50b4f7d3319,29485 120149 46316 119506 114984 89205 149010 16533 4385 86688 89964 150014 61426 90267 65334 20162 44413 115290 13152 49536 59401 47266 57250 31523 54927 135201 39146 19652 107867 33700 111398 31523,54927,90267,4385,23 12 7,24 13 8,23,24,31,32,8
qseq_a34242e9ff3dbb41,reference,length_32_gap_8,qcluster_reference_0012,qbank_reference_f50b4f7d3319,54103 145352 88049 63070 39264 116767 4998 124771 9454 128144 106783 118298 58621 138754 26511 137088 37473 670 76243 112946 6626 47297 106398 33799 145877 4120 55093 21233 24779 107597 21622 33799,145877,63070,138754,23 2 12,24 3 13,23,24,31,32,8
qseq_f23d1eb3c5208235,reference,length_32_gap_8,qcluster_reference_0013,qbank_reference_f50b4f7d3319,56039 66959 104379 51271 23235 125824 44921 21618 55364 141148 118159 88325 146575 134212 136553 55966 120836 15407 116469 44617 128695 37897 150037 88311 49737 48264 26955 110370 87204 93103 6319 88311,49737,118159,93103,23 9 28,24 10 29,23,24,31,32,8
