prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_084f112a3f66a340,01000000,2.9462099075317383,1.9692361354827881,0.9769737720489502,True,True,False,False,7.4854855537414551,8.3811674118041992
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_084f112a3f66a340,01000000,10.119000434875488,9.6055908203125,0.51340961456298828,True,True,True,True,3.0899577140808105,3.3401539325714111
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_084f112a3f66a340,01000000,8.0842056274414062,7.200812816619873,0.8833928108215332,True,True,False,False,3.2517573833465576,3.8489181995391846
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_084f112a3f66a340,01000000,9.2612857818603516,9.0681095123291016,0.19317626953125,True,True,True,True,2.291015625,2.4215428829193115
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_084f112a3f66a340,01000000,4.9616751670837402,4.6350045204162598,0.32667064666748047,True,True,False,False,6.5294814109802246,6.7317643165588379
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_084f112a3f66a340,01000000,6.1143627166748047,5.4624471664428711,0.65191555023193359,True,True,False,False,7.3273100852966309,7.9778528213500977
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_084f112a3f66a340,01000000,4.2902603149414062,3.8765957355499268,0.41366457939147949,True,True,False,False,6.2452278137207031,6.6342430114746094
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_084f112a3f66a340,01000000,8.6505069732666016,7.4983100891113281,1.1521968841552734,True,True,False,False,3.6452600955963135,4.2257328033447266
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_084f112a3f66a340,01000000,6.9412646293640137,5.8961858749389648,1.0450787544250488,True,True,False,False,3.5339906215667725,4.306004524230957
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_084f112a3f66a340,01000000,3.787869930267334,3.8788731098175049,-0.091003179550170898,True,True,False,False,7.613731861114502,7.5905351638793945
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_084f112a3f66a340,01000000,5.6262378692626953,3.9711694717407227,1.6550683975219727,True,True,False,False,4.8362054824829102,6.1681118011474609
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_084f112a3f66a340,01000000,9.9936256408691406,9.4775161743164062,0.51610946655273438,True,True,True,True,2.6045970916748047,3.021526575088501
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_084f112a3f66a340,01000000,8.16876220703125,7.6374506950378418,0.5313115119934082,True,True,True,False,3.525468111038208,4.0775628089904785
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_084f112a3f66a340,01000000,4.9458680152893066,3.6567049026489258,1.2891631126403809,True,True,False,False,8.5723552703857422,9.8848495483398438
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_084f112a3f66a340,01000000,9.9009943008422852,9.3173313140869141,0.58366298675537109,True,True,True,True,3.0564634799957275,3.3409857749938965
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_084f112a3f66a340,01000000,6.3770685195922852,5.9979710578918457,0.37909746170043945,True,True,True,True,3.4400472640991211,3.8124809265136719
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_084f112a3f66a340,01000000,7.3019909858703613,6.7352700233459473,0.56672096252441406,True,True,True,False,3.4240412712097168,3.9412879943847656
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_084f112a3f66a340,01000000,8.6210861206054688,8.1452436447143555,0.47584247589111328,True,True,False,False,4.9573874473571777,5.2551665306091309
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_084f112a3f66a340,01000000,7.4291472434997559,6.8622775077819824,0.56686973571777344,True,True,False,False,5.5702128410339355,6.0560088157653809
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_084f112a3f66a340,01000000,10.321548461914062,9.9182596206665039,0.40328884124755859,True,True,True,True,3.0202357769012451,3.4672331809997559
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_084f112a3f66a340,01000000,6.5624961853027344,5.1239447593688965,1.4385514259338379,True,True,False,False,5.3217949867248535,6.9099855422973633
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_084f112a3f66a340,01000000,3.8572282791137695,2.5095155239105225,1.3477127552032471,True,True,False,False,7.5479822158813477,8.6013050079345703
qseq_ef057144bcaa8c78,length_32_gap_8,qcluster_calibration_0022,qmask_084f112a3f66a340,01000000,9.6949291229248047,8.720158576965332,0.97477054595947266,True,True,True,False,3.6895580291748047,4.3404111862182617
qseq_01f76172c615c93c,length_32_gap_8,qcluster_calibration_0023,qmask_084f112a3f66a340,01000000,1.6465693712234497,1.6950000524520874,-0.048430681228637695,True,True,False,False,8.7947292327880859,8.9164705276489258
qseq_6913410b187e9bcd,length_32_gap_8,qcluster_calibration_0024,qmask_084f112a3f66a340,01000000,4.9003410339355469,3.7476725578308105,1.1526684761047363,True,True,False,False,8.5771045684814453,9.4494647979736328
qseq_6f2468350cf2a4c7,length_32_gap_8,qcluster_calibration_0025,qmask_084f112a3f66a340,01000000,6.1921143531799316,6.1766524314880371,0.015461921691894531,True,True,False,False,3.342045783996582,3.4500572681427002
qseq_48fa6ccbcf85740a,length_32_gap_8,qcluster_calibration_0026,qmask_084f112a3f66a340,01000000,5.4933662414550781,5.1183247566223145,0.37504148483276367,True,True,True,False,4.3495516777038574,4.8938999176025391
qseq_0a3d2a206ed1ac2f,length_32_gap_8,qcluster_calibration_0027,qmask_084f112a3f66a340,01000000,10.2420654296875,9.38262939453125,0.85943603515625,True,True,True,True,2.1275115013122559,2.5463206768035889
qseq_4e6f3e53c5cffa8c,length_32_gap_8,qcluster_calibration_0028,qmask_084f112a3f66a340,01000000,6.0872611999511719,5.6854572296142578,0.40180397033691406,True,True,False,False,8.5176458358764648,8.9063472747802734
qseq_addd85868ee4c978,length_32_gap_8,qcluster_calibration_0029,qmask_084f112a3f66a340,01000000,3.0789308547973633,2.2491378784179688,0.82979297637939453,True,True,False,False,6.4572043418884277,7.4075918197631836
qseq_d488f6be0be8d667,length_32_gap_8,qcluster_calibration_0030,qmask_084f112a3f66a340,01000000,9.55535888671875,9.2060585021972656,0.34930038452148438,True,True,True,True,1.4513717889785767,1.6211544275283813
qseq_29bcc3b5e07adaa6,length_32_gap_8,qcluster_calibration_0031,qmask_084f112a3f66a340,01000000,7.5494265556335449,7.1903996467590332,0.35902690887451172,True,True,False,False,3.9754664897918701,4.2982182502746582
qseq_f92f57b1f8bac576,length_32_gap_8,qcluster_calibration_0032,qmask_084f112a3f66a340,01000000,3.842681884765625,3.2949161529541016,0.54776573181152344,True,True,False,False,6.3925557136535645,6.9744448661804199
qseq_caa06bf2219d5d30,length_32_gap_8,qcluster_calibration_0033,qmask_084f112a3f66a340,01000000,9.6303396224975586,8.8453865051269531,0.78495311737060547,True,True,True,True,2.9562137126922607,3.6083648204803467
qseq_14140e7a95fa2fb9,length_32_gap_8,qcluster_calibration_0034,qmask_084f112a3f66a340,01000000,3.9574613571166992,3.1079261302947998,0.84953522682189941,True,True,False,False,7.5561428070068359,8.1290817260742188
qseq_83326ff9f67b103f,length_32_gap_8,qcluster_calibration_0035,qmask_084f112a3f66a340,01000000,8.6613779067993164,8.5363264083862305,0.12505149841308594,True,True,True,True,2.3675370216369629,2.4755179882049561
qseq_9cae4833ac91d598,length_32_gap_8,qcluster_calibration_0036,qmask_084f112a3f66a340,01000000,7.7165179252624512,7.5653519630432129,0.15116596221923828,True,True,False,False,4.7106227874755859,4.7800731658935547
qseq_cfb9d767fb841745,length_32_gap_8,qcluster_calibration_0037,qmask_084f112a3f66a340,01000000,5.7846426963806152,5.4096074104309082,0.37503528594970703,True,True,False,False,4.2976059913635254,4.5345797538757324
qseq_9a641dc8e553cdc9,length_32_gap_8,qcluster_calibration_0038,qmask_084f112a3f66a340,01000000,7.6731810569763184,7.4779644012451172,0.19521665573120117,True,True,False,False,3.8886995315551758,4.1093001365661621
qseq_618c0004fec7a467,length_32_gap_8,qcluster_calibration_0039,qmask_084f112a3f66a340,01000000,4.5934381484985352,4.2913742065429688,0.30206394195556641,True,True,False,False,7.3684349060058594,7.6747865676879883
qseq_02dd020751347c55,length_32_gap_8,qcluster_calibration_0040,qmask_084f112a3f66a340,01000000,7.5618820190429688,7.0435519218444824,0.51833009719848633,True,True,False,False,5.5441646575927734,6.0283627510070801
qseq_c8384ab754451eef,length_32_gap_8,qcluster_calibration_0041,qmask_084f112a3f66a340,01000000,2.8867654800415039,2.3755664825439453,0.51119899749755859,True,True,False,False,6.4263396263122559,6.9837284088134766
qseq_ba05bbb94039b0ae,length_32_gap_8,qcluster_calibration_0042,qmask_084f112a3f66a340,01000000,6.9410629272460938,4.9505462646484375,1.9905166625976562,True,True,False,False,6.4121508598327637,8.120574951171875
qseq_4e8da5b186698007,length_32_gap_8,qcluster_calibration_0043,qmask_084f112a3f66a340,01000000,3.9103949069976807,3.4727473258972168,0.43764758110046387,True,True,False,False,5.7231903076171875,6.1595487594604492
qseq_e0e24ca7df1361da,length_32_gap_8,qcluster_calibration_0044,qmask_084f112a3f66a340,01000000,7.8520965576171875,7.4680871963500977,0.38400936126708984,True,True,True,True,3.5322964191436768,3.8641412258148193
