prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_293bd7f513e5488c,00101001,2.9462099075317383,3.4492857456207275,-0.50307583808898926,True,True,False,False,7.4854855537414551,7.0466761589050293
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_293bd7f513e5488c,00101001,10.119000434875488,9.8006401062011719,0.31836032867431641,True,True,True,True,3.0899577140808105,3.2493860721588135
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_293bd7f513e5488c,00101001,8.0842056274414062,8.332575798034668,-0.24837017059326172,True,True,False,False,3.2517573833465576,3.3815686702728271
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_293bd7f513e5488c,00101001,9.2612857818603516,8.9570322036743164,0.30425357818603516,True,True,True,True,2.291015625,2.4883239269256592
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_293bd7f513e5488c,00101001,4.9616751670837402,5.1150341033935547,-0.15335893630981445,True,True,False,False,6.5294814109802246,6.2695956230163574
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_293bd7f513e5488c,00101001,6.1143627166748047,6.5702528953552246,-0.45589017868041992,True,True,False,False,7.3273100852966309,7.0361433029174805
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_293bd7f513e5488c,00101001,4.2902603149414062,5.0127177238464355,-0.7224574089050293,True,True,False,False,6.2452278137207031,5.5742497444152832
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_293bd7f513e5488c,00101001,8.6505069732666016,8.6292533874511719,0.021253585815429688,True,True,False,False,3.6452600955963135,3.7591769695281982
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_293bd7f513e5488c,00101001,6.9412646293640137,7.001612663269043,-0.060348033905029297,True,True,False,False,3.5339906215667725,3.5611155033111572
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_293bd7f513e5488c,00101001,3.787869930267334,2.4808502197265625,1.3070197105407715,True,True,False,False,7.613731861114502,8.6911649703979492
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_293bd7f513e5488c,00101001,5.6262378692626953,3.6851775646209717,1.9410603046417236,True,True,False,False,4.8362054824829102,6.8629798889160156
