prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_32f1960c0b93558b,00000011,2.9462099075317383,2.5946307182312012,0.35157918930053711,True,True,False,False,7.4854855537414551,7.7847065925598145
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_32f1960c0b93558b,00000011,10.119000434875488,9.6879100799560547,0.43109035491943359,True,True,True,True,3.0899577140808105,3.4378964900970459
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_32f1960c0b93558b,00000011,8.0842056274414062,7.7850146293640137,0.29919099807739258,True,True,False,False,3.2517573833465576,3.4894115924835205
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_32f1960c0b93558b,00000011,9.2612857818603516,9.1806488037109375,0.080636978149414062,True,True,True,True,2.291015625,2.3269906044006348
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_32f1960c0b93558b,00000011,4.9616751670837402,4.8873324394226074,0.074342727661132812,True,True,False,False,6.5294814109802246,6.5662884712219238
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_32f1960c0b93558b,00000011,6.1143627166748047,5.8818874359130859,0.23247528076171875,True,True,False,False,7.3273100852966309,7.4529705047607422
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_32f1960c0b93558b,00000011,4.2902603149414062,4.3831939697265625,-0.09293365478515625,True,True,False,False,6.2452278137207031,6.2688331604003906
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_32f1960c0b93558b,00000011,8.6505069732666016,8.5711946487426758,0.079312324523925781,True,True,False,False,3.6452600955963135,3.7603275775909424
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_32f1960c0b93558b,00000011,6.9412646293640137,6.8801364898681641,0.061128139495849609,True,True,False,False,3.5339906215667725,3.5686044692993164
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_32f1960c0b93558b,00000011,3.787869930267334,3.706279993057251,0.081589937210083008,True,True,False,False,7.613731861114502,7.7000102996826172
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_32f1960c0b93558b,00000011,5.6262378692626953,5.2197771072387695,0.40646076202392578,True,True,False,False,4.8362054824829102,5.1279964447021484
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_32f1960c0b93558b,00000011,9.9936256408691406,9.9253520965576172,0.068273544311523438,True,True,True,True,2.6045970916748047,2.6855030059814453
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_32f1960c0b93558b,00000011,8.16876220703125,8.1921138763427734,-0.023351669311523438,True,True,True,False,3.525468111038208,3.5847902297973633
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_32f1960c0b93558b,00000011,4.9458680152893066,4.413576602935791,0.53229141235351562,True,True,False,False,8.5723552703857422,9.0466499328613281
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_32f1960c0b93558b,00000011,9.9009943008422852,9.9703388214111328,-0.069344520568847656,True,True,True,True,3.0564634799957275,3.0373249053955078
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_32f1960c0b93558b,00000011,6.3770685195922852,6.3094134330749512,0.067655086517333984,True,True,True,True,3.4400472640991211,3.568770170211792
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_32f1960c0b93558b,00000011,7.3019909858703613,7.2109246253967285,0.091066360473632812,True,True,True,True,3.4240412712097168,3.4493846893310547
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_32f1960c0b93558b,00000011,8.6210861206054688,8.5155029296875,0.10558319091796875,True,True,False,False,4.9573874473571777,5.0007820129394531
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_32f1960c0b93558b,00000011,7.4291472434997559,7.3676795959472656,0.061467647552490234,True,True,False,False,5.5702128410339355,5.6944923400878906
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_32f1960c0b93558b,00000011,10.321548461914062,10.295637130737305,0.025911331176757812,True,True,True,True,3.0202357769012451,3.0152900218963623
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_32f1960c0b93558b,00000011,6.5624961853027344,6.1454310417175293,0.41706514358520508,True,True,False,False,5.3217949867248535,5.7314205169677734
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_32f1960c0b93558b,00000011,3.8572282791137695,3.4013853073120117,0.45584297180175781,True,True,False,False,7.5479822158813477,7.8328385353088379
qseq_ef057144bcaa8c78,length_32_gap_8,qcluster_calibration_0022,qmask_32f1960c0b93558b,00000011,9.6949291229248047,9.4060935974121094,0.28883552551269531,True,True,True,True,3.6895580291748047,3.8522651195526123
qseq_01f76172c615c93c,length_32_gap_8,qcluster_calibration_0023,qmask_32f1960c0b93558b,00000011,1.6465693712234497,1.7230240106582642,-0.076454639434814453,True,True,False,False,8.7947292327880859,8.7839536666870117
qseq_6913410b187e9bcd,length_32_gap_8,qcluster_calibration_0024,qmask_32f1960c0b93558b,00000011,4.9003410339355469,4.7662978172302246,0.13404321670532227,True,True,False,False,8.5771045684814453,8.6996593475341797
qseq_6f2468350cf2a4c7,length_32_gap_8,qcluster_calibration_0025,qmask_32f1960c0b93558b,00000011,6.1921143531799316,6.1140213012695312,0.078093051910400391,True,True,False,False,3.342045783996582,3.4098360538482666
qseq_48fa6ccbcf85740a,length_32_gap_8,qcluster_calibration_0026,qmask_32f1960c0b93558b,00000011,5.4933662414550781,5.476494312286377,0.016871929168701172,True,True,True,True,4.3495516777038574,4.385101318359375
qseq_0a3d2a206ed1ac2f,length_32_gap_8,qcluster_calibration_0027,qmask_32f1960c0b93558b,00000011,10.2420654296875,9.8212738037109375,0.4207916259765625,True,True,True,True,2.1275115013122559,2.4233329296112061
qseq_4e6f3e53c5cffa8c,length_32_gap_8,qcluster_calibration_0028,qmask_32f1960c0b93558b,00000011,6.0872611999511719,6.1765232086181641,-0.089262008666992188,True,True,False,False,8.5176458358764648,8.4088897705078125
qseq_addd85868ee4c978,length_32_gap_8,qcluster_calibration_0029,qmask_32f1960c0b93558b,00000011,3.0789308547973633,3.0942442417144775,-0.015313386917114258,True,True,False,False,6.4572043418884277,6.4901080131530762
qseq_d488f6be0be8d667,length_32_gap_8,qcluster_calibration_0030,qmask_32f1960c0b93558b,00000011,9.55535888671875,9.53973388671875,0.015625,True,True,True,True,1.4513717889785767,1.4430793523788452
qseq_29bcc3b5e07adaa6,length_32_gap_8,qcluster_calibration_0031,qmask_32f1960c0b93558b,00000011,7.5494265556335449,7.5287766456604004,0.020649909973144531,True,True,False,False,3.9754664897918701,4.1129755973815918
qseq_f92f57b1f8bac576,length_32_gap_8,qcluster_calibration_0032,qmask_32f1960c0b93558b,00000011,3.842681884765625,3.8415505886077881,0.0011312961578369141,True,True,False,False,6.3925557136535645,6.3885135650634766
qseq_caa06bf2219d5d30,length_32_gap_8,qcluster_calibration_0033,qmask_32f1960c0b93558b,00000011,9.6303396224975586,9.4543466567993164,0.17599296569824219,True,True,True,True,2.9562137126922607,3.0911722183227539
qseq_14140e7a95fa2fb9,length_32_gap_8,qcluster_calibration_0034,qmask_32f1960c0b93558b,00000011,3.9574613571166992,3.9139397144317627,0.043521642684936523,True,True,False,False,7.5561428070068359,7.6319727897644043
qseq_83326ff9f67b103f,length_32_gap_8,qcluster_calibration_0035,qmask_32f1960c0b93558b,00000011,8.6613779067993164,8.528569221496582,0.13280868530273438,True,True,True,True,2.3675370216369629,2.4726464748382568
qseq_9cae4833ac91d598,length_32_gap_8,qcluster_calibration_0036,qmask_32f1960c0b93558b,00000011,7.7165179252624512,7.2394962310791016,0.47702169418334961,True,True,False,False,4.7106227874755859,5.1224126815795898
qseq_cfb9d767fb841745,length_32_gap_8,qcluster_calibration_0037,qmask_32f1960c0b93558b,00000011,5.7846426963806152,5.8314824104309082,-0.046839714050292969,True,True,False,False,4.2976059913635254,4.3393397331237793
qseq_9a641dc8e553cdc9,length_32_gap_8,qcluster_calibration_0038,qmask_32f1960c0b93558b,00000011,7.6731810569763184,7.3683028221130371,0.30487823486328125,True,True,False,False,3.8886995315551758,4.1292834281921387
qseq_618c0004fec7a467,length_32_gap_8,qcluster_calibration_0039,qmask_32f1960c0b93558b,00000011,4.5934381484985352,4.5502023696899414,0.04323577880859375,True,True,False,False,7.3684349060058594,7.4323463439941406
qseq_02dd020751347c55,length_32_gap_8,qcluster_calibration_0040,qmask_32f1960c0b93558b,00000011,7.5618820190429688,7.4782848358154297,0.083597183227539062,True,True,False,False,5.5441646575927734,5.7140750885009766
qseq_c8384ab754451eef,length_32_gap_8,qcluster_calibration_0041,qmask_32f1960c0b93558b,00000011,2.8867654800415039,3.1029431819915771,-0.21617770195007324,True,True,False,False,6.4263396263122559,6.1936435699462891
qseq_ba05bbb94039b0ae,length_32_gap_8,qcluster_calibration_0042,qmask_32f1960c0b93558b,00000011,6.9410629272460938,6.3274097442626953,0.61365318298339844,True,True,False,False,6.4121508598327637,6.8106751441955566
qseq_4e8da5b186698007,length_32_gap_8,qcluster_calibration_0043,qmask_32f1960c0b93558b,00000011,3.9103949069976807,4.0899477005004883,-0.17955279350280762,True,True,False,False,5.7231903076171875,5.6658139228820801
qseq_e0e24ca7df1361da,length_32_gap_8,qcluster_calibration_0044,qmask_32f1960c0b93558b,00000011,7.8520965576171875,7.8328180313110352,0.019278526306152344,True,True,True,True,3.5322964191436768,3.5409221649169922
qseq_78b8701a8c418992,length_32_gap_8,qcluster_calibration_0045,qmask_32f1960c0b93558b,00000011,12.092935562133789,12.043673515319824,0.049262046813964844,True,True,True,True,1.8507922887802124,1.852939248085022
qseq_9a84a9d452ad6692,length_32_gap_8,qcluster_calibration_0046,qmask_32f1960c0b93558b,00000011,12.39979076385498,12.26697826385498,0.1328125,True,True,True,True,1.4711474180221558,1.5869286060333252
qseq_37ed28aef12e4075,length_32_gap_8,qcluster_calibration_0047,qmask_32f1960c0b93558b,00000011,7.7470502853393555,7.5798678398132324,0.16718244552612305,True,True,False,False,5.7399635314941406,5.9378290176391602
qseq_4811292cd5272ac8,length_32_gap_8,qcluster_calibration_0048,qmask_32f1960c0b93558b,00000011,12.631054878234863,12.674843788146973,-0.043788909912109375,True,True,True,True,0.72314256429672241,0.70474159717559814
qseq_98e081c19e55b9c2,length_32_gap_8,qcluster_calibration_0049,qmask_32f1960c0b93558b,00000011,12.682595252990723,12.26518726348877,0.41740798950195312,True,True,True,True,0.98284471035003662,1.1395316123962402
qseq_77a729a7d6333b5f,length_32_gap_8,qcluster_calibration_0050,qmask_32f1960c0b93558b,00000011,9.8840513229370117,9.9317340850830078,-0.047682762145996094,True,True,True,True,2.4649307727813721,2.4540648460388184
qseq_f1ed764d9e898c1c,length_32_gap_8,qcluster_calibration_0051,qmask_32f1960c0b93558b,00000011,7.9027271270751953,7.8634963035583496,0.039230823516845703,True,True,False,False,3.6086373329162598,3.6456828117370605
qseq_496b941feed234e5,length_32_gap_8,qcluster_calibration_0052,qmask_32f1960c0b93558b,00000011,10.570975303649902,10.379647254943848,0.19132804870605469,True,True,True,True,1.9457254409790039,2.027346134185791
qseq_226ec06b22020410,length_32_gap_8,qcluster_calibration_0053,qmask_32f1960c0b93558b,00000011,4.0046439170837402,3.2925474643707275,0.7120964527130127,True,True,False,False,5.9298787117004395,6.4202632904052734
qseq_433ffda24ef20d0d,length_32_gap_8,qcluster_calibration_0054,qmask_32f1960c0b93558b,00000011,11.523992538452148,11.443933486938477,0.080059051513671875,True,True,True,True,1.9860935211181641,2.1020548343658447
qseq_523dae664b4c02de,length_32_gap_8,qcluster_calibration_0055,qmask_32f1960c0b93558b,00000011,7.298861026763916,7.4004878997802734,-0.10162687301635742,True,True,False,False,5.2400894165039062,5.132561206817627
qseq_5729a944eb6aec71,length_32_gap_8,qcluster_calibration_0056,qmask_32f1960c0b93558b,00000011,5.9918761253356934,5.8593173027038574,0.13255882263183594,True,True,False,False,6.1922821998596191,6.394505500793457
qseq_769e2a1fc1ef4d7b,length_32_gap_8,qcluster_calibration_0057,qmask_32f1960c0b93558b,00000011,5.8826560974121094,5.7080106735229492,0.17464542388916016,True,True,False,False,4.2826414108276367,4.4696264266967773
qseq_8e34020e948679cd,length_32_gap_8,qcluster_calibration_0058,qmask_32f1960c0b93558b,00000011,12.325122833251953,12.38927173614502,-0.064148902893066406,True,True,True,True,0.57106560468673706,0.52805888652801514
qseq_4dd4a4938a07566b,length_32_gap_8,qcluster_calibration_0059,qmask_32f1960c0b93558b,00000011,8.2067251205444336,8.2754125595092773,-0.06868743896484375,True,True,False,False,5.3227534294128418,5.212407112121582
qseq_e3083089db559adf,length_32_gap_8,qcluster_calibration_0060,qmask_32f1960c0b93558b,00000011,4.1828722953796387,4.15289306640625,0.029979228973388672,True,True,False,False,8.0441598892211914,8.0959596633911133
qseq_848e9ef4c7e3ec69,length_32_gap_8,qcluster_calibration_0061,qmask_32f1960c0b93558b,00000011,3.010735034942627,2.7341265678405762,0.27660846710205078,True,True,False,False,8.75469970703125,9.0004539489746094
qseq_c6a305d74eb4ea8c,length_32_gap_8,qcluster_calibration_0062,qmask_32f1960c0b93558b,00000011,12.760897636413574,12.712802886962891,0.048094749450683594,True,True,True,True,2.5183990001678467,2.5442936420440674
qseq_047ab7fab5d21e65,length_32_gap_8,qcluster_calibration_0063,qmask_32f1960c0b93558b,00000011,9.3766708374023438,9.1071319580078125,0.26953887939453125,True,True,True,True,1.6373200416564941,1.8537851572036743
