prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_3deea5ac237d9af5,10000011,2.9462099075317383,1.4724991321563721,1.4737107753753662,True,True,False,False,7.4854855537414551,8.7880992889404297
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_3deea5ac237d9af5,10000011,10.119000434875488,9.0010452270507812,1.117955207824707,True,True,True,True,3.0899577140808105,3.9220702648162842
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_3deea5ac237d9af5,10000011,8.0842056274414062,6.8376884460449219,1.2465171813964844,True,True,False,False,3.2517573833465576,4.1291069984436035
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_3deea5ac237d9af5,10000011,9.2612857818603516,8.0364255905151367,1.2248601913452148,True,True,True,True,2.291015625,3.0971145629882812
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_3deea5ac237d9af5,10000011,4.9616751670837402,4.2451939582824707,0.71648120880126953,True,True,False,False,6.5294814109802246,7.1691179275512695
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_3deea5ac237d9af5,10000011,6.1143627166748047,5.2451686859130859,0.86919403076171875,True,True,False,False,7.3273100852966309,8.1340265274047852
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_3deea5ac237d9af5,10000011,4.2902603149414062,4.0234203338623047,0.26683998107910156,True,True,False,False,6.2452278137207031,6.6175680160522461
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_3deea5ac237d9af5,10000011,8.6505069732666016,7.6713166236877441,0.97919034957885742,True,True,False,False,3.6452600955963135,4.1936855316162109
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_3deea5ac237d9af5,10000011,6.9412646293640137,6.1945896148681641,0.74667501449584961,True,True,False,False,3.5339906215667725,3.9766607284545898
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_3deea5ac237d9af5,10000011,3.787869930267334,2.4258790016174316,1.3619909286499023,True,True,False,False,7.613731861114502,8.9773197174072266
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_3deea5ac237d9af5,10000011,5.6262378692626953,4.5330653190612793,1.093172550201416,True,True,False,False,4.8362054824829102,5.6621084213256836
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_3deea5ac237d9af5,10000011,9.9936256408691406,9.6601686477661133,0.33345699310302734,True,True,True,True,2.6045970916748047,2.9159736633300781
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_3deea5ac237d9af5,10000011,8.16876220703125,7.5670480728149414,0.60171413421630859,True,True,True,False,3.525468111038208,4.2203512191772461
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_3deea5ac237d9af5,10000011,4.9458680152893066,3.3363924026489258,1.6094756126403809,True,True,False,False,8.5723552703857422,10.054583549499512
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_3deea5ac237d9af5,10000011,9.9009943008422852,9.4765148162841797,0.42447948455810547,True,True,True,True,3.0564634799957275,3.2181069850921631
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_3deea5ac237d9af5,10000011,6.3770685195922852,5.8011789321899414,0.57588958740234375,True,True,True,True,3.4400472640991211,4.1650538444519043
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_3deea5ac237d9af5,10000011,7.3019909858703613,6.3907356262207031,0.9112553596496582,True,True,True,False,3.4240412712097168,4.1577205657958984
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_3deea5ac237d9af5,10000011,8.6210861206054688,7.5973315238952637,1.0237545967102051,True,True,False,False,4.9573874473571777,5.8458962440490723
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_3deea5ac237d9af5,10000011,7.4291472434997559,6.8591737747192383,0.56997346878051758,True,True,False,False,5.5702128410339355,6.1732883453369141
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_3deea5ac237d9af5,10000011,10.321548461914062,9.9821548461914062,0.33939361572265625,True,True,True,True,3.0202357769012451,3.3564839363098145
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_3deea5ac237d9af5,10000011,6.5624961853027344,4.2609739303588867,2.3015222549438477,True,True,False,False,5.3217949867248535,7.9566831588745117
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_3deea5ac237d9af5,10000011,3.8572282791137695,1.8862457275390625,1.970982551574707,True,True,False,False,7.5479822158813477,8.8765792846679688
qseq_ef057144bcaa8c78,length_32_gap_8,qcluster_calibration_0022,qmask_3deea5ac237d9af5,10000011,9.6949291229248047,8.6644735336303711,1.0304555892944336,True,True,True,False,3.6895580291748047,4.384702205657959
qseq_01f76172c615c93c,length_32_gap_8,qcluster_calibration_0023,qmask_3deea5ac237d9af5,10000011,1.6465693712234497,1.3363825082778931,0.31018686294555664,True,True,False,False,8.7947292327880859,9.1127834320068359
qseq_6913410b187e9bcd,length_32_gap_8,qcluster_calibration_0024,qmask_3deea5ac237d9af5,10000011,4.9003410339355469,3.4123828411102295,1.4879581928253174,True,True,False,False,8.5771045684814453,9.6405239105224609
qseq_6f2468350cf2a4c7,length_32_gap_8,qcluster_calibration_0025,qmask_3deea5ac237d9af5,10000011,6.1921143531799316,5.9891524314880371,0.20296192169189453,True,True,False,False,3.342045783996582,3.4994773864746094
qseq_48fa6ccbcf85740a,length_32_gap_8,qcluster_calibration_0026,qmask_3deea5ac237d9af5,10000011,5.4933662414550781,4.6429495811462402,0.85041666030883789,True,True,True,False,4.3495516777038574,5.2726387977600098
qseq_0a3d2a206ed1ac2f,length_32_gap_8,qcluster_calibration_0027,qmask_3deea5ac237d9af5,10000011,10.2420654296875,9.3870038986206055,0.85506153106689453,True,True,True,True,2.1275115013122559,2.5077548027038574
