prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_514c2877bf4be10c,00110000,2.9462099075317383,3.6321115493774414,-0.68590164184570312,True,True,False,False,7.4854855537414551,6.9141011238098145
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_514c2877bf4be10c,00110000,10.119000434875488,9.7902927398681641,0.32870769500732422,True,True,True,True,3.0899577140808105,3.260200023651123
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_514c2877bf4be10c,00110000,8.0842056274414062,8.2832880020141602,-0.19908237457275391,True,True,False,False,3.2517573833465576,3.3665564060211182
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_514c2877bf4be10c,00110000,9.2612857818603516,8.8885936737060547,0.37269210815429688,True,True,True,True,2.291015625,2.5390937328338623
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_514c2877bf4be10c,00110000,4.9616751670837402,4.9907464981079102,-0.029071331024169922,True,True,False,False,6.5294814109802246,6.4374227523803711
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_514c2877bf4be10c,00110000,6.1143627166748047,6.4045224189758301,-0.29015970230102539,True,True,False,False,7.3273100852966309,7.2280087471008301
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_514c2877bf4be10c,00110000,4.2902603149414062,4.508296012878418,-0.21803569793701172,True,True,False,False,6.2452278137207031,6.0346059799194336
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_514c2877bf4be10c,00110000,8.6505069732666016,8.8366756439208984,-0.18616867065429688,True,True,False,False,3.6452600955963135,3.7125983238220215
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_514c2877bf4be10c,00110000,6.9412646293640137,6.8588614463806152,0.082403182983398438,True,True,False,False,3.5339906215667725,3.7118854522705078
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_514c2877bf4be10c,00110000,3.787869930267334,2.522918701171875,1.264951229095459,True,True,False,False,7.613731861114502,8.7214794158935547
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_514c2877bf4be10c,00110000,5.6262378692626953,4.2796382904052734,1.3465995788574219,True,True,False,False,4.8362054824829102,6.3176865577697754
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_514c2877bf4be10c,00110000,9.9936256408691406,9.6659221649169922,0.32770347595214844,True,True,True,True,2.6045970916748047,2.7463164329528809
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_514c2877bf4be10c,00110000,8.16876220703125,8.3245811462402344,-0.15581893920898438,True,True,True,False,3.525468111038208,3.5424723625183105
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_514c2877bf4be10c,00110000,4.9458680152893066,4.3956127166748047,0.55025529861450195,True,True,False,False,8.5723552703857422,8.9223289489746094
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_514c2877bf4be10c,00110000,9.9009943008422852,9.0859165191650391,0.81507778167724609,True,True,True,True,3.0564634799957275,3.4402852058410645
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_514c2877bf4be10c,00110000,6.3770685195922852,6.2095870971679688,0.16748142242431641,True,True,True,True,3.4400472640991211,3.5955510139465332
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_514c2877bf4be10c,00110000,7.3019909858703613,6.7648983001708984,0.53709268569946289,True,True,True,True,3.4240412712097168,3.7382404804229736
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_514c2877bf4be10c,00110000,8.6210861206054688,8.1707763671875,0.45030975341796875,True,True,False,False,4.9573874473571777,5.0608987808227539
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_514c2877bf4be10c,00110000,7.4291472434997559,7.5235047340393066,-0.094357490539550781,True,True,False,False,5.5702128410339355,5.5755524635314941
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_514c2877bf4be10c,00110000,10.321548461914062,9.9119386672973633,0.40960979461669922,True,True,True,True,3.0202357769012451,3.2817773818969727
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_514c2877bf4be10c,00110000,6.5624961853027344,6.6873612403869629,-0.12486505508422852,True,True,False,False,5.3217949867248535,5.2617669105529785
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_514c2877bf4be10c,00110000,3.8572282791137695,3.179656982421875,0.67757129669189453,True,True,False,False,7.5479822158813477,8.1981754302978516
qseq_ef057144bcaa8c78,length_32_gap_8,qcluster_calibration_0022,qmask_514c2877bf4be10c,00110000,9.6949291229248047,9.8355541229248047,-0.140625,True,True,True,True,3.6895580291748047,3.5297017097473145
qseq_01f76172c615c93c,length_32_gap_8,qcluster_calibration_0023,qmask_514c2877bf4be10c,00110000,1.6465693712234497,1.8439674377441406,-0.19739806652069092,True,True,False,False,8.7947292327880859,8.6272296905517578
