prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_80f540cffe1476e0,00100100,2.9462099075317383,2.9686386585235596,-0.022428750991821289,True,True,False,False,7.4854855537414551,7.4429459571838379
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_80f540cffe1476e0,00100100,10.119000434875488,9.8452234268188477,0.27377700805664062,True,True,True,True,3.0899577140808105,3.1923198699951172
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_80f540cffe1476e0,00100100,8.0842056274414062,8.0433263778686523,0.040879249572753906,True,True,False,False,3.2517573833465576,3.531470775604248
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_80f540cffe1476e0,00100100,9.2612857818603516,8.9036455154418945,0.35764026641845703,True,True,True,True,2.291015625,2.4876713752746582
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_80f540cffe1476e0,00100100,4.9616751670837402,4.775904655456543,0.18577051162719727,True,True,False,False,6.5294814109802246,6.6858344078063965
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_80f540cffe1476e0,00100100,6.1143627166748047,6.3338522911071777,-0.21948957443237305,True,True,False,False,7.3273100852966309,7.3358988761901855
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_80f540cffe1476e0,00100100,4.2902603149414062,4.4189157485961914,-0.12865543365478516,True,True,False,False,6.2452278137207031,6.215245246887207
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_80f540cffe1476e0,00100100,8.6505069732666016,8.6359386444091797,0.014568328857421875,True,True,False,False,3.6452600955963135,3.8417987823486328
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_80f540cffe1476e0,00100100,6.9412646293640137,6.826746940612793,0.1145176887512207,True,True,False,False,3.5339906215667725,3.7856643199920654
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_80f540cffe1476e0,00100100,3.787869930267334,2.4349901676177979,1.3528797626495361,True,True,False,False,7.613731861114502,8.7825527191162109
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_80f540cffe1476e0,00100100,5.6262378692626953,4.983306884765625,0.64293098449707031,True,True,False,False,4.8362054824829102,5.8097271919250488
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_80f540cffe1476e0,00100100,9.9936256408691406,9.7597637176513672,0.23386192321777344,True,True,True,True,2.6045970916748047,2.6923327445983887
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_80f540cffe1476e0,00100100,8.16876220703125,8.1136322021484375,0.0551300048828125,True,True,True,False,3.525468111038208,3.7053372859954834
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_80f540cffe1476e0,00100100,4.9458680152893066,4.6530418395996094,0.29282617568969727,True,True,False,False,8.5723552703857422,8.6950721740722656
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_80f540cffe1476e0,00100100,9.9009943008422852,9.1210908889770508,0.77990341186523438,True,True,True,True,3.0564634799957275,3.3636302947998047
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_80f540cffe1476e0,00100100,6.3770685195922852,6.2379379272460938,0.13913059234619141,True,True,True,True,3.4400472640991211,3.552370548248291
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_80f540cffe1476e0,00100100,7.3019909858703613,6.7899632453918457,0.51202774047851562,True,True,True,True,3.4240412712097168,3.7235379219055176
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_80f540cffe1476e0,00100100,8.6210861206054688,8.2264404296875,0.39464569091796875,True,True,False,False,4.9573874473571777,5.0300192832946777
