prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_9195abaaf16a5b16,01000101,2.9462099075317383,1.8288087844848633,1.117401123046875,True,True,False,False,7.4854855537414551,8.4636201858520508
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_9195abaaf16a5b16,01000101,10.119000434875488,9.4637079238891602,0.65529251098632812,True,True,True,True,3.0899577140808105,3.3365185260772705
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_9195abaaf16a5b16,01000101,8.0842056274414062,6.9715347290039062,1.1126708984375,True,True,False,False,3.2517573833465576,3.9795889854431152
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_9195abaaf16a5b16,01000101,9.2612857818603516,8.8646621704101562,0.39662361145019531,True,True,True,True,2.291015625,2.5539989471435547
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_9195abaaf16a5b16,01000101,4.9616751670837402,4.4782905578613281,0.48338460922241211,True,True,False,False,6.5294814109802246,6.9244375228881836
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_9195abaaf16a5b16,01000101,6.1143627166748047,5.3079500198364258,0.80641269683837891,True,True,False,False,7.3273100852966309,8.073028564453125
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_9195abaaf16a5b16,01000101,4.2902603149414062,3.9430382251739502,0.34722208976745605,True,True,False,False,6.2452278137207031,6.7209773063659668
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_9195abaaf16a5b16,01000101,8.6505069732666016,7.2122812271118164,1.4382257461547852,True,True,False,False,3.6452600955963135,4.3749895095825195
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_9195abaaf16a5b16,01000101,6.9412646293640137,5.7259540557861328,1.2153105735778809,True,True,False,False,3.5339906215667725,4.3348798751831055
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_9195abaaf16a5b16,01000101,3.787869930267334,3.7659027576446533,0.021967172622680664,True,True,False,False,7.613731861114502,7.6613693237304688
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_9195abaaf16a5b16,01000101,5.6262378692626953,3.4708528518676758,2.1553850173950195,True,True,False,False,4.8362054824829102,6.5394539833068848
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_9195abaaf16a5b16,01000101,9.9936256408691406,9.1689605712890625,0.82466506958007812,True,True,True,True,2.6045970916748047,3.2711057662963867
