prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_9301cb6d11128fab,00001000,2.9462099075317383,3.5809326171875,-0.63472270965576172,True,True,False,False,7.4854855537414551,6.8926944732666016
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_9301cb6d11128fab,00001000,10.119000434875488,9.981175422668457,0.13782501220703125,True,True,True,True,3.0899577140808105,3.0423300266265869
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_9301cb6d11128fab,00001000,8.0842056274414062,8.2386388778686523,-0.15443325042724609,True,True,False,False,3.2517573833465576,3.1238329410552979
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_9301cb6d11128fab,00001000,9.2612857818603516,9.1813392639160156,0.079946517944335938,True,True,True,True,2.291015625,2.327317476272583
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_9301cb6d11128fab,00001000,4.9616751670837402,5.1914091110229492,-0.22973394393920898,True,True,False,False,6.5294814109802246,6.2407388687133789
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_9301cb6d11128fab,00001000,6.1143627166748047,6.3410506248474121,-0.22668790817260742,True,True,False,False,7.3273100852966309,7.0825061798095703
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_9301cb6d11128fab,00001000,4.2902603149414062,4.8765053749084473,-0.58624505996704102,True,True,False,False,6.2452278137207031,5.5733833312988281
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_9301cb6d11128fab,00001000,8.6505069732666016,8.6382999420166016,0.01220703125,True,True,False,False,3.6452600955963135,3.5223367214202881
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_9301cb6d11128fab,00001000,6.9412646293640137,7.0846939086914062,-0.14342927932739258,True,True,False,True,3.5339906215667725,3.2712712287902832
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_9301cb6d11128fab,00001000,3.787869930267334,3.6337039470672607,0.15416598320007324,True,True,False,False,7.613731861114502,7.7712693214416504
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_9301cb6d11128fab,00001000,5.6262378692626953,4.6560602188110352,0.97017765045166016,True,True,False,False,4.8362054824829102,5.7052121162414551
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_9301cb6d11128fab,00001000,9.9936256408691406,9.9391307830810547,0.054494857788085938,True,True,True,True,2.6045970916748047,2.5952925682067871
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_9301cb6d11128fab,00001000,8.16876220703125,8.2937908172607422,-0.12502861022949219,True,True,True,True,3.525468111038208,3.4257767200469971
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_9301cb6d11128fab,00001000,4.9458680152893066,4.9090828895568848,0.036785125732421875,True,True,False,False,8.5723552703857422,8.4268484115600586
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_9301cb6d11128fab,00001000,9.9009943008422852,9.4150152206420898,0.48597908020019531,True,True,True,True,3.0564634799957275,3.4287090301513672
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_9301cb6d11128fab,00001000,6.3770685195922852,6.5757966041564941,-0.19872808456420898,True,True,True,True,3.4400472640991211,3.436232328414917
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_9301cb6d11128fab,00001000,7.3019909858703613,7.3131380081176758,-0.011147022247314453,True,True,True,True,3.4240412712097168,3.3837673664093018
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_9301cb6d11128fab,00001000,8.6210861206054688,8.7970342636108398,-0.17594814300537109,True,True,False,False,4.9573874473571777,4.6164522171020508
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_9301cb6d11128fab,00001000,7.4291472434997559,7.4221591949462891,0.0069880485534667969,True,True,False,False,5.5702128410339355,5.6167111396789551
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_9301cb6d11128fab,00001000,10.321548461914062,10.312479019165039,0.0090694427490234375,True,True,True,True,3.0202357769012451,3.0102317333221436
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_9301cb6d11128fab,00001000,6.5624961853027344,6.8361825942993164,-0.27368640899658203,True,True,False,False,5.3217949867248535,4.9878735542297363
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_9301cb6d11128fab,00001000,3.8572282791137695,2.4200239181518555,1.4372043609619141,True,True,False,False,7.5479822158813477,8.5566492080688477
