prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_98909862b8426e62,00101111,2.9462099075317383,3.2813384532928467,-0.3351285457611084,True,True,False,False,7.4854855537414551,7.1514101028442383
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_98909862b8426e62,00101111,10.119000434875488,9.2085609436035156,0.91043949127197266,True,True,True,True,3.0899577140808105,3.6944525241851807
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_98909862b8426e62,00101111,8.0842056274414062,8.0005664825439453,0.083639144897460938,True,True,False,False,3.2517573833465576,3.5581042766571045
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_98909862b8426e62,00101111,9.2612857818603516,8.9114255905151367,0.34986019134521484,True,True,True,True,2.291015625,2.5302014350891113
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_98909862b8426e62,00101111,4.9616751670837402,4.8783860206604004,0.083289146423339844,True,True,False,False,6.5294814109802246,6.4261484146118164
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_98909862b8426e62,00101111,6.1143627166748047,6.1483778953552246,-0.034015178680419922,True,True,False,False,7.3273100852966309,7.3179588317871094
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_98909862b8426e62,00101111,4.2902603149414062,5.2132081985473633,-0.92294788360595703,True,True,False,False,6.2452278137207031,5.4464812278747559
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_98909862b8426e62,00101111,8.6505069732666016,8.4578180313110352,0.19268894195556641,True,True,False,False,3.6452600955963135,3.8496878147125244
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_98909862b8426e62,00101111,6.9412646293640137,6.6918268203735352,0.24943780899047852,True,True,False,False,3.5339906215667725,3.6856634616851807
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_98909862b8426e62,00101111,3.787869930267334,2.0094890594482422,1.7783808708190918,True,True,False,False,7.613731861114502,9.0895881652832031
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_98909862b8426e62,00101111,5.6262378692626953,3.5750226974487305,2.0512151718139648,True,True,False,False,4.8362054824829102,6.9334506988525391
