prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_a0f2dfd81710a947,11000101,2.9462099075317383,0.5978696346282959,2.3483402729034424,True,False,False,False,7.4854855537414551,9.6421184539794922
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_a0f2dfd81710a947,11000101,10.119000434875488,8.4976949691772461,1.6213054656982422,True,True,True,True,3.0899577140808105,4.1034340858459473
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_a0f2dfd81710a947,11000101,8.0842056274414062,5.5127367973327637,2.5714688301086426,True,True,False,False,3.2517573833465576,5.2050461769104004
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_a0f2dfd81710a947,11000101,9.2612857818603516,7.3635702133178711,1.8977155685424805,True,True,True,True,2.291015625,3.6903021335601807
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_a0f2dfd81710a947,11000101,4.9616751670837402,3.8729486465454102,1.0887265205383301,True,True,False,False,6.5294814109802246,7.550410270690918
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_a0f2dfd81710a947,11000101,6.1143627166748047,4.4667768478393555,1.6475858688354492,True,True,False,False,7.3273100852966309,8.9650592803955078
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_a0f2dfd81710a947,11000101,4.2902603149414062,3.4152605533599854,0.8749997615814209,True,True,False,False,6.2452278137207031,7.1793904304504395
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_a0f2dfd81710a947,11000101,8.6505069732666016,5.5302128791809082,3.1202940940856934,True,True,False,False,3.6452600955963135,5.5849957466125488
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_a0f2dfd81710a947,11000101,6.9412646293640137,4.3355708122253418,2.6056938171386719,True,True,False,False,3.5339906215667725,5.4848403930664062
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_a0f2dfd81710a947,11000101,3.787869930267334,2.4658427238464355,1.3220272064208984,True,True,False,False,7.613731861114502,8.9819869995117188
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_a0f2dfd81710a947,11000101,5.6262378692626953,1.9096074104309082,3.7166304588317871,True,True,False,False,4.8362054824829102,7.6897964477539062
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_a0f2dfd81710a947,11000101,9.9936256408691406,8.0928668975830078,1.9007587432861328,True,True,True,False,2.6045970916748047,4.2454605102539062
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_a0f2dfd81710a947,11000101,8.16876220703125,6.2154941558837891,1.9532680511474609,True,True,True,False,3.525468111038208,5.4613828659057617
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_a0f2dfd81710a947,11000101,4.9458680152893066,2.0433413982391357,2.9025266170501709,True,True,False,False,8.5723552703857422,11.388589859008789
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_a0f2dfd81710a947,11000101,9.9009943008422852,6.9941859245300293,2.9068083763122559,True,True,True,False,3.0564634799957275,4.6524157524108887
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_a0f2dfd81710a947,11000101,6.3770685195922852,5.3895025253295898,0.98756599426269531,True,True,True,True,3.4400472640991211,4.552182674407959
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_a0f2dfd81710a947,11000101,7.3019909858703613,5.1724834442138672,2.1295075416564941,True,True,True,False,3.4240412712097168,5.3479046821594238
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_a0f2dfd81710a947,11000101,8.6210861206054688,6.4315953254699707,2.189490795135498,True,True,False,False,4.9573874473571777,6.7881593704223633
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_a0f2dfd81710a947,11000101,7.4291472434997559,5.6354579925537109,1.7936892509460449,True,True,False,False,5.5702128410339355,7.3729157447814941
qseq_d6492c6ac00d3b0f,length_32_gap_8,qcluster_calibration_0019,qmask_a0f2dfd81710a947,11000101,10.321548461914062,8.5861825942993164,1.7353658676147461,True,True,True,False,3.0202357769012451,4.5859713554382324
qseq_690d86412dda754a,length_32_gap_8,qcluster_calibration_0020,qmask_a0f2dfd81710a947,11000101,6.5624961853027344,2.9990229606628418,3.5634732246398926,True,True,False,False,5.3217949867248535,9.3299007415771484
qseq_b13027e33741a1ba,length_32_gap_8,qcluster_calibration_0021,qmask_a0f2dfd81710a947,11000101,3.8572282791137695,0.0928955078125,3.7643327713012695,True,True,False,False,7.5479822158813477,10.328285217285156
qseq_ef057144bcaa8c78,length_32_gap_8,qcluster_calibration_0022,qmask_a0f2dfd81710a947,11000101,9.6949291229248047,7.5114903450012207,2.183438777923584,True,True,True,False,3.6895580291748047,5.1753702163696289
qseq_01f76172c615c93c,length_32_gap_8,qcluster_calibration_0023,qmask_a0f2dfd81710a947,11000101,1.6465693712234497,1.0577496290206909,0.58881974220275879,True,True,False,False,8.7947292327880859,9.4660511016845703
qseq_6913410b187e9bcd,length_32_gap_8,qcluster_calibration_0024,qmask_a0f2dfd81710a947,11000101,4.9003410339355469,1.3169553279876709,3.583385705947876,True,True,False,False,8.5771045684814453,11.181201934814453
qseq_6f2468350cf2a4c7,length_32_gap_8,qcluster_calibration_0025,qmask_a0f2dfd81710a947,11000101,6.1921143531799316,5.6300764083862305,0.56203794479370117,True,True,False,False,3.342045783996582,3.8698532581329346
qseq_48fa6ccbcf85740a,length_32_gap_8,qcluster_calibration_0026,qmask_a0f2dfd81710a947,11000101,5.4933662414550781,3.6255125999450684,1.8678536415100098,True,True,True,False,4.3495516777038574,6.5570573806762695
qseq_0a3d2a206ed1ac2f,length_32_gap_8,qcluster_calibration_0027,qmask_a0f2dfd81710a947,11000101,10.2420654296875,7.3330507278442383,2.9090147018432617,True,True,True,True,2.1275115013122559,3.9618031978607178
qseq_4e6f3e53c5cffa8c,length_32_gap_8,qcluster_calibration_0028,qmask_a0f2dfd81710a947,11000101,6.0872611999511719,4.6059675216674805,1.4812936782836914,True,True,False,False,8.5176458358764648,9.889582633972168
qseq_addd85868ee4c978,length_32_gap_8,qcluster_calibration_0029,qmask_a0f2dfd81710a947,11000101,3.0789308547973633,-0.29848694801330566,3.3774178028106689,True,False,False,False,6.4572043418884277,9.9347267150878906
qseq_d488f6be0be8d667,length_32_gap_8,qcluster_calibration_0030,qmask_a0f2dfd81710a947,11000101,9.55535888671875,8.04388427734375,1.511474609375,True,True,True,True,1.4513717889785767,2.3817954063415527
qseq_29bcc3b5e07adaa6,length_32_gap_8,qcluster_calibration_0031,qmask_a0f2dfd81710a947,11000101,7.5494265556335449,4.7427582740783691,2.8066682815551758,True,True,False,False,3.9754664897918701,6.7109193801879883
qseq_f92f57b1f8bac576,length_32_gap_8,qcluster_calibration_0032,qmask_a0f2dfd81710a947,11000101,3.842681884765625,1.3570525646209717,2.4856293201446533,True,True,False,False,6.3925557136535645,8.8602962493896484
qseq_caa06bf2219d5d30,length_32_gap_8,qcluster_calibration_0033,qmask_a0f2dfd81710a947,11000101,9.6303396224975586,6.0983414649963379,3.5319981575012207,True,True,True,False,2.9562137126922607,6.1606664657592773
qseq_14140e7a95fa2fb9,length_32_gap_8,qcluster_calibration_0034,qmask_a0f2dfd81710a947,11000101,3.9574613571166992,1.8094844818115234,2.1479768753051758,True,True,False,False,7.5561428070068359,9.1013278961181641
