prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_b051c49bfab72409,11110011,2.9462099075317383,0.64655637741088867,2.2996535301208496,True,True,False,False,7.4854855537414551,9.7488021850585938
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_b051c49bfab72409,11110011,10.119000434875488,7.2621164321899414,2.8568840026855469,True,True,True,False,3.0899577140808105,5.4680914878845215
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_b051c49bfab72409,11110011,8.0842056274414062,5.7031383514404297,2.3810672760009766,True,True,False,False,3.2517573833465576,5.4549422264099121
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_b051c49bfab72409,11110011,9.2612857818603516,7.1303834915161133,2.1309022903442383,True,True,True,True,2.291015625,3.9064431190490723
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_b051c49bfab72409,11110011,4.9616751670837402,3.8589372634887695,1.1027379035949707,True,True,False,False,6.5294814109802246,7.445284366607666
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_b051c49bfab72409,11110011,6.1143627166748047,4.9111742973327637,1.203188419342041,True,True,False,False,7.3273100852966309,8.8202667236328125
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_b051c49bfab72409,11110011,4.2902603149414062,3.5055689811706543,0.78469133377075195,True,True,False,False,6.2452278137207031,7.1093635559082031
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_b051c49bfab72409,11110011,8.6505069732666016,6.072049617767334,2.5784573554992676,True,True,False,False,3.6452600955963135,5.437779426574707
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_b051c49bfab72409,11110011,6.9412646293640137,4.2215137481689453,2.7197508811950684,True,True,False,False,3.5339906215667725,5.7746171951293945
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_b051c49bfab72409,11110011,3.787869930267334,1.1242587566375732,2.6636111736297607,True,True,False,False,7.613731861114502,10.047507286071777
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_b051c49bfab72409,11110011,5.6262378692626953,0.43965768814086914,5.1865801811218262,True,False,False,False,4.8362054824829102,9.1591091156005859
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_b051c49bfab72409,11110011,9.9936256408691406,7.7821049690246582,2.2115206718444824,True,True,True,False,2.6045970916748047,4.3641424179077148
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_b051c49bfab72409,11110011,8.16876220703125,6.1601409912109375,2.0086212158203125,True,True,True,False,3.525468111038208,5.7644362449645996
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_b051c49bfab72409,11110011,4.9458680152893066,1.5769145488739014,3.3689534664154053,True,True,False,False,8.5723552703857422,11.858957290649414
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_b051c49bfab72409,11110011,9.9009943008422852,6.9635491371154785,2.9374451637268066,True,True,True,False,3.0564634799957275,4.7519097328186035
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_b051c49bfab72409,11110011,6.3770685195922852,5.2536888122558594,1.1233797073364258,True,True,True,False,3.4400472640991211,4.7347617149353027
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_b051c49bfab72409,11110011,7.3019909858703613,4.5299253463745117,2.7720656394958496,True,True,True,False,3.4240412712097168,5.7658705711364746
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_b051c49bfab72409,11110011,8.6210861206054688,5.7951040267944336,2.8259820938110352,True,True,False,False,4.9573874473571777,7.111717700958252
qseq_99d34e9175e66222,length_32_gap_8,qcluster_calibration_0018,qmask_b051c49bfab72409,11110011,7.4291472434997559,6.0115976333618164,1.4175496101379395,True,True,False,False,5.5702128410339355,7.1602282524108887
