prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_d3be04383e5daabc,10000000,2.9462099075317383,1.8448269367218018,1.1013829708099365,True,True,False,False,7.4854855537414551,8.4339675903320312
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_d3be04383e5daabc,10000000,10.119000434875488,9.6450929641723633,0.473907470703125,True,True,True,True,3.0899577140808105,3.3609647750854492
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_d3be04383e5daabc,10000000,8.0842056274414062,7.1927580833435059,0.89144754409790039,True,True,False,False,3.2517573833465576,3.8476331233978271
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_d3be04383e5daabc,10000000,9.2612857818603516,8.3074102401733398,0.95387554168701172,True,True,True,True,2.291015625,2.9416298866271973
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_d3be04383e5daabc,10000000,4.9616751670837402,4.1987967491149902,0.76287841796875,True,True,False,False,6.5294814109802246,7.1954984664916992
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_d3be04383e5daabc,10000000,6.1143627166748047,5.5565004348754883,0.55786228179931641,True,True,False,False,7.3273100852966309,7.9028401374816895
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_d3be04383e5daabc,10000000,4.2902603149414062,3.9281134605407715,0.36214685440063477,True,True,False,False,6.2452278137207031,6.5837182998657227
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_d3be04383e5daabc,10000000,8.6505069732666016,7.8256516456604004,0.82485532760620117,True,True,False,False,3.6452600955963135,4.0463237762451172
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_d3be04383e5daabc,10000000,6.9412646293640137,6.2412919998168945,0.69997262954711914,True,True,False,False,3.5339906215667725,3.9740638732910156
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_d3be04383e5daabc,10000000,3.787869930267334,2.5517802238464355,1.2360897064208984,True,True,False,False,7.613731861114502,8.8746604919433594
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_d3be04383e5daabc,10000000,5.6262378692626953,5.0173802375793457,0.60885763168334961,True,True,False,False,4.8362054824829102,5.2960777282714844
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_d3be04383e5daabc,10000000,9.9936256408691406,9.8252382278442383,0.16838741302490234,True,True,True,True,2.6045970916748047,2.7789304256439209
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_d3be04383e5daabc,10000000,8.16876220703125,7.6218099594116211,0.54695224761962891,True,True,True,False,3.525468111038208,4.0457773208618164
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_d3be04383e5daabc,10000000,4.9458680152893066,3.8452696800231934,1.1005983352661133,True,True,False,False,8.5723552703857422,9.5954933166503906
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_d3be04383e5daabc,10000000,9.9009943008422852,9.4942750930786133,0.40671920776367188,True,True,True,True,3.0564634799957275,3.1781930923461914
