prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_c767dcde7de96c2f,length_32_gap_8,qcluster_calibration_0000,qmask_e9ca713c8628e4cf,01010000,2.9462099075317383,2.4119584560394287,0.53425145149230957,True,True,False,False,7.4854855537414551,8.0512886047363281
qseq_897390a0d0f857dd,length_32_gap_8,qcluster_calibration_0001,qmask_e9ca713c8628e4cf,01010000,10.119000434875488,9.4069538116455078,0.71204662322998047,True,True,True,True,3.0899577140808105,3.3610684871673584
qseq_284b47a1871f558d,length_32_gap_8,qcluster_calibration_0002,qmask_e9ca713c8628e4cf,01010000,8.0842056274414062,7.2727718353271484,0.81143379211425781,True,True,False,False,3.2517573833465576,3.7467398643493652
qseq_9564c335f860807a,length_32_gap_8,qcluster_calibration_0003,qmask_e9ca713c8628e4cf,01010000,9.2612857818603516,8.7981815338134766,0.463104248046875,True,True,True,True,2.291015625,2.5933668613433838
qseq_b055e28768e5f9db,length_32_gap_8,qcluster_calibration_0004,qmask_e9ca713c8628e4cf,01010000,4.9616751670837402,4.6370987892150879,0.32457637786865234,True,True,False,False,6.5294814109802246,6.7027959823608398
qseq_0ba4f1526c5f729b,length_32_gap_8,qcluster_calibration_0005,qmask_e9ca713c8628e4cf,01010000,6.1143627166748047,5.494593620300293,0.61976909637451172,True,True,False,False,7.3273100852966309,7.950139045715332
qseq_bbd13a17725542ab,length_32_gap_8,qcluster_calibration_0006,qmask_e9ca713c8628e4cf,01010000,4.2902603149414062,3.8827950954437256,0.40746521949768066,True,True,False,False,6.2452278137207031,6.6418628692626953
qseq_7a4e221d29fc3a2e,length_32_gap_8,qcluster_calibration_0007,qmask_e9ca713c8628e4cf,01010000,8.6505069732666016,7.6077885627746582,1.0427184104919434,True,True,False,False,3.6452600955963135,4.101189136505127
qseq_913078c95f609050,length_32_gap_8,qcluster_calibration_0008,qmask_e9ca713c8628e4cf,01010000,6.9412646293640137,5.6645755767822266,1.2766890525817871,True,True,False,False,3.5339906215667725,4.351569652557373
qseq_21ba8cdac201cc30,length_32_gap_8,qcluster_calibration_0009,qmask_e9ca713c8628e4cf,01010000,3.787869930267334,3.7199912071228027,0.06787872314453125,True,True,False,False,7.613731861114502,7.7558689117431641
qseq_2d9b105d7e3736b7,length_32_gap_8,qcluster_calibration_0010,qmask_e9ca713c8628e4cf,01010000,5.6262378692626953,3.1737496852874756,2.4524881839752197,True,True,False,False,4.8362054824829102,6.7917218208312988
qseq_d61f332679c6ec3e,length_32_gap_8,qcluster_calibration_0011,qmask_e9ca713c8628e4cf,01010000,9.9936256408691406,9.3036880493164062,0.68993759155273438,True,True,True,True,2.6045970916748047,3.0804746150970459
qseq_72e2cd870c8a81c9,length_32_gap_8,qcluster_calibration_0012,qmask_e9ca713c8628e4cf,01010000,8.16876220703125,7.76251220703125,0.40625,True,True,True,False,3.525468111038208,3.9809093475341797
qseq_89e8b285b5f965c2,length_32_gap_8,qcluster_calibration_0013,qmask_e9ca713c8628e4cf,01010000,4.9458680152893066,3.31447434425354,1.6313936710357666,True,True,False,False,8.5723552703857422,10.114830017089844
qseq_5184f25c7b85c53c,length_32_gap_8,qcluster_calibration_0014,qmask_e9ca713c8628e4cf,01010000,9.9009943008422852,8.5621871948242188,1.3388071060180664,True,True,True,True,3.0564634799957275,3.9001851081848145
qseq_8a3b5e846ec7b1de,length_32_gap_8,qcluster_calibration_0015,qmask_e9ca713c8628e4cf,01010000,6.3770685195922852,6.0554008483886719,0.32166767120361328,True,True,True,True,3.4400472640991211,3.8689713478088379
qseq_ac1a3e1869dc090c,length_32_gap_8,qcluster_calibration_0016,qmask_e9ca713c8628e4cf,01010000,7.3019909858703613,6.4371681213378906,0.8648228645324707,True,True,True,False,3.4240412712097168,4.143498420715332
qseq_dc1d9c14a80d171c,length_32_gap_8,qcluster_calibration_0017,qmask_e9ca713c8628e4cf,01010000,8.6210861206054688,8.0020723342895508,0.61901378631591797,True,True,False,False,4.9573874473571777,5.3426032066345215
