prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_07e4d5ad11974b66,01010100,0.0057273562997579575,0.044140234589576721
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_07e4d5ad11974b66,01010100,0.0070705888792872429,0.0476108118891716
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_07e4d5ad11974b66,01010100,0.0041703460738062859,0.035456452518701553
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_07e4d5ad11974b66,01010100,0.0080097448080778122,0.049683205783367157
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_07e4d5ad11974b66,01010100,0.0077848983928561211,0.047280319035053253
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_07e4d5ad11974b66,01010100,0.0024741527158766985,0.026852458715438843
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_07e4d5ad11974b66,01010100,0.02551393024623394,0.09129679948091507
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_07e4d5ad11974b66,01010100,0.0058030327782034874,0.042634814977645874
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_07e4d5ad11974b66,01010100,0.0097494982182979584,0.05558197945356369
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_07e4d5ad11974b66,01010100,0.0062084519304335117,0.044842977076768875
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_07e4d5ad11974b66,01010100,0.0046662036329507828,0.03902604803442955
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_07e4d5ad11974b66,01010100,0.0052443742752075195,0.040587492287158966
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_07e4d5ad11974b66,01010100,0.021279480308294296,0.081144779920578003
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_07e4d5ad11974b66,01010100,0.0063655516132712364,0.042568996548652649
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_07e4d5ad11974b66,01010100,0.0058761304244399071,0.044182281941175461
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_07e4d5ad11974b66,01010100,0.0030156024731695652,0.030701516196131706
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_07e4d5ad11974b66,01010100,0.002901934552937746,0.029607901349663734
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_07e4d5ad11974b66,01010100,0.026451993733644485,0.086865171790122986
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_07e4d5ad11974b66,01010100,0.0078975874930620193,0.048370368778705597
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_07e4d5ad11974b66,01010100,0.0053175929933786392,0.039592061191797256
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_07e4d5ad11974b66,01010100,0.0049163065850734711,0.038873907178640366
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_07e4d5ad11974b66,01010100,0.01121817622333765,0.057662066072225571
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_07e4d5ad11974b66,01010100,0.0067741842940449715,0.044787637889385223
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_07e4d5ad11974b66,01010100,0.0084982570260763168,0.052161529660224915
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_07e4d5ad11974b66,01010100,0.0029170240741223097,0.030264837667346001
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_07e4d5ad11974b66,01010100,0.0050361477769911289,0.038273390382528305
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_07e4d5ad11974b66,01010100,0.0042772749438881874,0.037538893520832062
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_07e4d5ad11974b66,01010100,0.0067056235857307911,0.046140354126691818
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_07e4d5ad11974b66,01010100,0.0018727830611169338,0.024276033043861389
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_07e4d5ad11974b66,01010100,0.0034972294233739376,0.030724341049790382
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_07e4d5ad11974b66,01010100,0.0042381435632705688,0.036589290946722031
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_07e4d5ad11974b66,01010100,0.022391997277736664,0.087771892547607422
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_07e4d5ad11974b66,01010100,0.0067749279551208019,0.045315738767385483
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_07e4d5ad11974b66,01010100,0.006113134790211916,0.042879350483417511
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_07e4d5ad11974b66,01010100,0.009359823539853096,0.053516529500484467
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_07e4d5ad11974b66,01010100,0.010683394968509674,0.055004239082336426
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_07e4d5ad11974b66,01010100,0.0059335050173103809,0.041921667754650116
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_07e4d5ad11974b66,01010100,0.015777986496686935,0.073320850729942322
