prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_0cd7ddfc8c2186ca,00110100,0.011386670172214508,0.058201976120471954
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_0cd7ddfc8c2186ca,00110100,0.022931233048439026,0.077712386846542358
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_0cd7ddfc8c2186ca,00110100,0.005282403901219368,0.039265003055334091
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_0cd7ddfc8c2186ca,00110100,0.0056514954194426537,0.040262807160615921
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_0cd7ddfc8c2186ca,00110100,0.008473406545817852,0.049667246639728546
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_0cd7ddfc8c2186ca,00110100,0.027710404247045517,0.093199759721755981
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_0cd7ddfc8c2186ca,00110100,0.062524646520614624,0.14219260215759277
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_0cd7ddfc8c2186ca,00110100,0.080901488661766052,0.15634354948997498
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_0cd7ddfc8c2186ca,00110100,0.008118264377117157,0.048765592277050018
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_0cd7ddfc8c2186ca,00110100,0.037248682230710983,0.10806736350059509
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_0cd7ddfc8c2186ca,00110100,0.0033649557735770941,0.030962653458118439
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_0cd7ddfc8c2186ca,00110100,0.010652259923517704,0.053379703313112259
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_0cd7ddfc8c2186ca,00110100,0.1687169224023819,0.22105515003204346
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_0cd7ddfc8c2186ca,00110100,0.0046785101294517517,0.037285853177309036
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_0cd7ddfc8c2186ca,00110100,0.0046867639757692814,0.037238288670778275
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_0cd7ddfc8c2186ca,00110100,0.0019578973297029734,0.024627711623907089
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_0cd7ddfc8c2186ca,00110100,0.0049313683994114399,0.037211395800113678
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_0cd7ddfc8c2186ca,00110100,0.025094814598560333,0.089992217719554901
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_0cd7ddfc8c2186ca,00110100,0.039181113243103027,0.10374116897583008
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_0cd7ddfc8c2186ca,00110100,0.021336555480957031,0.066596448421478271
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_0cd7ddfc8c2186ca,00110100,0.012576874345541,0.059578768908977509
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_0cd7ddfc8c2186ca,00110100,0.078827865421772003,0.15620759129524231
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_0cd7ddfc8c2186ca,00110100,0.012472253292798996,0.059666872024536133
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_0cd7ddfc8c2186ca,00110100,0.0064811892807483673,0.045387759804725647
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_0cd7ddfc8c2186ca,00110100,0.051970615983009338,0.12395919114351273
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_0cd7ddfc8c2186ca,00110100,0.011967087164521217,0.058013118803501129
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_0cd7ddfc8c2186ca,00110100,0.041040167212486267,0.10863892734050751
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_0cd7ddfc8c2186ca,00110100,0.007136383093893528,0.045133084058761597
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_0cd7ddfc8c2186ca,00110100,0.0059234676882624626,0.040949970483779907
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_0cd7ddfc8c2186ca,00110100,0.0032237176783382893,0.030976716428995132
