prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_14432725d56e8049,10011100,0.02301669679582119,0.087569013237953186
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_14432725d56e8049,10011100,0.0075259730219841003,0.051068216562271118
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_14432725d56e8049,10011100,0.0092521952465176582,0.053365081548690796
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_14432725d56e8049,10011100,0.012222567573189735,0.061525005847215652
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_14432725d56e8049,10011100,0.015538968145847321,0.067831858992576599
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_14432725d56e8049,10011100,0.0034501645714044571,0.033137582242488861
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_14432725d56e8049,10011100,0.06324535608291626,0.14327278733253479
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_14432725d56e8049,10011100,0.021004846319556236,0.081013768911361694
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_14432725d56e8049,10011100,0.018843382596969604,0.079938031733036041
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_14432725d56e8049,10011100,0.010758465155959129,0.057547613978385925
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_14432725d56e8049,10011100,0.0089973341673612595,0.054796993732452393
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_14432725d56e8049,10011100,0.011159347370266914,0.060640666633844376
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_14432725d56e8049,10011100,0.074523583054542542,0.15379935503005981
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_14432725d56e8049,10011100,0.008491910994052887,0.049926355481147766
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_14432725d56e8049,10011100,0.008655213750898838,0.052108418196439743
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_14432725d56e8049,10011100,0.0029488634318113327,0.030517904087901115
