prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_17b31d3e8666d651,01011101,0.024542771279811859,0.091948345303535461
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_17b31d3e8666d651,01011101,0.010889334604144096,0.058468617498874664
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_17b31d3e8666d651,01011101,0.010547596961259842,0.056633837521076202
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_17b31d3e8666d651,01011101,0.014124639332294464,0.065569773316383362
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_17b31d3e8666d651,01011101,0.01613147184252739,0.069232374429702759
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_17b31d3e8666d651,01011101,0.0055022947490215302,0.040841162204742432
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_17b31d3e8666d651,01011101,0.074014440178871155,0.1554911881685257
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_17b31d3e8666d651,01011101,0.012277152389287949,0.061591878533363342
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_17b31d3e8666d651,01011101,0.015569623559713364,0.070472851395606995
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_17b31d3e8666d651,01011101,0.010924471542239189,0.059409689158201218
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_17b31d3e8666d651,01011101,0.0067946538329124451,0.046078749001026154
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_17b31d3e8666d651,01011101,0.0090930163860321045,0.052547670900821686
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_17b31d3e8666d651,01011101,0.046549338847398758,0.12017647922039032
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_17b31d3e8666d651,01011101,0.011925255879759789,0.058099020272493362
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_17b31d3e8666d651,01011101,0.0099014248698949814,0.054874405264854431
