prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_22c3d94ed895c2d5,10010110,0.0051756808534264565,0.041945472359657288
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_22c3d94ed895c2d5,10010110,0.00710280891507864,0.049027774482965469
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_22c3d94ed895c2d5,10010110,0.0039793448522686958,0.03496929258108139
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_22c3d94ed895c2d5,10010110,0.0075886715203523636,0.048320900648832321
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_22c3d94ed895c2d5,10010110,0.0084150265902280807,0.049178551882505417
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_22c3d94ed895c2d5,10010110,0.0030501345172524452,0.030806053429841995
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_22c3d94ed895c2d5,10010110,0.021172292530536652,0.082971155643463135
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_22c3d94ed895c2d5,10010110,0.01835336722433567,0.075586885213851929
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_22c3d94ed895c2d5,10010110,0.012803766876459122,0.065392807126045227
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_22c3d94ed895c2d5,10010110,0.0057992474175989628,0.042449556291103363
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_22c3d94ed895c2d5,10010110,0.0064323153346776962,0.045524038374423981
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_22c3d94ed895c2d5,10010110,0.0050607859157025814,0.040008604526519775
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_22c3d94ed895c2d5,10010110,0.037519201636314392,0.10963734984397888
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_22c3d94ed895c2d5,10010110,0.0069060125388205051,0.045050792396068573
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_22c3d94ed895c2d5,10010110,0.0057123550213873386,0.041285030543804169
qcontrol_ebc54483bd759f2a,qseq_5d11ec40ee5e399c,length_32_gap_8,qcluster_locked_test_0015,qmask_22c3d94ed895c2d5,10010110,0.0021831383928656578,0.026165686547756195
qcontrol_2098c49dc5af26a7,qseq_933613b63b18ef39,length_32_gap_8,qcluster_locked_test_0016,qmask_22c3d94ed895c2d5,10010110,0.0035950238816440105,0.032178249210119247
qcontrol_cec492db00e0f846,qseq_7982e3353af95b5a,length_32_gap_8,qcluster_locked_test_0017,qmask_22c3d94ed895c2d5,10010110,0.027755526825785637,0.091040700674057007
qcontrol_92c8ca14ea81d17a,qseq_957f2217c38cbb43,length_32_gap_8,qcluster_locked_test_0018,qmask_22c3d94ed895c2d5,10010110,0.0033543147146701813,0.031603734940290451
qcontrol_9ef38e7933073940,qseq_1ca6609274aa0efd,length_32_gap_8,qcluster_locked_test_0019,qmask_22c3d94ed895c2d5,10010110,0.0085267489776015282,0.047906871885061264
qcontrol_7bfadcf22fb593a6,qseq_636926d60e9fc6a4,length_32_gap_8,qcluster_locked_test_0020,qmask_22c3d94ed895c2d5,10010110,0.0099705392494797707,0.057897809892892838
qcontrol_4adc18eeedd3ef7a,qseq_2b0e460c32b3f17b,length_32_gap_8,qcluster_locked_test_0021,qmask_22c3d94ed895c2d5,10010110,0.0068278987891972065,0.045822855085134506
qcontrol_93715968b217048a,qseq_597ab7a897f078ee,length_32_gap_8,qcluster_locked_test_0022,qmask_22c3d94ed895c2d5,10010110,0.0069433702155947685,0.044768214225769043
qcontrol_dda2501e624acf62,qseq_ab085848a2ffe2d7,length_32_gap_8,qcluster_locked_test_0023,qmask_22c3d94ed895c2d5,10010110,0.0067651337012648582,0.045993275940418243
qcontrol_0f0dccc5c19f1f5d,qseq_743feac99f8e9594,length_32_gap_8,qcluster_locked_test_0024,qmask_22c3d94ed895c2d5,10010110,0.0026341141201555729,0.02890857495367527
qcontrol_78ded0b40eb2b27c,qseq_82634b9ef4f722e5,length_32_gap_8,qcluster_locked_test_0025,qmask_22c3d94ed895c2d5,10010110,0.0036678551696240902,0.032953932881355286
qcontrol_71ea360fb8af9930,qseq_6ef95ecc92d78a0d,length_32_gap_8,qcluster_locked_test_0026,qmask_22c3d94ed895c2d5,10010110,0.0062040025368332863,0.045624736696481705
qcontrol_72a8669bdefe41bb,qseq_f0c0d20f4295b441,length_32_gap_8,qcluster_locked_test_0027,qmask_22c3d94ed895c2d5,10010110,0.0058346623554825783,0.043750356882810593
qcontrol_f5c79c084a82ed83,qseq_51ad2d071f274bd7,length_32_gap_8,qcluster_locked_test_0028,qmask_22c3d94ed895c2d5,10010110,0.0030711079016327858,0.030747352167963982
qcontrol_f098e7503bd78cfe,qseq_7678c941fe0cdde4,length_32_gap_8,qcluster_locked_test_0029,qmask_22c3d94ed895c2d5,10010110,0.0031817029230296612,0.030208148062229156
qcontrol_cb985f45087fdfca,qseq_abd4c2b648d044b2,length_32_gap_8,qcluster_locked_test_0030,qmask_22c3d94ed895c2d5,10010110,0.0032126926816999912,0.03176603838801384
qcontrol_4eedb1edc907cb3f,qseq_376748c012341f39,length_32_gap_8,qcluster_locked_test_0031,qmask_22c3d94ed895c2d5,10010110,0.010210037231445312,0.059943988919258118
qcontrol_ce7e3d2743f6522c,qseq_19d86bb0059dd869,length_32_gap_8,qcluster_locked_test_0032,qmask_22c3d94ed895c2d5,10010110,0.004064653068780899,0.035655170679092407
qcontrol_cd891116254bb5de,qseq_c3631e47ce7a3151,length_32_gap_8,qcluster_locked_test_0033,qmask_22c3d94ed895c2d5,10010110,0.0050609791651368141,0.038541816174983978
qcontrol_b78a15eac9e1d73b,qseq_d7c516de3d15276d,length_32_gap_8,qcluster_locked_test_0034,qmask_22c3d94ed895c2d5,10010110,0.0057050967589020729,0.042518388479948044
qcontrol_47a96e6006fe81d4,qseq_a0ace0ffe2091903,length_32_gap_8,qcluster_locked_test_0035,qmask_22c3d94ed895c2d5,10010110,0.013272110372781754,0.062764637172222137
qcontrol_4b25178f8bfcd58f,qseq_ba465edb70f8e1ca,length_32_gap_8,qcluster_locked_test_0036,qmask_22c3d94ed895c2d5,10010110,0.0056287799961864948,0.042439494282007217
qcontrol_d15821c919988bba,qseq_76850ece32132587,length_32_gap_8,qcluster_locked_test_0037,qmask_22c3d94ed895c2d5,10010110,0.0056586358696222305,0.044009372591972351
qcontrol_1ed152e282946d26,qseq_f7a4abff778dac0d,length_32_gap_8,qcluster_locked_test_0038,qmask_22c3d94ed895c2d5,10010110,0.011447690427303314,0.059959430247545242
qcontrol_639187d5eabfec69,qseq_e853f0c08b8332c6,length_32_gap_8,qcluster_locked_test_0039,qmask_22c3d94ed895c2d5,10010110,0.012223328463733196,0.062996931374073029
qcontrol_645b510cfbaa4148,qseq_076c730602874c8e,length_32_gap_8,qcluster_locked_test_0040,qmask_22c3d94ed895c2d5,10010110,0.005190863274037838,0.039735622704029083
qcontrol_0610fb9acf8072f8,qseq_419e4d2a6546e726,length_32_gap_8,qcluster_locked_test_0041,qmask_22c3d94ed895c2d5,10010110,0.01937098428606987,0.077798262238502502
qcontrol_3e1b775d651cbe18,qseq_0dee966050bfd253,length_32_gap_8,qcluster_locked_test_0042,qmask_22c3d94ed895c2d5,10010110,0.016058553010225296,0.070350855588912964
qcontrol_6640639f17c20a2b,qseq_33d6299f018a63df,length_32_gap_8,qcluster_locked_test_0043,qmask_22c3d94ed895c2d5,10010110,0.0026130103506147861,0.028730530291795731
qcontrol_92ea2bf42a9ea623,qseq_1d6ac5c0e2ef6aec,length_32_gap_8,qcluster_locked_test_0044,qmask_22c3d94ed895c2d5,10010110,0.015769742429256439,0.072754457592964172
qcontrol_a82ad6489f53d75c,qseq_1a159a1dae28da54,length_32_gap_8,qcluster_locked_test_0045,qmask_22c3d94ed895c2d5,10010110,0.0093944547697901726,0.054520763456821442
qcontrol_c35a305ca8c70ee5,qseq_d93f64d04e6cfa98,length_32_gap_8,qcluster_locked_test_0046,qmask_22c3d94ed895c2d5,10010110,0.010708286426961422,0.058751843869686127
qcontrol_ea32ec7a986b12ef,qseq_dc46b739b3b479f2,length_32_gap_8,qcluster_locked_test_0047,qmask_22c3d94ed895c2d5,10010110,0.020304903388023376,0.079411476850509644
qcontrol_d7c2e41273b93372,qseq_53c883855c13ae86,length_32_gap_8,qcluster_locked_test_0048,qmask_22c3d94ed895c2d5,10010110,0.0065701110288500786,0.045949481427669525
qcontrol_90b2d8a79b134e9b,qseq_e298a08ae621717b,length_32_gap_8,qcluster_locked_test_0049,qmask_22c3d94ed895c2d5,10010110,0.0035267388448119164,0.033236004412174225
qcontrol_d3a40d21f04937c0,qseq_ea09c5e6da440673,length_32_gap_8,qcluster_locked_test_0050,qmask_22c3d94ed895c2d5,10010110,0.0068865753710269928,0.046568416059017181
qcontrol_326b6598268f9751,qseq_a2aac0b7a5eb8c02,length_32_gap_8,qcluster_locked_test_0051,qmask_22c3d94ed895c2d5,10010110,0.002797197550535202,0.027790624648332596
qcontrol_81760386fa700394,qseq_53d58b039bf71abb,length_32_gap_8,qcluster_locked_test_0052,qmask_22c3d94ed895c2d5,10010110,0.0091531984508037567,0.05326336994767189
qcontrol_28d679f8a2236bbd,qseq_57fea2d3713a1c13,length_32_gap_8,qcluster_locked_test_0053,qmask_22c3d94ed895c2d5,10010110,0.0036696433089673519,0.033849708735942841
qcontrol_6ef40afd7318b950,qseq_6bb14f29e14dbe31,length_32_gap_8,qcluster_locked_test_0054,qmask_22c3d94ed895c2d5,10010110,0.0046896166168153286,0.03875354677438736
qcontrol_6040e519bcd27e62,qseq_c7a13f21952ded5a,length_32_gap_8,qcluster_locked_test_0055,qmask_22c3d94ed895c2d5,10010110,0.0045271040871739388,0.038766980171203613
qcontrol_64c5eb25cd7a84e9,qseq_71f308c25e9caab7,length_32_gap_8,qcluster_locked_test_0056,qmask_22c3d94ed895c2d5,10010110,0.0042469929903745651,0.036466404795646667
qcontrol_38856061e8482247,qseq_26a93fd64c7f9015,length_32_gap_8,qcluster_locked_test_0057,qmask_22c3d94ed895c2d5,10010110,0.0064024627208709717,0.04443030059337616
qcontrol_c9091d2ed80a111b,qseq_33f34f1b438ee96a,length_32_gap_8,qcluster_locked_test_0058,qmask_22c3d94ed895c2d5,10010110,0.0045144292525947094,0.038663752377033234
qcontrol_683c62a695aeff10,qseq_24ccd50234842011,length_32_gap_8,qcluster_locked_test_0059,qmask_22c3d94ed895c2d5,10010110,0.0057021989487111568,0.041542265564203262
qcontrol_54fd3e7c2d896601,qseq_63f2c7e7b133ee97,length_32_gap_8,qcluster_locked_test_0060,qmask_22c3d94ed895c2d5,10010110,0.0067387400195002556,0.046265825629234314
