prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_2678a15f3a1887ca,10110001,0.014966800808906555,0.065723136067390442
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_2678a15f3a1887ca,10110001,0.02705155685544014,0.084929086267948151
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_2678a15f3a1887ca,10110001,0.010217964649200439,0.05560930073261261
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_2678a15f3a1887ca,10110001,0.011907964013516903,0.059737928211688995
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_2678a15f3a1887ca,10110001,0.011263956315815449,0.056388132274150848
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_2678a15f3a1887ca,10110001,0.026223931461572647,0.090180419385433197
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_2678a15f3a1887ca,10110001,0.10120128840208054,0.18429604172706604
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_2678a15f3a1887ca,10110001,0.14706248044967651,0.21112483739852905
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_2678a15f3a1887ca,10110001,0.01722133532166481,0.072676077485084534
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_2678a15f3a1887ca,10110001,0.041030265390872955,0.11077117919921875
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_2678a15f3a1887ca,10110001,0.0088743558153510094,0.051819808781147003
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_2678a15f3a1887ca,10110001,0.014622000977396965,0.064232707023620605
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_2678a15f3a1887ca,10110001,0.29318326711654663,0.28687861561775208
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_2678a15f3a1887ca,10110001,0.0064208265393972397,0.044406920671463013
